distance,error
3.333333333333333547e-03,3.898158450773886452e-01
5.000000000000000104e-03,3.897438152465691474e-01
6.666666666666667095e-03,3.895559931012153587e-01
8.333333333333333218e-03,3.892453789643575135e-01
1.000000000000000021e-02,3.888025636474742863e-01
1.166666666666666720e-02,3.882655339323209942e-01
1.333333333333333419e-02,3.875792677444453993e-01
1.500000000000000118e-02,3.867247522505246060e-01
1.666666666666666644e-02,3.857095911881421313e-01
1.833333333333333343e-02,3.844869974126625123e-01
2.000000000000000042e-02,3.830323159943592737e-01
2.166666666666666741e-02,3.813043372067375092e-01
2.333333333333333440e-02,3.793009348148023152e-01
2.500000000000000139e-02,3.769427899307422614e-01
2.666666666666666838e-02,3.739997323044961242e-01
2.833333333333333537e-02,3.704083947066122429e-01
3.000000000000000236e-02,3.661415298886412373e-01
3.166666666666666935e-02,3.611989185895696508e-01
3.333333333333333287e-02,3.555819104832838584e-01
3.500000000000000333e-02,3.492433067263827073e-01
3.666666666666666685e-02,3.421170289343372639e-01
3.833333333333333731e-02,3.344096045661706929e-01
4.000000000000000083e-02,3.263319804412043723e-01
4.166666666666667129e-02,3.176827982095542513e-01
4.333333333333333481e-02,3.083699442219310916e-01
4.500000000000000527e-02,2.985152688694724943e-01
4.666666666666666879e-02,2.882136501925945948e-01
4.833333333333333925e-02,2.776159097371230233e-01
5.000000000000000278e-02,2.667989610526046995e-01
5.166666666666667324e-02,2.557850739767758563e-01
5.333333333333333676e-02,2.446120851433943866e-01
5.500000000000000028e-02,2.332622574255990844e-01
5.666666666666667074e-02,2.217607917017097030e-01
5.833333333333333426e-02,2.101307043832097987e-01
6.000000000000000472e-02,1.984035750398934206e-01
6.166666666666666824e-02,1.865886663250124200e-01
6.333333333333333870e-02,1.747232420385217977e-01
6.500000000000000222e-02,1.628883880640338289e-01
6.666666666666666574e-02,1.512333638087394183e-01
6.833333333333334314e-02,1.398223404159952277e-01
7.000000000000000666e-02,1.286865792593739344e-01
7.166666666666667018e-02,1.178599013963285147e-01
7.333333333333333370e-02,1.073858535752661436e-01
7.500000000000001110e-02,9.727436796082655768e-02
7.666666666666667462e-02,8.760523084271137906e-02
7.833333333333333814e-02,7.839805079391543030e-02
8.000000000000000167e-02,6.969770305130079668e-02
8.166666666666666519e-02,6.155549483651090448e-02
8.333333333333334259e-02,5.398548872806430143e-02
8.500000000000000611e-02,4.697782203064065909e-02
8.666666666666666963e-02,4.052065757285966408e-02
8.833333333333333315e-02,3.462236083797570751e-02
9.000000000000001055e-02,2.924803963312044841e-02
9.166666666666667407e-02,2.436482706746712079e-02
9.333333333333333759e-02,1.997515903773589008e-02
9.500000000000000111e-02,1.610948203758838515e-02
9.666666666666667851e-02,1.281361083115933885e-02
9.833333333333334203e-02,1.011377516993838821e-02
1.000000000000000056e-01,7.994018570165573045e-03
1.016666666666666691e-01,6.413990812511149997e-03
1.033333333333333465e-01,5.304632182731916501e-03
1.050000000000000100e-01,4.359519049102478228e-03
1.066666666666666735e-01,3.572334648260400147e-03
1.083333333333333370e-01,2.912149442017009093e-03
1.100000000000000006e-01,2.397981092553125304e-03
1.116666666666666780e-01,1.950531898196661285e-03
1.133333333333333415e-01,1.589639893411765037e-03
1.150000000000000050e-01,1.298672247281362768e-03
1.166666666666666685e-01,1.057364349191847186e-03
1.183333333333333459e-01,8.652822475703758620e-04
1.200000000000000094e-01,7.052616076191897676e-04
1.216666666666666730e-01,5.793512672744860481e-04
1.233333333333333365e-01,4.860003224604336758e-04
1.250000000000000000e-01,3.996677784091628993e-04
1.266666666666666774e-01,3.311503479145883055e-04
1.283333333333333548e-01,2.839328605217517065e-04
1.300000000000000044e-01,2.360798094759863908e-04
1.316666666666666818e-01,1.990673455119496005e-04
1.333333333333333315e-01,1.681554500582715939e-04
1.350000000000000089e-01,1.516468578118268518e-04
1.366666666666666863e-01,1.289827910205820771e-04
1.383333333333333359e-01,1.126197393093164578e-04
1.400000000000000133e-01,9.813309530681824100e-05
1.416666666666666630e-01,8.742384437732120261e-05
1.433333333333333404e-01,7.818693339733950864e-05
1.450000000000000178e-01,7.069864783937340746e-05
1.466666666666666674e-01,6.510420576161246586e-05
