distance,error
3.333333333333333547e-03,8.982032208528449579e-02
5.000000000000000104e-03,8.975521607933048540e-02
6.666666666666667095e-03,8.957409685839573532e-02
8.333333333333333218e-03,8.926987143774918476e-02
1.000000000000000021e-02,8.883303515799816086e-02
1.166666666666666720e-02,8.829964608244979252e-02
1.333333333333333419e-02,8.761792038066056054e-02
1.500000000000000118e-02,8.675183463149011009e-02
1.666666666666666644e-02,8.569662814054138100e-02
1.833333333333333343e-02,8.442175446896084401e-02
2.000000000000000042e-02,8.279615930473815943e-02
2.166666666666666741e-02,8.065347769802760913e-02
2.333333333333333440e-02,7.781480154189696075e-02
2.500000000000000139e-02,7.434514289925972519e-02
2.666666666666666838e-02,7.021216698067628270e-02
2.833333333333333537e-02,6.543939944343071802e-02
3.000000000000000236e-02,5.998324341153113415e-02
3.166666666666666935e-02,5.408742683390735384e-02
3.333333333333333287e-02,4.804778302869636142e-02
3.500000000000000333e-02,4.202452957758912033e-02
3.666666666666666685e-02,3.621049028447337337e-02
3.833333333333333731e-02,3.067357690116109814e-02
4.000000000000000083e-02,2.551782877108008107e-02
4.166666666666667129e-02,2.071725062604526379e-02
4.333333333333333481e-02,1.618815478675583730e-02
4.500000000000000527e-02,1.189113892771073711e-02
4.666666666666666879e-02,7.813133737725103112e-03
4.833333333333333925e-02,3.980783603712817476e-03
5.000000000000000278e-02,3.856197538483763232e-04
5.166666666666667324e-02,2.946864522542169684e-03
5.333333333333333676e-02,5.968352044297492442e-03
5.500000000000000028e-02,8.624664241309754065e-03
5.666666666666667074e-02,1.087242459809745210e-02
5.833333333333333426e-02,1.268267468375741669e-02
6.000000000000000472e-02,1.403608652135457380e-02
6.166666666666666824e-02,1.490038324708942152e-02
6.333333333333333870e-02,1.522721290533055050e-02
6.500000000000000222e-02,1.513317027563149120e-02
6.666666666666666574e-02,1.472378095109547202e-02
6.833333333333334314e-02,1.401569886149089950e-02
7.000000000000000666e-02,1.301002242903698258e-02
7.166666666666667018e-02,1.170070711165097088e-02
7.333333333333333370e-02,1.016404552742639078e-02
7.500000000000001110e-02,8.587867464436210740e-03
7.666666666666667462e-02,7.129370535505302753e-03
7.833333333333333814e-02,5.867619407678797971e-03
8.000000000000000167e-02,4.807167154783881236e-03
8.166666666666666519e-02,3.960292433052431393e-03
8.333333333333334259e-02,3.295297482842074466e-03
8.500000000000000611e-02,2.774068304436716481e-03
8.666666666666666963e-02,2.380528026492439997e-03
8.833333333333333315e-02,2.076321699387734254e-03
9.000000000000001055e-02,1.829842052986446754e-03
9.166666666666667407e-02,1.629998544475291800e-03
9.333333333333333759e-02,1.471722703237587915e-03
9.500000000000000111e-02,1.344678615898015073e-03
9.666666666666667851e-02,1.234470062893122666e-03
9.833333333333334203e-02,1.149622673329103728e-03
1.000000000000000056e-01,1.085179475280834138e-03
1.016666666666666691e-01,1.031821374652297507e-03
1.033333333333333465e-01,9.885324105491088975e-04
1.050000000000000100e-01,9.540323101092373914e-04
1.066666666666666735e-01,9.284417272062972515e-04
1.083333333333333370e-01,9.095621657422281459e-04
1.100000000000000006e-01,8.912395583114685049e-04
1.116666666666666780e-01,8.807755170159581315e-04
1.133333333333333415e-01,8.695357267167191928e-04
1.150000000000000050e-01,8.584084433357896948e-04
1.166666666666666685e-01,8.523644594178314549e-04
1.183333333333333459e-01,8.455588820658332949e-04
1.200000000000000094e-01,8.374513669838212770e-04
1.216666666666666730e-01,8.274691660858646269e-04
1.233333333333333365e-01,8.268926897453676705e-04
1.250000000000000000e-01,8.257573332664525090e-04
1.266666666666666774e-01,8.231228135641421861e-04
1.283333333333333548e-01,8.239082098539518562e-04
1.300000000000000044e-01,8.232692430657218008e-04
