distance,dist_from_surface
3.333333333333333547e-03,1.101841549226113270e-01
5.000000000000000104e-03,1.102561847534308526e-01
6.666666666666667095e-03,1.104440068987846274e-01
8.333333333333333218e-03,1.107546210356425004e-01
1.000000000000000021e-02,1.111974363525256998e-01
1.166666666666666720e-02,1.117344660676789919e-01
1.333333333333333419e-02,1.124207322555546146e-01
1.500000000000000118e-02,1.132752477494753801e-01
1.666666666666666644e-02,1.142904088118578548e-01
1.833333333333333343e-02,1.155130025873374738e-01
2.000000000000000042e-02,1.169676840056406986e-01
2.166666666666666741e-02,1.186956627932624908e-01
2.333333333333333440e-02,1.206990651851976848e-01
2.500000000000000139e-02,1.230572100692577248e-01
2.666666666666666838e-02,1.260002676955038481e-01
2.833333333333333537e-02,1.295916052933877849e-01
3.000000000000000236e-02,1.338584701113587905e-01
3.166666666666666935e-02,1.388010814104303770e-01
3.333333333333333287e-02,1.444180895167161416e-01
3.500000000000000333e-02,1.507566932736172649e-01
3.666666666666666685e-02,1.578829710656627083e-01
3.833333333333333731e-02,1.655903954338293071e-01
4.000000000000000083e-02,1.736680195587956554e-01
4.166666666666667129e-02,1.823172017904457765e-01
4.333333333333333481e-02,1.916300557780688807e-01
4.500000000000000527e-02,2.014847311305275057e-01
4.666666666666666879e-02,2.117863498074054052e-01
4.833333333333333925e-02,2.223840902628769489e-01
5.000000000000000278e-02,2.332010389473953005e-01
5.166666666666667324e-02,2.442149260232241159e-01
5.333333333333333676e-02,2.553879148566056134e-01
5.500000000000000028e-02,2.667377425744009156e-01
5.666666666666667074e-02,2.782392082982902970e-01
5.833333333333333426e-02,2.898692956167902013e-01
6.000000000000000472e-02,3.015964249601065794e-01
6.166666666666666824e-02,3.134113336749875800e-01
6.333333333333333870e-02,3.252767579614782023e-01
6.500000000000000222e-02,3.371116119359661711e-01
6.666666666666666574e-02,3.487666361912605817e-01
6.833333333333334314e-02,3.601776595840047723e-01
7.000000000000000666e-02,3.713134207406260656e-01
7.166666666666667018e-02,3.821400986036714853e-01
7.333333333333333370e-02,3.926141464247338564e-01
7.500000000000001110e-02,4.027256320391734423e-01
7.666666666666667462e-02,4.123947691572886209e-01
7.833333333333333814e-02,4.216019492060845697e-01
8.000000000000000167e-02,4.303022969486992033e-01
8.166666666666666519e-02,4.384445051634890955e-01
8.333333333333334259e-02,4.460145112719356986e-01
8.500000000000000611e-02,4.530221779693593409e-01
8.666666666666666963e-02,4.594793424271403359e-01
8.833333333333333315e-02,4.653776391620242925e-01
9.000000000000001055e-02,4.707519603668795516e-01
9.166666666666667407e-02,4.756351729325328792e-01
9.333333333333333759e-02,4.800248409622641099e-01
9.500000000000000111e-02,4.838905179624116148e-01
9.666666666666667851e-02,4.871863891688406611e-01
9.833333333333334203e-02,4.898862248300616118e-01
1.000000000000000056e-01,4.920059814298344270e-01
1.016666666666666691e-01,4.935860091874888500e-01
1.033333333333333465e-01,4.946953678172680835e-01
1.050000000000000100e-01,4.956404809508975218e-01
1.066666666666666735e-01,4.964276653517395999e-01
1.083333333333333370e-01,4.970878505579829909e-01
1.100000000000000006e-01,4.976020189074468747e-01
1.116666666666666780e-01,4.980494681018033387e-01
1.133333333333333415e-01,4.984103601065882350e-01
1.150000000000000050e-01,4.987013277527186372e-01
1.166666666666666685e-01,4.989426356508081528e-01
1.183333333333333459e-01,4.991347177524296241e-01
1.200000000000000094e-01,4.992947383923808102e-01
1.216666666666666730e-01,4.994206487327255140e-01
1.233333333333333365e-01,4.995139996775395663e-01
1.250000000000000000e-01,4.996003322215908371e-01
1.266666666666666774e-01,4.996688496520854117e-01
1.283333333333333548e-01,4.997160671394782483e-01
1.300000000000000044e-01,4.997639201905240136e-01
1.316666666666666818e-01,4.998009326544880504e-01
1.333333333333333315e-01,4.998318445499417284e-01
1.350000000000000089e-01,4.998483531421881731e-01
1.366666666666666863e-01,4.998710172089794179e-01
1.383333333333333359e-01,4.998873802606906835e-01
1.400000000000000133e-01,4.999018669046931818e-01
1.416666666666666630e-01,4.999125761556226788e-01
1.433333333333333404e-01,4.999218130666026605e-01
1.450000000000000178e-01,4.999293013521606266e-01
1.466666666666666674e-01,4.999348957942383875e-01
1.483333333333333448e-01,4.999397238843049096e-01
1.500000000000000222e-01,4.999434012048690201e-01
1.516666666666666718e-01,4.999465443496057815e-01
1.533333333333333492e-01,4.999489546572328247e-01
1.549999999999999989e-01,4.983396501513155941e-01
1.566666666666666763e-01,4.983086187487259511e-01
1.583333333333333537e-01,4.984620102586763690e-01
1.600000000000000033e-01,4.972436685205972040e-01
1.616666666666666807e-01,4.976875254233644186e-01
1.633333333333333304e-01,4.980158120704881175e-01
1.650000000000000078e-01,4.969183214617067801e-01
1.666666666666666852e-01,4.974563485389985606e-01
1.683333333333333348e-01,4.965050871615681594e-01
1.700000000000000122e-01,4.971547207085444953e-01
1.716666666666666896e-01,4.976161056936762028e-01
1.733333333333333393e-01,4.966675876695217928e-01
1.750000000000000167e-01,4.972727093874671489e-01
1.766666666666666663e-01,4.964171699226185286e-01
1.783333333333333437e-01,4.970966311498368206e-01
1.800000000000000211e-01,4.975872345826437559e-01
1.816666666666666707e-01,4.966925040304685512e-01
1.833333333333333481e-01,4.973043811953302695e-01
1.850000000000000255e-01,4.964908932779394379e-01
1.866666666666666752e-01,4.971620614549389638e-01
1.883333333333333526e-01,4.976515603455103909e-01
1.900000000000000022e-01,4.967925937234098366e-01
1.916666666666666796e-01,4.973933235293381272e-01
1.933333333333333570e-01,4.966112437414094138e-01
1.950000000000000067e-01,4.972642477180090337e-01
1.966666666666666841e-01,4.977423505975335782e-01
1.983333333333333337e-01,4.969141453066934222e-01
2.000000000000000111e-01,4.974966332323966234e-01
2.016666666666666885e-01,4.967450604086223187e-01
2.033333333333333381e-01,4.973759721378017140e-01
2.050000000000000155e-01,4.978373005797733786e-01
2.066666666666666929e-01,4.970425392496574113e-01
2.083333333333333426e-01,4.976046207365218410e-01
2.100000000000000200e-01,4.979617690087050907e-01
2.116666666666666696e-01,4.972222980027796169e-01
2.133333333333333470e-01,4.977609303269621699e-01
2.150000000000000244e-01,4.970184521251464482e-01
2.166666666666666741e-01,4.976116651014580450e-01
2.183333333333333515e-01,4.980439984361584860e-01
2.200000000000000011e-01,4.972700093084314599e-01
2.216666666666666785e-01,4.978047371931264564e-01
2.233333333333333559e-01,4.971113068327621121e-01
2.250000000000000056e-01,4.976916092105145850e-01
2.266666666666666829e-01,4.981167949852915444e-01
2.283333333333333603e-01,4.973808429276959098e-01
2.300000000000000100e-01,4.978990591641294650e-01
2.316666666666666874e-01,4.972411134133638555e-01
2.333333333333333370e-01,4.977987639663425945e-01
2.350000000000000144e-01,4.982089603258467170e-01
2.366666666666666918e-01,4.975080925445206081e-01
2.383333333333333415e-01,4.979790567579524541e-01
2.400000000000000189e-01,4.973978031045083736e-01
2.416666666666666685e-01,4.978374335027191955e-01
2.433333333333333459e-01,4.982152749064910346e-01
2.450000000000000233e-01,4.976036088222730025e-01
2.466666666666666730e-01,4.979701103796183026e-01
2.483333333333333504e-01,4.975663315711674750e-01
2.500000000000000000e-01,4.978513568913445764e-01
2.516666666666667052e-01,4.982641900296332915e-01
2.533333333333333548e-01,4.976655900908635854e-01
2.550000000000000044e-01,4.980419615132218314e-01
2.566666666666667096e-01,4.976662785665886268e-01
2.583333333333333592e-01,4.979379091391513135e-01
2.600000000000000089e-01,4.983660098644704384e-01
2.616666666666666585e-01,4.977687270089655724e-01
2.633333333333333637e-01,4.981427929161953427e-01
