distance,dist_from_surface
3.333333333333333547e-03,1.101796779147155153e-01
5.000000000000000104e-03,1.102447839206695257e-01
6.666666666666667095e-03,1.104259031416042758e-01
8.333333333333333218e-03,1.107301285622508263e-01
1.000000000000000021e-02,1.111669648420018502e-01
1.166666666666666720e-02,1.117003539175502186e-01
1.333333333333333419e-02,1.123820796193394506e-01
1.500000000000000118e-02,1.132481653685099010e-01
1.666666666666666644e-02,1.143033718594586301e-01
1.833333333333333343e-02,1.155782455310391671e-01
2.000000000000000042e-02,1.172038406952618517e-01
2.166666666666666741e-02,1.193465223019724020e-01
2.333333333333333440e-02,1.221851984581030504e-01
2.500000000000000139e-02,1.256548571007402859e-01
2.666666666666666838e-02,1.297878330193237284e-01
2.833333333333333537e-02,1.345606005565692931e-01
3.000000000000000236e-02,1.400167565884688770e-01
3.166666666666666935e-02,1.459125731660926573e-01
3.333333333333333287e-02,1.519522169713036497e-01
3.500000000000000333e-02,1.579754704224108908e-01
3.666666666666666685e-02,1.637895097155266377e-01
3.833333333333333731e-02,1.693264230988389130e-01
4.000000000000000083e-02,1.744821712289199300e-01
4.166666666666667129e-02,1.792827493739547473e-01
4.333333333333333481e-02,1.838118452132441738e-01
4.500000000000000527e-02,1.881088610722892740e-01
4.666666666666666879e-02,1.921868662622749080e-01
4.833333333333333925e-02,1.960192163962871936e-01
5.000000000000000278e-02,1.996143802461516348e-01
5.166666666666667324e-02,2.029468645225421808e-01
5.333333333333333676e-02,2.059683520442975035e-01
5.500000000000000028e-02,2.086246642413097652e-01
5.666666666666667074e-02,2.108724245980974632e-01
5.833333333333333426e-02,2.126826746837574278e-01
6.000000000000000472e-02,2.140360865213545849e-01
6.166666666666666824e-02,2.149003832470894326e-01
6.333333333333333870e-02,2.152272129053305616e-01
6.500000000000000222e-02,2.151331702756315023e-01
6.666666666666666574e-02,2.147237809510954831e-01
6.833333333333334314e-02,2.140156988614909106e-01
7.000000000000000666e-02,2.130100224290369937e-01
7.166666666666667018e-02,2.117007071116509820e-01
7.333333333333333370e-02,2.101640455274264019e-01
7.500000000000001110e-02,2.085878674644362218e-01
7.666666666666667462e-02,2.071293705355053139e-01
7.833333333333333814e-02,2.058676194076788091e-01
8.000000000000000167e-02,2.048071671547838923e-01
8.166666666666666519e-02,2.039602924330524425e-01
8.333333333333334259e-02,2.032952974828420856e-01
8.500000000000000611e-02,2.027740683044367276e-01
