x,y
6.666666666666667095e-03,5.642684117243265685e-02
1.000000000000000021e-02,5.520156188836947142e-02
1.333333333333333419e-02,5.316341644041788772e-02
1.666666666666666644e-02,5.029883731393713919e-02
2.000000000000000042e-02,4.639633994808919221e-02
2.333333333333333440e-02,4.101360446451919606e-02
2.666666666666666838e-02,3.399943157487381185e-02
3.000000000000000236e-02,2.584890625674786044e-02
3.333333333333333287e-02,1.708800920250959712e-02
3.666666666666666685e-02,9.180947243054822862e-03
4.000000000000000083e-02,2.396628715269216291e-03
4.333333333333333481e-02,3.626418878798408352e-03
4.666666666666666879e-02,8.856877241682310428e-03
5.000000000000000278e-02,1.331586928004234102e-02
5.333333333333333676e-02,1.704601636605989484e-02
5.666666666666667074e-02,2.006001786624631369e-02
6.000000000000000472e-02,2.150668617587098499e-02
6.333333333333333870e-02,2.104376092973169604e-02
6.666666666666666574e-02,1.902956691361324879e-02
7.000000000000000666e-02,1.599230664251911904e-02
7.333333333333333370e-02,1.161409990380112521e-02
7.666666666666667462e-02,7.701496905377056695e-03
8.000000000000000167e-02,4.856714612055722767e-03
8.333333333333334259e-02,2.877965781423641196e-03
8.666666666666666963e-02,1.974771796537886162e-03
9.000000000000001055e-02,1.513497594792572983e-03
9.333333333333333759e-02,9.085165828220012185e-04
9.666666666666667851e-02,7.026152657179041356e-04
1.000000000000000056e-01,4.276465176337737400e-04
1.033333333333333465e-01,4.230176257826018227e-04
1.066666666666666735e-01,2.111618153052983646e-04
1.100000000000000006e-01,2.093322589979949063e-04
1.133333333333333415e-01,1.600540444964824833e-05
1.166666666666666685e-01,6.227105670881727590e-05
1.200000000000000094e-01,6.771289269845788452e-05
1.233333333333333365e-01,3.277796570530367554e-05
1.266666666666666774e-01,6.133013537434535715e-05
1.300000000000000044e-01,1.102163238077764532e-04
1.333333333333333315e-01,8.668368268791074277e-05
1.366666666666666863e-01,3.099983300711912134e-04
1.400000000000000133e-01,3.243908445526242084e-04
1.433333333333333404e-01,5.600484756715017011e-04
1.466666666666666674e-01,5.759610241386760266e-04
1.500000000000000222e-01,7.577349029371274443e-04
1.533333333333333492e-01,7.002013040908160180e-04
1.566666666666666763e-01,7.960189684719355761e-04
1.600000000000000033e-01,6.443071818278761024e-04
1.633333333333333304e-01,7.239724461988437422e-04
1.666666666666666852e-01,5.993462471582317649e-04
1.700000000000000122e-01,1.806709417779501028e-04
1.733333333333333393e-01,2.554020263619437639e-03
1.766666666666666663e-01,5.086160540311025248e-03
1.800000000000000211e-01,4.413084053197608055e-03
1.833333333333333481e-01,4.614063999171918659e-03
1.866666666666666752e-01,4.844967565918646517e-03
1.900000000000000022e-01,6.604212705584927220e-03
1.933333333333333570e-01,4.560798079854534032e-03
1.966666666666666841e-01,5.414552436794961739e-03
2.000000000000000111e-01,5.802125709585566511e-03
2.033333333333333381e-01,5.990907514370087499e-03
2.066666666666666929e-01,4.463909944304549765e-03
2.100000000000000200e-01,3.860038673873467108e-03
2.133333333333333470e-01,4.412529611310648907e-03
2.166666666666666741e-01,6.071793734356491223e-03
2.200000000000000011e-01,5.010356695860998695e-03
2.233333333333333559e-01,5.027692146558959685e-03
2.266666666666666829e-01,4.841921117058438362e-03
2.300000000000000100e-01,5.581669710618073106e-03
2.333333333333333370e-01,4.103094925966918431e-03
2.366666666666666918e-01,4.048570943388705295e-03
2.400000000000000189e-01,4.241399187102908551e-03
2.433333333333333459e-01,5.581096135776270235e-03
2.466666666666666730e-01,4.475192587684794290e-03
