distance,error
6.666666666666667095e-03,5.642713255292088753e-02
1.000000000000000021e-02,5.520784226432100261e-02
1.333333333333333419e-02,5.315727327233120414e-02
1.666666666666666644e-02,5.033928952558062997e-02
2.000000000000000042e-02,4.654386517036512849e-02
2.333333333333333440e-02,4.152614322321740437e-02
2.666666666666666838e-02,3.473304363844237352e-02
3.000000000000000236e-02,2.670247796969697773e-02
3.333333333333333287e-02,1.773079124972221088e-02
3.666666666666666685e-02,9.122050728986185256e-03
4.000000000000000083e-02,1.407003312468401617e-03
4.333333333333333481e-02,5.574907403459691477e-03
4.666666666666666879e-02,1.174461709175456635e-02
5.000000000000000278e-02,1.721882074135538954e-02
5.333333333333333676e-02,2.203334589328867152e-02
5.666666666666667074e-02,2.538226066418068638e-02
6.000000000000000472e-02,2.698860736045589556e-02
6.333333333333333870e-02,2.688778972185112276e-02
6.666666666666666574e-02,2.548708783570440353e-02
7.000000000000000666e-02,2.302575414662931877e-02
7.333333333333333370e-02,1.943377247001247879e-02
7.666666666666667462e-02,1.505805631952587820e-02
8.000000000000000167e-02,1.092387524052645942e-02
8.333333333333334259e-02,7.587245797741835537e-03
8.666666666666666963e-02,5.224932121558681364e-03
9.000000000000001055e-02,3.722008427839288910e-03
9.333333333333333759e-02,2.756370851226687402e-03
9.666666666666667851e-02,2.428312466127884733e-03
1.000000000000000056e-01,1.965601778556592006e-03
1.033333333333333465e-01,1.779128895993889155e-03
1.066666666666666735e-01,1.397502485067703137e-03
1.100000000000000006e-01,1.242485445496221063e-03
1.133333333333333415e-01,1.004726802623908148e-03
1.166666666666666685e-01,1.064828598110884907e-03
1.200000000000000094e-01,9.120588335750855723e-04
1.233333333333333365e-01,1.001257193914076608e-03
1.266666666666666774e-01,8.596766926436571381e-04
1.300000000000000044e-01,9.370492378641142759e-04
1.333333333333333315e-01,8.036022309287120741e-04
1.366666666666666863e-01,8.993814608753036193e-04
1.400000000000000133e-01,7.890033365093743287e-04
1.433333333333333404e-01,8.994858666054122119e-04
1.466666666666666674e-01,8.039085196174863964e-04
1.500000000000000222e-01,9.309724291532662718e-04
1.533333333333333492e-01,8.466796187636201239e-04
1.566666666666666763e-01,9.348093313630504841e-04
1.600000000000000033e-01,7.770778131903534206e-04
1.633333333333333304e-01,8.457971579067609293e-04
1.666666666666666852e-01,6.941956224885181869e-04
1.700000000000000122e-01,6.928767142322082460e-04
1.733333333333333393e-01,2.508089530326077995e-03
1.766666666666666663e-01,5.752335052506025483e-03
1.800000000000000211e-01,4.850344037889657046e-03
1.833333333333333481e-01,4.704372140747674867e-03
1.866666666666666752e-01,4.994796756030069410e-03
1.900000000000000022e-01,6.680156836246333926e-03
1.933333333333333570e-01,4.717317040550266655e-03
1.966666666666666841e-01,5.348522935901234635e-03
2.000000000000000111e-01,6.002775678905357404e-03
2.033333333333333381e-01,6.228194316614802349e-03
