distance,error
6.666666666666667095e-03,5.642713255292086671e-02
1.000000000000000021e-02,5.520775480351897135e-02
1.333333333333333419e-02,5.315686049868201257e-02
1.666666666666666644e-02,5.033916070444649504e-02
2.000000000000000042e-02,4.654294746847417730e-02
2.333333333333333440e-02,4.152492549302819191e-02
2.666666666666666838e-02,3.472390677741474252e-02
3.000000000000000236e-02,2.669048493591186233e-02
3.333333333333333287e-02,1.772808007241866157e-02
3.666666666666666685e-02,9.128968127872005844e-03
4.000000000000000083e-02,1.420031395426457621e-03
4.333333333333333481e-02,5.554455759719245656e-03
4.666666666666666879e-02,1.171926803698186692e-02
5.000000000000000278e-02,1.718881754522844085e-02
5.333333333333333676e-02,2.199801235541024025e-02
5.666666666666667074e-02,2.533476000862761035e-02
6.000000000000000472e-02,2.692740424564241120e-02
6.333333333333333870e-02,2.678261329138270641e-02
6.666666666666666574e-02,2.543226247753407887e-02
7.000000000000000666e-02,2.292249907137730580e-02
7.333333333333333370e-02,1.937501622162995929e-02
7.666666666666667462e-02,1.514503189911908798e-02
8.000000000000000167e-02,1.100323276862374966e-02
8.333333333333334259e-02,7.482252029995112297e-03
8.666666666666666963e-02,5.002828413584042844e-03
9.000000000000001055e-02,3.575061822818303980e-03
9.333333333333333759e-02,2.755576206617010859e-03
9.666666666666667851e-02,2.308008758431845386e-03
1.000000000000000056e-01,1.874402572537570144e-03
1.033333333333333465e-01,1.883512485102767364e-03
1.066666666666666735e-01,1.690182178269938884e-03
1.100000000000000006e-01,1.646183019948482817e-03
1.133333333333333415e-01,1.352502425105261974e-03
1.166666666666666685e-01,1.286664004352011670e-03
1.200000000000000094e-01,1.007310589382331978e-03
1.233333333333333365e-01,9.647099078192444832e-04
1.266666666666666774e-01,7.015719796046593348e-04
1.300000000000000044e-01,6.417635202177751630e-04
1.333333333333333315e-01,5.090044303191487707e-04
1.366666666666666863e-01,6.785162191628169026e-04
1.400000000000000133e-01,6.408584362271874113e-04
1.433333333333333404e-01,7.907053706568134555e-04
1.466666666666666674e-01,7.158805743381069231e-04
1.500000000000000222e-01,8.452093257415305150e-04
1.533333333333333492e-01,7.531825249712520431e-04
1.566666666666666763e-01,8.396239129408178403e-04
1.600000000000000033e-01,6.841337561972749004e-04
1.633333333333333304e-01,7.553139197455649434e-04
1.666666666666666852e-01,6.061694048951626890e-04
1.700000000000000122e-01,6.858753856352206579e-04
1.733333333333333393e-01,2.481858460801789068e-03
1.766666666666666663e-01,5.738192916143525224e-03
1.800000000000000211e-01,4.922961149848276152e-03
1.833333333333333481e-01,4.847664964799602849e-03
1.866666666666666752e-01,4.898825658901068136e-03
1.900000000000000022e-01,6.615742614747899264e-03
1.933333333333333570e-01,4.859038002857751781e-03
1.966666666666666841e-01,5.308823719051058987e-03
2.000000000000000111e-01,5.497464641902316540e-03
2.033333333333333381e-01,5.968698764673596724e-03
2.066666666666666929e-01,4.757343326917851112e-03
2.100000000000000200e-01,4.435140848192409280e-03
2.133333333333333470e-01,5.335645793991650176e-03
2.166666666666666741e-01,6.041605968077262689e-03
2.200000000000000011e-01,3.790754896801390439e-03
2.233333333333333559e-01,3.379671847571347199e-03
2.266666666666666829e-01,4.452701588869067972e-03
2.300000000000000100e-01,5.126460322336628961e-03
2.333333333333333370e-01,4.450028353877893972e-03
2.366666666666666918e-01,4.118478446283518890e-03
2.400000000000000189e-01,4.906347915883568778e-03
2.433333333333333459e-01,5.295519463344555700e-03
2.466666666666666730e-01,3.972366022209072867e-03
2.500000000000000000e-01,3.306936817943972873e-03
2.533333333333333548e-01,3.827129794510192307e-03
2.566666666666667096e-01,4.229264381795688754e-03
2.600000000000000089e-01,3.134392398011748293e-03
2.633333333333333637e-01,3.101632300718387691e-03
2.666666666666666630e-01,3.413800692712659623e-03
2.700000000000000178e-01,4.014445404660255123e-03
2.733333333333333726e-01,3.726747722092832449e-03
2.766666666666666718e-01,4.180898203174743255e-03
2.800000000000000266e-01,3.931263674631424454e-03
2.833333333333333259e-01,4.075941784442177473e-03
2.866666666666666807e-01,3.788761206969332163e-03
2.900000000000000355e-01,3.944508682280273293e-03
2.933333333333333348e-01,3.612693799457972199e-03
2.966666666666666896e-01,3.814591018688751056e-03
3.000000000000000444e-01,3.442987702187733090e-03
3.033333333333333437e-01,3.701224985953377455e-03
