distance,error
6.666666666666667095e-03,5.674891220583273832e-02
1.000000000000000021e-02,5.648315931230286913e-02
1.333333333333333419e-02,5.600737583684338439e-02
1.666666666666666644e-02,5.531337952177079603e-02
2.000000000000000042e-02,5.440159572879321032e-02
2.333333333333333440e-02,5.333100302379621682e-02
2.666666666666666838e-02,5.205124813955125385e-02
3.000000000000000236e-02,5.052434115944377108e-02
3.333333333333333287e-02,4.877127751607826522e-02
3.666666666666666685e-02,4.667290045102858581e-02
4.000000000000000083e-02,4.426390304015769689e-02
4.333333333333333481e-02,4.144330240072426064e-02
4.666666666666666879e-02,3.818372437250717316e-02
5.000000000000000278e-02,3.458877913123881154e-02
5.333333333333333676e-02,3.070111906404682234e-02
5.666666666666667074e-02,2.648668367309960081e-02
6.000000000000000472e-02,2.213114959650165289e-02
6.333333333333333870e-02,1.793199538446185390e-02
6.666666666666666574e-02,1.402178228506474264e-02
7.000000000000000666e-02,1.034891564123026006e-02
7.333333333333333370e-02,6.874940056088641935e-03
7.666666666666667462e-02,3.594887719105955507e-03
8.000000000000000167e-02,5.028687764878703777e-04
8.333333333333334259e-02,2.408124839695970944e-03
8.666666666666666963e-02,5.117462686084144931e-03
9.000000000000001055e-02,7.609813650881937751e-03
9.333333333333333759e-02,9.939369219030221025e-03
9.666666666666667851e-02,1.211616992748076188e-02
1.000000000000000056e-01,1.403193184248482418e-02
1.033333333333333465e-01,1.570280404167581981e-02
1.066666666666666735e-01,1.705714429902696269e-02
1.100000000000000006e-01,1.797822448234419682e-02
1.133333333333333415e-01,1.852765338292070366e-02
1.166666666666666685e-01,1.864840412135190806e-02
1.200000000000000094e-01,1.827328235513682453e-02
1.233333333333333365e-01,1.755716945642942298e-02
1.266666666666666774e-01,1.656496769435676988e-02
1.300000000000000044e-01,1.528268806582758210e-02
1.333333333333333315e-01,1.370077564326646971e-02
1.366666666666666863e-01,1.188538988228411870e-02
1.400000000000000133e-01,1.004614875412214968e-02
1.433333333333333404e-01,8.365162799007000091e-03
1.466666666666666674e-01,6.919009783874286064e-03
1.500000000000000222e-01,5.720033294351675214e-03
1.533333333333333492e-01,4.763645768926846186e-03
1.566666666666666763e-01,4.012875594144106259e-03
1.600000000000000033e-01,3.427598385157641040e-03
1.633333333333333304e-01,2.976050553267921110e-03
1.666666666666666852e-01,2.622865414152121284e-03
1.700000000000000122e-01,2.337609574268996980e-03
1.733333333333333393e-01,2.917400776601481371e-04
1.766666666666666663e-01,3.751826333168398458e-03
1.800000000000000211e-01,5.671921120032773558e-03
1.833333333333333481e-01,5.691109458104979917e-03
1.866666666666666752e-01,7.341102267620550244e-03
1.900000000000000022e-01,9.060978739286898107e-03
1.933333333333333570e-01,8.910484343497561757e-03
1.966666666666666841e-01,9.113990886271530756e-03
2.000000000000000111e-01,9.642148554185447223e-03
2.033333333333333381e-01,1.046127414936485166e-02
2.066666666666666929e-01,1.087999493383836995e-02
2.100000000000000200e-01,9.649285817878369698e-03
2.133333333333333470e-01,1.029427103917154515e-02
2.166666666666666741e-01,1.128664699846312035e-02
2.200000000000000011e-01,1.116919672800435401e-02
2.233333333333333559e-01,9.751570688077046065e-03
2.266666666666666829e-01,1.053243474869077628e-02
2.300000000000000100e-01,1.140130169725660919e-02
2.333333333333333370e-01,1.116133153983605089e-02
2.366666666666666918e-01,9.638473529070937934e-03
2.400000000000000189e-01,1.058345970692123675e-02
2.433333333333333459e-01,1.123471088869130823e-02
2.466666666666666730e-01,1.090426918726174893e-02
2.500000000000000000e-01,9.716897872360507130e-03
2.533333333333333548e-01,1.045431623431289370e-02
2.566666666666667096e-01,1.094173235816360383e-02
2.600000000000000089e-01,1.046026699267041046e-02
2.633333333333333637e-01,9.742663472513832246e-03
2.666666666666666630e-01,1.025320407026007047e-02
2.700000000000000178e-01,1.052407684053553380e-02
2.733333333333333726e-01,9.267853227259224835e-03
2.766666666666666718e-01,9.756596883343227750e-03
2.800000000000000266e-01,9.959600843502551537e-03
2.833333333333333259e-01,9.968005678261964222e-03
2.866666666666666807e-01,9.335862339485795705e-03
2.900000000000000355e-01,9.450339675070942164e-03
2.933333333333333348e-01,9.350478037842393023e-03
2.966666666666666896e-01,9.133549528100911447e-03
3.000000000000000444e-01,9.077609942322685532e-03
3.033333333333333437e-01,8.922227925909083368e-03
3.066666666666666985e-01,8.895313519871144575e-03
3.099999999999999978e-01,8.796531282362353779e-03
3.133333333333333526e-01,8.774836213642176266e-03
3.166666666666667074e-01,8.728426809063492484e-03
3.200000000000000067e-01,8.736082567811971969e-03
3.233333333333333615e-01,8.720307902880572448e-03
3.266666666666666607e-01,8.726889759495324098e-03
3.300000000000000155e-01,8.716874978840546268e-03
3.333333333333333703e-01,8.716408861876051573e-03
3.366666666666666696e-01,8.708457007614136061e-03
3.400000000000000244e-01,8.714407901905731058e-03
3.433333333333333792e-01,8.697689817205356971e-03
3.466666666666666785e-01,8.356738025848487253e-03
3.500000000000000333e-01,8.397614077324463966e-03
3.533333333333333326e-01,8.515384590907847800e-03
3.566666666666666874e-01,8.402406784567226575e-03
3.600000000000000422e-01,7.914660308745651018e-03
3.633333333333333415e-01,7.966862075630080225e-03
3.666666666666666963e-01,7.774547369621813767e-03
3.700000000000000511e-01,7.262011177847836792e-03
3.733333333333333504e-01,7.670024364512762968e-03
3.766666666666667052e-01,6.849684752279754964e-03
3.800000000000000044e-01,6.533874256837847276e-03
3.833333333333333592e-01,7.074066686845858348e-03
3.866666666666667140e-01,7.226364835401636634e-03
3.900000000000000133e-01,5.535428849790971322e-03
3.933333333333333681e-01,5.860905628396972065e-03
3.966666666666666674e-01,6.126282919093803923e-03
4.000000000000000222e-01,6.097161445838471423e-03
4.033333333333333770e-01,5.554310717616590953e-03
4.066666666666666763e-01,4.678801149923129260e-03
