distance,error
1.000000000000000021e-02,2.898203339245741250e-01
1.499999999999999944e-02,2.897555110689457036e-01
2.000000000000000042e-02,2.895757188632190893e-01
2.500000000000000139e-02,2.892747503070794979e-01
2.999999999999999889e-02,2.888439481222467853e-01
3.500000000000000333e-02,2.882800782904212933e-01
4.000000000000000083e-02,2.875900916582975197e-01
4.499999999999999833e-02,2.867007241650010307e-01
5.000000000000000278e-02,2.855996610633801391e-01
5.500000000000000028e-02,2.843041874374769851e-01
5.999999999999999778e-02,2.827646789493258317e-01
6.500000000000000222e-02,2.809608632514317694e-01
7.000000000000000666e-02,2.788367204425176160e-01
7.499999999999999722e-02,2.761756276977072599e-01
8.000000000000000167e-02,2.730325012390362183e-01
8.500000000000000611e-02,2.691976702119416309e-01
8.999999999999999667e-02,2.646736572802834697e-01
9.500000000000000111e-02,2.594374575327036414e-01
1.000000000000000056e-01,2.534431925602715352e-01
1.049999999999999961e-01,2.467433914439408349e-01
1.100000000000000006e-01,2.396234656093231274e-01
1.150000000000000050e-01,2.321817489511822652e-01
1.199999999999999956e-01,2.242805079867450924e-01
1.250000000000000000e-01,2.158550284126850571e-01
1.300000000000000044e-01,2.068027551754376137e-01
1.350000000000000089e-01,1.972366493932015963e-01
1.400000000000000133e-01,1.873508837650508241e-01
1.449999999999999900e-01,1.772752176085417852e-01
1.499999999999999944e-01,1.670541296732645786e-01
1.549999999999999989e-01,1.567061783872279734e-01
1.600000000000000033e-01,1.462541717973432909e-01
1.650000000000000078e-01,1.357661071923562668e-01
1.700000000000000122e-01,1.252340825349935738e-01
1.750000000000000167e-01,1.147186302402367075e-01
1.799999999999999933e-01,1.043180670749535577e-01
1.849999999999999978e-01,9.424299930308938089e-02
1.900000000000000022e-01,8.460883703050103843e-02
1.950000000000000067e-01,7.547167497213097542e-02
2.000000000000000111e-01,6.689032391659915922e-02
2.050000000000000155e-01,5.891107236982939810e-02
2.099999999999999922e-01,5.154488548027463812e-02
2.149999999999999967e-01,4.478864246420188877e-02
2.200000000000000011e-01,3.868084054557346940e-02
2.250000000000000056e-01,3.314978837626053609e-02
2.300000000000000100e-01,2.816997391777975590e-02
2.350000000000000144e-01,2.375105497643992258e-02
2.399999999999999911e-01,1.993974800232750644e-02
2.449999999999999956e-01,1.670408102954612506e-02
2.500000000000000000e-01,1.397928060540049033e-02
2.550000000000000044e-01,1.165257756760779140e-02
2.600000000000000089e-01,9.676892289917027323e-03
2.650000000000000133e-01,8.009947627375224588e-03
2.700000000000000178e-01,6.607791072131774524e-03
2.750000000000000222e-01,7.461229372779543123e-03
2.800000000000000266e-01,9.820891618506910614e-03
2.850000000000000311e-01,1.088088006897192095e-02
2.899999999999999800e-01,1.098729257013353333e-02
2.949999999999999845e-01,1.347084613629295768e-02
2.999999999999999889e-01,1.224604252277539107e-02
3.049999999999999933e-01,1.110401091761947789e-02
3.099999999999999978e-01,1.006265202903516842e-02
3.150000000000000022e-01,9.127529207310802750e-03
3.200000000000000067e-01,1.096825197603606972e-02
3.250000000000000111e-01,9.740399789054832169e-03
3.300000000000000155e-01,8.650374158368667743e-03
3.350000000000000200e-01,9.012603586838807690e-03
3.400000000000000244e-01,6.882510238213512821e-03
3.450000000000000289e-01,5.386861508260509801e-03
3.500000000000000333e-01,8.560135006175584316e-03
3.549999999999999822e-01,6.078772591522563218e-03
3.599999999999999867e-01,4.947454159607456159e-03
3.649999999999999911e-01,8.759367712744325907e-03
3.699999999999999956e-01,5.060381536994784657e-03
3.750000000000000000e-01,6.296195664041492890e-03
3.800000000000000044e-01,8.557231050983049592e-03
3.850000000000000089e-01,6.702073420539023108e-03
3.900000000000000133e-01,6.646505806926661375e-03
3.950000000000000178e-01,6.517576834983773715e-03
4.000000000000000222e-01,6.387335259973814239e-03
4.050000000000000266e-01,6.203454531727159438e-03
4.100000000000000311e-01,7.191831111997393222e-03
4.150000000000000355e-01,6.664238284666390566e-03
4.199999999999999845e-01,6.226416294857872735e-03
4.249999999999999889e-01,5.798583192673123499e-03
4.299999999999999933e-01,5.424718166942732456e-03
4.349999999999999978e-01,5.062568587021309963e-03
4.400000000000000022e-01,5.534264130614363619e-03
4.450000000000000067e-01,4.980794253721443354e-03
4.500000000000000111e-01,4.518967024084274975e-03
4.550000000000000155e-01,4.087175077850724314e-03
4.600000000000000200e-01,3.710248172002272860e-03
4.650000000000000244e-01,3.843523719282093687e-03
4.700000000000000289e-01,3.359233657973414999e-03
4.750000000000000333e-01,2.940357813223215544e-03
4.799999999999999822e-01,2.560004403587057276e-03
4.849999999999999867e-01,2.220631956330210155e-03
4.899999999999999911e-01,2.086484518831588364e-03
4.949999999999999956e-01,1.707843926824159642e-03
5.000000000000000000e-01,1.371655585548969825e-03
5.050000000000000044e-01,1.063949415881892957e-03
5.100000000000000089e-01,8.060319066797716481e-04
