distance,dist_from_surface
1.000000000000000021e-02,1.101796660754259111e-01
1.499999999999999944e-02,1.102444889310543324e-01
2.000000000000000042e-02,1.104242811367809191e-01
2.500000000000000139e-02,1.107252496929205243e-01
2.999999999999999889e-02,1.111560518777532508e-01
3.500000000000000333e-02,1.117199217095787289e-01
4.000000000000000083e-02,1.124099083417024886e-01
4.499999999999999833e-02,1.132992758349990192e-01
5.000000000000000278e-02,1.144003389366198969e-01
5.500000000000000028e-02,1.156958125625230233e-01
5.999999999999999778e-02,1.172353210506742044e-01
6.500000000000000222e-02,1.190391367485682805e-01
7.000000000000000666e-02,1.211632795574824201e-01
7.499999999999999722e-02,1.238243723022927484e-01
8.000000000000000167e-02,1.269674987609638039e-01
8.500000000000000611e-02,1.308023297880584190e-01
8.999999999999999667e-02,1.353263427197165525e-01
9.500000000000000111e-02,1.405625424672963808e-01
1.000000000000000056e-01,1.465568074397284870e-01
1.049999999999999961e-01,1.532566085560591873e-01
1.100000000000000006e-01,1.603765343906768948e-01
1.150000000000000050e-01,1.678182510488177570e-01
1.199999999999999956e-01,1.757194920132549298e-01
1.250000000000000000e-01,1.841449715873149651e-01
1.300000000000000044e-01,1.931972448245624085e-01
1.350000000000000089e-01,2.027633506067984259e-01
1.400000000000000133e-01,2.126491162349491981e-01
1.449999999999999900e-01,2.227247823914582370e-01
1.499999999999999944e-01,2.329458703267354436e-01
1.549999999999999989e-01,2.432938216127720488e-01
1.600000000000000033e-01,2.537458282026567313e-01
1.650000000000000078e-01,2.642338928076437554e-01
1.700000000000000122e-01,2.747659174650064484e-01
1.750000000000000167e-01,2.852813697597633147e-01
1.799999999999999933e-01,2.956819329250464645e-01
1.849999999999999978e-01,3.057570006969106413e-01
1.900000000000000022e-01,3.153911629694989838e-01
1.950000000000000067e-01,3.245283250278690468e-01
2.000000000000000111e-01,3.331096760834008630e-01
2.050000000000000155e-01,3.410889276301706241e-01
2.099999999999999922e-01,3.484551145197253841e-01
2.149999999999999967e-01,3.552113575357981334e-01
2.200000000000000011e-01,3.613191594544265528e-01
2.250000000000000056e-01,3.668502116237394861e-01
2.300000000000000100e-01,3.718300260822202663e-01
2.350000000000000144e-01,3.762489450235600996e-01
2.399999999999999911e-01,3.800602519976725158e-01
2.449999999999999956e-01,3.832959189704538971e-01
2.500000000000000000e-01,3.860207193945995319e-01
2.550000000000000044e-01,3.883474224323922308e-01
2.600000000000000089e-01,3.903231077100829949e-01
2.650000000000000133e-01,3.919900523726247976e-01
2.700000000000000178e-01,3.933922089278682477e-01
2.750000000000000222e-01,3.925387706272204791e-01
2.800000000000000266e-01,3.901791083814931116e-01
2.850000000000000311e-01,3.891191199310281013e-01
2.899999999999999800e-01,3.890127074298664889e-01
2.949999999999999845e-01,3.865291538637070645e-01
2.999999999999999889e-01,3.877539574772246311e-01
3.049999999999999933e-01,3.888959890823805443e-01
3.099999999999999978e-01,3.899373479709648538e-01
3.150000000000000022e-01,3.908724707926892195e-01
