distance,error
6.666666666666667095e-03,2.567489247009421272e-01
1.000000000000000021e-02,2.564833583210797130e-01
1.333333333333333419e-02,2.560087795538942279e-01
1.666666666666666644e-02,2.553193934859319114e-01
2.000000000000000042e-02,2.544074651234069506e-01
2.333333333333333440e-02,2.533310552964560536e-01
2.666666666666666838e-02,2.520709991535589056e-01
3.000000000000000236e-02,2.505749837304915850e-01
3.333333333333333287e-02,2.488358291356143615e-01
3.666666666666666685e-02,2.468641337692765170e-01
4.000000000000000083e-02,2.447575977674712189e-01
4.333333333333333481e-02,2.423585457685243361e-01
4.666666666666666879e-02,2.396064134729952166e-01
5.000000000000000278e-02,2.364703698068747473e-01
5.333333333333333676e-02,2.328859419594879188e-01
5.666666666666667074e-02,2.288351733153013989e-01
6.000000000000000472e-02,2.243173020259522366e-01
6.333333333333333870e-02,2.193764398536906801e-01
6.666666666666666574e-02,2.139528763220684415e-01
7.000000000000000666e-02,2.080100949844509717e-01
7.333333333333333370e-02,2.016073907872996673e-01
7.666666666666667462e-02,1.946081276913960156e-01
8.000000000000000167e-02,1.870940654192080888e-01
8.333333333333334259e-02,1.790984004025878151e-01
8.666666666666666963e-02,1.708438060999390995e-01
9.000000000000001055e-02,1.624513795675064098e-01
9.333333333333333759e-02,1.637618328414486846e-01
9.666666666666667851e-02,1.652266394796849114e-01
1.000000000000000056e-01,1.656990195761877116e-01
1.033333333333333465e-01,1.655291433156406700e-01
1.066666666666666735e-01,1.643968454630553577e-01
1.100000000000000006e-01,1.613432602440839359e-01
1.133333333333333415e-01,1.584909031531204215e-01
1.166666666666666685e-01,1.550743220791045152e-01
1.200000000000000094e-01,1.509674501830407800e-01
1.233333333333333365e-01,1.447259348622357278e-01
1.266666666666666774e-01,1.397638190584842843e-01
1.300000000000000044e-01,1.345029574136436534e-01
1.333333333333333315e-01,1.287877683374999971e-01
1.366666666666666863e-01,1.209415760562795317e-01
1.400000000000000133e-01,1.146739423696715443e-01
1.433333333333333404e-01,1.086495392543628813e-01
1.466666666666666674e-01,1.026349584558619021e-01
1.500000000000000222e-01,9.450514109453406197e-02
1.533333333333333492e-01,8.900491329380866290e-02
1.566666666666666763e-01,8.357773894311537610e-02
1.600000000000000033e-01,7.819090631962422044e-02
1.633333333333333304e-01,7.217858288887446516e-02
1.666666666666666852e-01,6.762279185315661634e-02
1.700000000000000122e-01,6.288926340230427403e-02
1.733333333333333393e-01,5.802562252382270636e-02
1.766666666666666663e-01,5.345092904555931446e-02
1.800000000000000211e-01,5.013397276494896415e-02
1.833333333333333481e-01,4.641521401032500105e-02
1.866666666666666752e-01,4.167639374850795608e-02
1.900000000000000022e-01,3.939022694105054345e-02
1.933333333333333570e-01,3.721507875254398412e-02
1.966666666666666841e-01,3.266665840928062448e-02
2.000000000000000111e-01,3.143984974215630057e-02
2.033333333333333381e-01,3.025557187221999955e-02
2.066666666666666929e-01,2.732351876883254427e-02
2.100000000000000200e-01,2.639327970220267661e-02
2.133333333333333470e-01,2.637545294761051151e-02
2.166666666666666741e-01,2.460252485321412497e-02
2.200000000000000011e-01,2.311373518110676484e-02
2.233333333333333559e-01,2.339272442435208488e-02
2.266666666666666829e-01,2.303049212580871030e-02
2.300000000000000100e-01,2.059896321589438362e-02
2.333333333333333370e-01,2.100330910179609711e-02
2.366666666666666918e-01,2.136601016200861958e-02
2.400000000000000189e-01,1.861082080755088741e-02
2.433333333333333459e-01,1.914023668328285188e-02
2.466666666666666730e-01,1.958776282940288826e-02
2.500000000000000000e-01,1.706590031735671920e-02
2.533333333333333548e-01,1.758461843627956434e-02
2.566666666666667096e-01,1.799671856728984887e-02
2.600000000000000089e-01,1.581368433111307592e-02
