distance,error
3.333333333333333547e-03,1.567489170763238238e-01
5.000000000000000104e-03,1.564831855239014191e-01
6.666666666666667095e-03,1.560073452092083646e-01
8.333333333333333218e-03,1.553123393516387118e-01
1.000000000000000021e-02,1.544059887720065360e-01
1.166666666666666720e-02,1.533318433153283977e-01
1.333333333333333419e-02,1.520347442593305010e-01
1.500000000000000118e-02,1.505243959349794880e-01
1.666666666666666644e-02,1.487087741427091103e-01
1.833333333333333343e-02,1.465647266238456758e-01
2.000000000000000042e-02,1.440312470738837058e-01
2.166666666666666741e-02,1.410623055434225837e-01
2.333333333333333440e-02,1.375679729391812156e-01
2.500000000000000139e-02,1.335574048824039739e-01
2.666666666666666838e-02,1.291314285560518083e-01
2.833333333333333537e-02,1.241611560817613147e-01
3.000000000000000236e-02,1.186523965328507291e-01
3.166666666666666935e-02,1.127046596367083653e-01
3.333333333333333287e-02,1.061837516449745944e-01
3.500000000000000333e-02,9.937597495979436091e-02
3.666666666666666685e-02,9.260221583416586300e-02
3.833333333333333731e-02,8.604834937676872353e-02
4.000000000000000083e-02,7.978950817395683015e-02
4.166666666666667129e-02,7.378167546146555122e-02
4.333333333333333481e-02,6.806282682014208607e-02
4.500000000000000527e-02,6.264435552601724244e-02
4.666666666666666879e-02,5.741364506728463546e-02
4.833333333333333925e-02,5.232853249956592734e-02
5.000000000000000278e-02,4.738742972396264852e-02
5.166666666666667324e-02,4.264372449500758444e-02
5.333333333333333676e-02,3.801987634300862950e-02
5.500000000000000028e-02,3.347424612265864630e-02
5.666666666666667074e-02,2.905162231786395655e-02
5.833333333333333426e-02,2.485357213739591842e-02
6.000000000000000472e-02,2.089057024422774633e-02
6.166666666666666824e-02,1.826969463284028317e-02
6.333333333333333870e-02,1.809247010131309619e-02
6.500000000000000222e-02,1.730043475120185414e-02
6.666666666666666574e-02,1.571532415930987359e-02
6.833333333333334314e-02,1.396089257631788483e-02
7.000000000000000666e-02,1.222737560485837038e-02
7.166666666666667018e-02,1.047585414040863583e-02
7.333333333333333370e-02,9.500942877573137491e-03
7.500000000000001110e-02,8.631813323341785971e-03
7.666666666666667462e-02,7.667127159097175682e-03
7.833333333333333814e-02,7.377756735027940493e-03
8.000000000000000167e-02,6.704790644505187469e-03
8.166666666666666519e-02,6.876801519462683032e-03
8.333333333333334259e-02,6.985274690084974925e-03
8.500000000000000611e-02,6.645862973873539747e-03
8.666666666666666963e-02,6.939156285752312581e-03
8.833333333333333315e-02,6.929296074920321402e-03
9.000000000000001055e-02,6.770441928677983778e-03
9.166666666666667407e-02,7.015424751513399393e-03
9.333333333333333759e-02,6.552477847075244277e-03
9.500000000000000111e-02,6.936812433402272937e-03
9.666666666666667851e-02,7.122012066020422250e-03
9.833333333333334203e-02,6.682708726584052350e-03
1.000000000000000056e-01,7.023237695151895998e-03
1.016666666666666691e-01,6.746327416298603108e-03
1.033333333333333465e-01,6.857701395012183454e-03
1.050000000000000100e-01,7.147353140397050275e-03
1.066666666666666735e-01,6.587953945626723318e-03
1.083333333333333370e-01,7.027011395593085741e-03
1.100000000000000006e-01,7.232770598926352434e-03
1.116666666666666780e-01,6.722352580387780385e-03
1.133333333333333415e-01,7.135655235166238342e-03
1.150000000000000050e-01,6.598961238602152335e-03
1.166666666666666685e-01,6.977523206638691633e-03
1.183333333333333459e-01,7.323981959230119188e-03
1.200000000000000094e-01,6.602090981721986385e-03
1.216666666666666730e-01,7.163565300305707595e-03
1.233333333333333365e-01,7.113750218840086958e-03
1.250000000000000000e-01,6.815544857482480623e-03
1.266666666666666774e-01,7.332880034090216714e-03
1.283333333333333548e-01,6.700444470806754538e-03
1.300000000000000044e-01,7.048791118718866766e-03
1.316666666666666818e-01,7.511710241682345579e-03
1.333333333333333315e-01,6.596673997566027126e-03
1.350000000000000089e-01,7.256470751309529454e-03
1.366666666666666863e-01,6.948272533381150140e-03
1.383333333333333359e-01,6.851581431335240779e-03
1.400000000000000133e-01,7.489831304771765730e-03
1.416666666666666630e-01,6.588074720350500790e-03
1.433333333333333404e-01,7.117956280613790820e-03
1.450000000000000178e-01,7.412350367044462374e-03
1.466666666666666674e-01,6.695145177732064745e-03
1.483333333333333448e-01,7.345892737747605761e-03
1.500000000000000222e-01,6.916715746950519161e-03
1.516666666666666718e-01,6.839054032837077468e-03
1.533333333333333492e-01,7.561135986304978740e-03
1.549999999999999989e-01,6.516089525629487067e-03
