distance,error
3.333333333333333547e-03,5.674895058458462316e-02
5.000000000000000104e-03,5.648376715627087541e-02
6.666666666666667095e-03,5.601094435528175541e-02
8.333333333333333218e-03,5.532672886968811876e-02
1.000000000000000021e-02,5.442632331234514842e-02
1.166666666666666720e-02,5.334810345934865028e-02
1.333333333333333419e-02,5.208055528875857321e-02
1.500000000000000118e-02,5.058622922301711511e-02
1.666666666666666644e-02,4.885371890439119125e-02
1.833333333333333343e-02,4.687894411314613707e-02
2.000000000000000042e-02,4.466799259710646508e-02
2.166666666666666741e-02,4.203416553147668044e-02
2.333333333333333440e-02,3.894530709188351314e-02
2.500000000000000139e-02,3.539643697019231872e-02
2.666666666666666838e-02,3.147776336096855254e-02
2.833333333333333537e-02,2.724669884084648941e-02
3.000000000000000236e-02,2.282875901192502055e-02
3.166666666666666935e-02,1.853623312885094299e-02
3.333333333333333287e-02,1.446793385238945295e-02
3.500000000000000333e-02,1.060846447785210311e-02
3.666666666666666685e-02,6.979892798701370360e-03
3.833333333333333731e-02,3.543126626354697883e-03
4.000000000000000083e-02,2.912340435569371611e-04
4.166666666666667129e-02,2.783887886832342451e-03
4.333333333333333481e-02,5.663450928434593523e-03
4.500000000000000527e-02,8.321706928799244007e-03
4.666666666666666879e-02,1.082565157507600628e-02
4.833333333333333925e-02,1.317171142733083999e-02
5.000000000000000278e-02,1.526018586826816126e-02
5.166666666666667324e-02,1.708783284803422342e-02
5.333333333333333676e-02,1.855654006338017248e-02
5.500000000000000028e-02,1.964131184831510724e-02
5.666666666666667074e-02,2.034018984477362069e-02
5.833333333333333426e-02,2.056884535162886718e-02
6.000000000000000472e-02,2.028099533268373778e-02
6.166666666666666824e-02,1.965097440537222351e-02
6.333333333333333870e-02,1.876254974797592068e-02
6.500000000000000222e-02,1.759191540752916283e-02
6.666666666666666574e-02,1.612637551053303087e-02
6.833333333333334314e-02,1.467590001876775685e-02
7.000000000000000666e-02,1.316097545533390090e-02
7.166666666666667018e-02,1.151706750609832186e-02
7.333333333333333370e-02,9.875322448755663451e-03
7.500000000000001110e-02,8.350091461477610055e-03
7.666666666666667462e-02,6.982506025250828641e-03
7.833333333333333814e-02,5.811670516418426802e-03
8.000000000000000167e-02,4.841535615907999190e-03
8.166666666666666519e-02,4.054523374067864339e-03
8.333333333333334259e-02,3.431651918588574102e-03
8.500000000000000611e-02,2.948818348026016611e-03
8.666666666666666963e-02,2.570375159008181365e-03
8.833333333333333315e-02,2.272333075666516100e-03
9.000000000000001055e-02,2.034770633510180060e-03
9.166666666666667407e-02,1.842719364591294262e-03
9.333333333333333759e-02,1.689896918970201778e-03
9.500000000000000111e-02,1.568938440503098164e-03
9.666666666666667851e-02,1.467363546483635428e-03
9.833333333333334203e-02,1.383611667766154740e-03
1.000000000000000056e-01,1.321158838593156082e-03
1.016666666666666691e-01,1.269347937303849649e-03
1.033333333333333465e-01,1.221454416232836682e-03
1.050000000000000100e-01,1.188824731434862114e-03
1.066666666666666735e-01,1.166269225342880800e-03
1.083333333333333370e-01,1.133928827626279334e-03
1.100000000000000006e-01,1.115454627360901174e-03
1.116666666666666780e-01,1.099243507058034197e-03
1.133333333333333415e-01,1.075046298866066952e-03
1.150000000000000050e-01,1.061846713921094087e-03
1.166666666666666685e-01,1.053281914033366018e-03
1.183333333333333459e-01,1.035964942656203425e-03
1.200000000000000094e-01,1.029659367058677333e-03
1.216666666666666730e-01,1.025029944916766578e-03
1.233333333333333365e-01,1.022929506943409672e-03
1.250000000000000000e-01,1.010072674230505507e-03
1.266666666666666774e-01,9.965831109784439867e-04
1.283333333333333548e-01,9.956193235416965770e-04
1.300000000000000044e-01,9.891239767799153704e-04
1.316666666666666818e-01,9.850349815471448611e-04
1.333333333333333315e-01,9.833447697101815876e-04
1.350000000000000089e-01,9.884769695580608584e-04
1.366666666666666863e-01,9.901361034351796597e-04
1.383333333333333359e-01,9.932081552578020389e-04
1.400000000000000133e-01,1.002682153169176527e-03
1.416666666666666630e-01,9.999016539136151849e-04
1.433333333333333404e-01,9.870580566070374928e-04
1.450000000000000178e-01,9.823657517564754471e-04
1.466666666666666674e-01,9.829700019271525591e-04
1.483333333333333448e-01,9.880012875468080491e-04
1.500000000000000222e-01,9.928232196324826564e-04
1.516666666666666718e-01,9.899334922991720465e-04
1.533333333333333492e-01,9.816065221916747685e-04
1.549999999999999989e-01,6.383697261947071655e-02
1.566666666666666763e-01,9.192715275376239781e-04
1.583333333333333537e-01,8.281118101031159640e-04
1.600000000000000033e-01,7.877199022879310952e-04
1.616666666666666807e-01,7.918629263473919710e-04
1.633333333333333304e-01,8.073118268015488930e-04
1.650000000000000078e-01,8.360634177365378061e-04
1.666666666666666852e-01,8.708783592400459739e-04
1.683333333333333348e-01,8.881451969400266933e-04
1.700000000000000122e-01,8.910977434011813081e-04
1.716666666666666896e-01,8.940335201473026405e-04
1.733333333333333393e-01,9.006606708532038930e-04
1.750000000000000167e-01,9.162974612523244744e-04
1.766666666666666663e-01,9.315105839486914618e-04
1.783333333333333437e-01,9.454746641412159480e-04
1.800000000000000211e-01,9.578303826555112366e-04
1.816666666666666707e-01,9.596383119869211775e-04
1.833333333333333481e-01,9.631755219253468336e-04
1.850000000000000255e-01,9.543519768824004768e-04
1.866666666666666752e-01,9.436685796058719156e-04
1.883333333333333526e-01,9.481254459959287395e-04
1.900000000000000022e-01,9.539862767742324223e-04
1.916666666666666796e-01,9.470862691769721398e-04
1.933333333333333570e-01,9.465287010364253906e-04
1.950000000000000067e-01,9.538279338484889625e-04
1.966666666666666841e-01,9.610933891996686906e-04
1.983333333333333337e-01,9.677581894158848730e-04
2.000000000000000111e-01,9.733162755104773911e-04
2.016666666666666885e-01,9.685062720289072669e-04
2.033333333333333381e-01,9.617764063340472624e-04
2.050000000000000155e-01,9.594968989465602061e-04
2.066666666666666929e-01,9.495985968804576682e-04
2.083333333333333426e-01,9.388497707239762402e-04
2.100000000000000200e-01,9.303983416379668636e-04
2.116666666666666696e-01,9.332097202015277038e-04
2.133333333333333470e-01,9.441696571105273605e-04
2.150000000000000244e-01,9.601467989725220864e-04
2.166666666666666741e-01,9.664998335160712717e-04
2.183333333333333515e-01,9.648866492799335060e-04
2.200000000000000011e-01,9.583170543105146155e-04
2.216666666666666785e-01,9.669277075462223703e-04
2.233333333333333559e-01,9.718829538206685825e-04
2.250000000000000056e-01,9.701359710112822388e-04
2.266666666666666829e-01,9.682031980831062867e-04
2.283333333333333603e-01,9.717349457387947087e-04
2.300000000000000100e-01,9.757629943862033972e-04
2.316666666666666874e-01,9.725434653427289522e-04
2.333333333333333370e-01,9.770496166312536701e-04
2.350000000000000144e-01,9.841389038448278281e-04
2.366666666666666918e-01,9.805859864225052736e-04
2.383333333333333415e-01,9.810645082386215687e-04
2.400000000000000189e-01,9.782321760429257829e-04
2.416666666666666685e-01,9.736331596531533350e-04
2.433333333333333459e-01,9.772780071387598966e-04
2.450000000000000233e-01,9.879058062553514041e-04
2.466666666666666730e-01,9.779364485139607766e-04
2.483333333333333504e-01,9.646693485504120869e-04
2.500000000000000000e-01,9.666181653889271974e-04
2.516666666666667052e-01,9.669603863979581160e-04
2.533333333333333548e-01,9.740274246779201395e-04
2.550000000000000044e-01,9.857386726405126254e-04
2.566666666666667096e-01,9.902227607130054121e-04
2.583333333333333592e-01,9.989194816276969480e-04
2.600000000000000089e-01,1.013883271913151862e-03
2.616666666666666585e-01,1.027527982364606629e-03
2.633333333333333637e-01,1.038517512221115435e-03
