x,y
1.666666666666666774e-03,1.957744413008126808e-02
2.500000000000000052e-03,1.932351604793530742e-02
3.333333333333333547e-03,2.022680274536811304e-02
4.166666666666666609e-03,2.062983340253159506e-02
5.000000000000000104e-03,2.050285640478830690e-02
5.833333333333333599e-03,2.031885715370961021e-02
6.666666666666667095e-03,1.919478629202291467e-02
7.500000000000000590e-03,1.786792927739317555e-02
8.333333333333333218e-03,1.768919408303930990e-02
9.166666666666666713e-03,1.706535251117899388e-02
1.000000000000000021e-02,1.625572773166063939e-02
1.083333333333333370e-02,1.543786207489715630e-02
1.166666666666666720e-02,1.385671525924897333e-02
1.250000000000000069e-02,1.230870993971274439e-02
1.333333333333333419e-02,1.226216288666129133e-02
1.416666666666666768e-02,1.165752491598221613e-02
1.500000000000000118e-02,1.113382612513137866e-02
1.583333333333333467e-02,1.051841907089165994e-02
1.666666666666666644e-02,9.297539482061545693e-03
1.750000000000000167e-02,8.166317322022132244e-03
1.833333333333333343e-02,8.623742432683033712e-03
1.916666666666666866e-02,8.241601856318973504e-03
2.000000000000000042e-02,8.151780413897646155e-03
2.083333333333333565e-02,7.785790678084878076e-03
2.166666666666666741e-02,6.860937924536424960e-03
2.250000000000000264e-02,6.002504485594781052e-03
2.333333333333333440e-02,6.764258183597604557e-03
2.416666666666666963e-02,6.387558950534963885e-03
2.500000000000000139e-02,6.627601654160444888e-03
2.583333333333333662e-02,6.370007951372518538e-03
2.666666666666666838e-02,5.607831482434273707e-03
2.750000000000000014e-02,4.897692692381163185e-03
2.833333333333333537e-02,5.834342267685669811e-03
2.916666666666666713e-02,5.398111255682279744e-03
3.000000000000000236e-02,5.842575947389742202e-03
3.083333333333333412e-02,5.610948871457332662e-03
3.166666666666666935e-02,4.937222420514522300e-03
3.250000000000000111e-02,4.308276980487152179e-03
3.333333333333333287e-02,5.117740871430633345e-03
3.416666666666667157e-02,4.782852776797181897e-03
3.500000000000000333e-02,5.429887197238450827e-03
3.583333333333333509e-02,5.187863923217660329e-03
3.666666666666666685e-02,4.563637837112648026e-03
3.750000000000000555e-02,3.980203018973924728e-03
3.833333333333333731e-02,4.534950408205853933e-03
3.916666666666666907e-02,4.562717107023598305e-03
4.000000000000000083e-02,5.182617362384704315e-03
4.083333333333333259e-02,4.904266108292168642e-03
4.166666666666667129e-02,4.311208280520536888e-03
4.250000000000000305e-02,3.758193619136422203e-03
4.333333333333333481e-02,3.918561912110408996e-03
4.416666666666666657e-02,4.420783621587410193e-03
4.500000000000000527e-02,5.012068965120792911e-03
4.583333333333333703e-02,4.691894593705018580e-03
4.666666666666666879e-02,4.121877795562550219e-03
4.750000000000000056e-02,3.591542680558044032e-03
4.833333333333333925e-02,3.364915038760899445e-03
4.916666666666667102e-02,4.310160295074130440e-03
5.000000000000000278e-02,4.870296024526962579e-03
5.083333333333333454e-02,4.507488553149311544e-03
5.166666666666667324e-02,3.957205985069784521e-03
5.250000000000000500e-02,3.446400657894769549e-03
5.333333333333333676e-02,2.991608386509322579e-03
5.416666666666666852e-02,4.191323286567576363e-03
5.500000000000000028e-02,4.710062949376671998e-03
5.583333333333333898e-02,4.304692572593531337e-03
5.666666666666667074e-02,3.776196874647115044e-03
5.750000000000000250e-02,3.286946557582213699e-03
5.833333333333333426e-02,2.851433435755424371e-03
5.916666666666667296e-02,4.049134016394306292e-03
6.000000000000000472e-02,4.522123156786116496e-03
6.083333333333333648e-02,4.076357736399276697e-03
6.166666666666666824e-02,3.571044761006318072e-03
6.250000000000000000e-02,3.105500964695119548e-03
6.333333333333333870e-02,2.691641182402738138e-03
6.416666666666667740e-02,3.878563763125181772e-03
6.500000000000000222e-02,4.312211379900812887e-03
6.583333333333334092e-02,3.841020003501729400e-03
6.666666666666666574e-02,3.363707362812012706e-03
6.750000000000000444e-02,2.925609763199259021e-03
6.833333333333334314e-02,2.535456513576015217e-03
6.916666666666666796e-02,3.680235093695132399e-03
7.000000000000000666e-02,4.083205068604804470e-03
7.083333333333333148e-02,3.634566985022934411e-03
7.166666666666667018e-02,3.180091423654384051e-03
7.250000000000000888e-02,2.763479915365510062e-03
7.333333333333333370e-02,2.392509487266334615e-03
7.416666666666667240e-02,3.447130640614745351e-03
7.500000000000001110e-02,3.825633816476276070e-03
7.583333333333333592e-02,3.402521410431912779e-03
7.666666666666667462e-02,2.974105640355036249e-03
7.749999999999999944e-02,2.580306099609181673e-03
7.833333333333333814e-02,2.228506672592324173e-03
