distance,error
3.333333333333333547e-03,5.674893124782613707e-02
5.000000000000000104e-03,5.648349339220006676e-02
6.666666666666667095e-03,5.600952383939317852e-02
8.333333333333333218e-03,5.532187237154018167e-02
1.000000000000000021e-02,5.441348636146102480e-02
1.166666666666666720e-02,5.331930210905505563e-02
1.333333333333333419e-02,5.206095148926084132e-02
1.500000000000000118e-02,5.056668064154355713e-02
1.666666666666666644e-02,4.882059279202821678e-02
1.833333333333333343e-02,4.678589210560765016e-02
2.000000000000000042e-02,4.454657687922363579e-02
2.166666666666666741e-02,4.187045418528553831e-02
2.333333333333333440e-02,3.871809171648757375e-02
2.500000000000000139e-02,3.520355054697206498e-02
2.666666666666666838e-02,3.134567439876904255e-02
2.833333333333333537e-02,2.716139650220756110e-02
3.000000000000000236e-02,2.277054557212866009e-02
3.166666666666666935e-02,1.849934638416214638e-02
3.333333333333333287e-02,1.445095620550011437e-02
3.500000000000000333e-02,1.060534183314370930e-02
3.666666666666666685e-02,6.989318437228128275e-03
3.833333333333333731e-02,3.562759062481124853e-03
4.000000000000000083e-02,3.189243414809209034e-04
4.166666666666667129e-02,2.749991883604694428e-03
4.333333333333333481e-02,5.625805711922315586e-03
4.500000000000000527e-02,8.269391575464661234e-03
4.666666666666666879e-02,1.076057423746390289e-02
4.833333333333333925e-02,1.309478328635161649e-02
5.000000000000000278e-02,1.516738300046951808e-02
5.166666666666667324e-02,1.697676423432685835e-02
5.333333333333333676e-02,1.842776784976840262e-02
5.500000000000000028e-02,1.949364259979323444e-02
5.666666666666667074e-02,2.017271498312569328e-02
5.833333333333333426e-02,2.037918253636997190e-02
6.000000000000000472e-02,2.006465531108999820e-02
6.166666666666666824e-02,1.942202107551840862e-02
6.333333333333333870e-02,1.851280745148339846e-02
6.500000000000000222e-02,1.736348127208877865e-02
6.666666666666666574e-02,1.593469428593449408e-02
6.833333333333334314e-02,1.426205233788031823e-02
7.000000000000000666e-02,1.249548421365636978e-02
7.166666666666667018e-02,1.076335437894145736e-02
7.333333333333333370e-02,9.153033507970786617e-03
7.500000000000001110e-02,7.706474607835141211e-03
7.666666666666667462e-02,6.462201724889400124e-03
7.833333333333333814e-02,5.421573672274017548e-03
8.000000000000000167e-02,4.566843447373605293e-03
8.166666666666666519e-02,3.878609226483804243e-03
8.333333333333334259e-02,3.332133816555597153e-03
8.500000000000000611e-02,2.901630559075104449e-03
8.666666666666666963e-02,2.563037148287297586e-03
8.833333333333333315e-02,2.295710579518168114e-03
9.000000000000001055e-02,2.087062192091921134e-03
9.166666666666667407e-02,1.920216950121875470e-03
9.333333333333333759e-02,1.784431231658728609e-03
9.500000000000000111e-02,1.674178051995829858e-03
9.666666666666667851e-02,1.585242706119641218e-03
9.833333333333334203e-02,1.513112764783075461e-03
1.000000000000000056e-01,1.455697946730928399e-03
1.016666666666666691e-01,1.409120842246812258e-03
1.033333333333333465e-01,1.371455365386734264e-03
1.050000000000000100e-01,1.341229544307062736e-03
1.066666666666666735e-01,1.316185284840839598e-03
1.083333333333333370e-01,1.290595807340915542e-03
1.100000000000000006e-01,1.273583536004945730e-03
1.116666666666666780e-01,1.261515161521276768e-03
1.133333333333333415e-01,1.252914710362710215e-03
1.150000000000000050e-01,1.246217885129081776e-03
1.166666666666666685e-01,1.241476707556393722e-03
1.183333333333333459e-01,1.238557571631250086e-03
1.200000000000000094e-01,1.235337219800737487e-03
1.216666666666666730e-01,1.232275303867024982e-03
1.233333333333333365e-01,1.231051279668389942e-03
1.250000000000000000e-01,1.231495906008751298e-03
1.266666666666666774e-01,1.237326965264101252e-03
1.283333333333333548e-01,1.243442193847174625e-03
1.300000000000000044e-01,1.247672809077554103e-03
1.316666666666666818e-01,1.256722295301823623e-03
1.333333333333333315e-01,1.265604868007870476e-03
1.350000000000000089e-01,1.272164309095333854e-03
1.366666666666666863e-01,1.277439377280120344e-03
1.383333333333333359e-01,1.281417077267705228e-03
1.400000000000000133e-01,1.287111953274715963e-03
1.416666666666666630e-01,1.293551223137562236e-03
1.433333333333333404e-01,1.300218446117614975e-03
1.450000000000000178e-01,1.308927535872585332e-03
1.466666666666666674e-01,1.318291243291077903e-03
1.483333333333333448e-01,1.328851476509122342e-03
1.500000000000000222e-01,1.332270189807534472e-03
1.516666666666666718e-01,1.331280775141931551e-03
1.533333333333333492e-01,1.330988694249290831e-03
