distance,error
3.333333333333333547e-03,5.674879592527592997e-02
5.000000000000000104e-03,5.648121167741871479e-02
6.666666666666667095e-03,5.599761194335734632e-02
8.333333333333333218e-03,5.530472836998716335e-02
1.000000000000000021e-02,5.441033869721834809e-02
1.166666666666666720e-02,5.331069592571870824e-02
1.333333333333333419e-02,5.198775750518152411e-02
1.500000000000000118e-02,5.032729857086227360e-02
1.666666666666666644e-02,4.828847677658113652e-02
1.833333333333333343e-02,4.590904782256528122e-02
2.000000000000000042e-02,4.316814823360177328e-02
2.166666666666666741e-02,4.010128088817454389e-02
2.333333333333333440e-02,3.675870008630601621e-02
2.500000000000000139e-02,3.313666998040229461e-02
2.666666666666666838e-02,2.923357097885271455e-02
2.833333333333333537e-02,2.503039667020906869e-02
3.000000000000000236e-02,2.081204607898997153e-02
3.166666666666666935e-02,1.680056438203577848e-02
3.333333333333333287e-02,1.300481631697058410e-02
3.500000000000000333e-02,9.409417572139637531e-03
3.666666666666666685e-02,6.008808742437112688e-03
3.833333333333333731e-02,2.797862009350907120e-03
4.000000000000000083e-02,1.895227416156651111e-04
4.166666666666667129e-02,2.974346393121619567e-03
4.333333333333333481e-02,5.583279658735082127e-03
4.500000000000000527e-02,8.024705854811770012e-03
4.666666666666666879e-02,1.026696048011541129e-02
4.833333333333333925e-02,1.229300373157039827e-02
5.000000000000000278e-02,1.408444060336917249e-02
5.166666666666667324e-02,1.555215208276813053e-02
5.333333333333333676e-02,1.667016068533530224e-02
5.500000000000000028e-02,1.746450807733047547e-02
5.666666666666667074e-02,1.788173869221370768e-02
5.833333333333333426e-02,1.787459082228662691e-02
6.000000000000000472e-02,1.745782160618919096e-02
6.166666666666666824e-02,1.666135664783033321e-02
6.333333333333333870e-02,1.553848132594379435e-02
6.500000000000000222e-02,1.409789515733238414e-02
6.666666666666666574e-02,1.232273037419658393e-02
6.833333333333334314e-02,1.020915708687192974e-02
7.000000000000000666e-02,8.160098148029914025e-03
7.166666666666667018e-02,6.374224198937654060e-03
7.333333333333333370e-02,4.847908421644619992e-03
7.500000000000001110e-02,3.595352656213315901e-03
7.666666666666667462e-02,2.606388089071078051e-03
7.833333333333333814e-02,1.893370301604750412e-03
8.000000000000000167e-02,1.501363097986593365e-03
8.166666666666666519e-02,1.284971685004127409e-03
8.333333333333334259e-02,1.124775765639731036e-03
8.500000000000000611e-02,1.024979228723326384e-03
8.666666666666666963e-02,9.315224219454200675e-04
8.833333333333333315e-02,8.471415120152526101e-04
9.000000000000001055e-02,7.827349399886627439e-04
9.166666666666667407e-02,7.319772849590267276e-04
9.333333333333333759e-02,6.924665200292304864e-04
9.500000000000000111e-02,6.617096428992186872e-04
9.666666666666667851e-02,6.378368137450353545e-04
9.833333333333334203e-02,6.194041309758066376e-04
1.000000000000000056e-01,6.052985796160966457e-04
1.016666666666666691e-01,5.946251761330230900e-04
1.033333333333333465e-01,5.867600023864281587e-04
1.050000000000000100e-01,5.707431214063213775e-04
1.066666666666666735e-01,5.643009511327892833e-04
1.083333333333333370e-01,5.638668213085114332e-04
1.100000000000000006e-01,5.634776592743829691e-04
1.116666666666666780e-01,5.638783481291806182e-04
1.133333333333333415e-01,5.680142941027883875e-04
1.150000000000000050e-01,5.700790257258417327e-04
1.166666666666666685e-01,5.948578976127320405e-04
1.183333333333333459e-01,5.989299811151588401e-04
1.200000000000000094e-01,5.944664035999236472e-04
1.216666666666666730e-01,5.948542663891881813e-04
1.233333333333333365e-01,5.953485513804132167e-04
1.250000000000000000e-01,5.959036499324520987e-04
1.266666666666666774e-01,5.970855566710670101e-04
1.283333333333333548e-01,6.007524995961770068e-04
1.300000000000000044e-01,6.029892423961462963e-04
1.316666666666666818e-01,6.060212863332636217e-04
1.333333333333333315e-01,6.183150308173245274e-04
1.350000000000000089e-01,6.389752985398758313e-04
1.366666666666666863e-01,6.621001654132942747e-04
1.383333333333333359e-01,6.813776813876247550e-04
1.400000000000000133e-01,6.991415929229902399e-04
1.416666666666666630e-01,7.133395607335119319e-04
1.433333333333333404e-01,7.280422430403743180e-04
1.450000000000000178e-01,7.326995108228436188e-04
1.466666666666666674e-01,7.215290434504149746e-04
1.483333333333333448e-01,7.069865594960622699e-04
1.500000000000000222e-01,7.249199695056085828e-04
1.516666666666666718e-01,7.082152040240107882e-04
1.533333333333333492e-01,7.172486001105755730e-04
1.549999999999999989e-01,7.288969139004862485e-04
1.566666666666666763e-01,7.323950195909271306e-04
1.583333333333333537e-01,7.404564320789502148e-04
1.600000000000000033e-01,7.498554488686169812e-04
1.616666666666666807e-01,7.514453895776996347e-04
1.633333333333333304e-01,7.465231701823231165e-04
1.650000000000000078e-01,7.219320563416191947e-04
1.666666666666666852e-01,7.308897084906017727e-04
1.683333333333333348e-01,7.516930630816313907e-04
1.700000000000000122e-01,7.711915303979311517e-04
1.716666666666666896e-01,3.945475626196365097e-04
1.733333333333333393e-01,4.814622791965172434e-04
1.750000000000000167e-01,1.107369129180358876e-03
1.766666666666666663e-01,3.454462123292300572e-03
1.783333333333333437e-01,2.717077379556321302e-03
1.800000000000000211e-01,4.053347355184794450e-03
1.816666666666666707e-01,4.446903824841895621e-03
1.833333333333333481e-01,3.867821898169493226e-03
1.850000000000000255e-01,4.788620174882496881e-03
1.866666666666666752e-01,4.854722281678871751e-03
1.883333333333333526e-01,4.433967977108750277e-03
1.900000000000000022e-01,6.050522928796125098e-03
1.916666666666666796e-01,4.702883130885016950e-03
1.933333333333333570e-01,4.582946405235232591e-03
1.950000000000000067e-01,5.875406998476119177e-03
1.966666666666666841e-01,4.509152599420096670e-03
1.983333333333333337e-01,5.962847834057942789e-03
