distance,error
3.333333333333333547e-03,5.674865367620474804e-02
5.000000000000000104e-03,5.647999727302431550e-02
6.666666666666667095e-03,5.599552007487686861e-02
8.333333333333333218e-03,5.530655883964213926e-02
1.000000000000000021e-02,5.441546954905164546e-02
1.166666666666666720e-02,5.332747809554799767e-02
1.333333333333333419e-02,5.195443354397476232e-02
1.500000000000000118e-02,5.021809804749056971e-02
1.666666666666666644e-02,4.807299579803304274e-02
1.833333333333333343e-02,4.560615182243608207e-02
2.000000000000000042e-02,4.279925131993723986e-02
2.166666666666666741e-02,3.969573761668156869e-02
2.333333333333333440e-02,3.631863974988285698e-02
2.500000000000000139e-02,3.267742255080356012e-02
2.666666666666666838e-02,2.876372932444912559e-02
2.833333333333333537e-02,2.454240657624110616e-02
3.000000000000000236e-02,2.035761142377410723e-02
3.166666666666666935e-02,1.640564493150542882e-02
3.333333333333333287e-02,1.266717239322232187e-02
3.500000000000000333e-02,9.128289627770945838e-03
3.666666666666666685e-02,5.782808102308890051e-03
3.833333333333333731e-02,2.664999095561608900e-03
4.000000000000000083e-02,2.524054327655984560e-04
4.166666666666667129e-02,2.986604805185750014e-03
4.333333333333333481e-02,5.545084450124581309e-03
4.500000000000000527e-02,7.930523404235646778e-03
4.666666666666666879e-02,1.006328251507510908e-02
4.833333333333333925e-02,1.201090942526191960e-02
5.000000000000000278e-02,1.369723687869137292e-02
5.166666666666667324e-02,1.501415021908955767e-02
5.333333333333333676e-02,1.600490590200324276e-02
5.500000000000000028e-02,1.664793835643911188e-02
5.666666666666667074e-02,1.687214889388831754e-02
5.833333333333333426e-02,1.661836605745966797e-02
6.000000000000000472e-02,1.589896209401782737e-02
6.166666666666666824e-02,1.489034809912871682e-02
6.333333333333333870e-02,1.356498914714190235e-02
6.500000000000000222e-02,1.191524499098559065e-02
6.666666666666666574e-02,1.000358024367795431e-02
6.833333333333334314e-02,8.179410841287084941e-03
7.000000000000000666e-02,6.571220060101076038e-03
7.166666666666667018e-02,5.227128499014548589e-03
7.333333333333333370e-02,4.174959845076047990e-03
7.500000000000001110e-02,3.421872169470857334e-03
7.666666666666667462e-02,2.915200908125289547e-03
7.833333333333333814e-02,2.542068311092084577e-03
8.000000000000000167e-02,2.241879706112026062e-03
8.166666666666666519e-02,2.005161357208248753e-03
8.333333333333334259e-02,1.816718598827621323e-03
8.500000000000000611e-02,1.663558408793938681e-03
8.666666666666666963e-02,1.539576329720819840e-03
8.833333333333333315e-02,1.439258730416903944e-03
9.000000000000001055e-02,1.358201447928705698e-03
9.166666666666667407e-02,1.292714757499220614e-03
9.333333333333333759e-02,1.239893783993002187e-03
9.500000000000000111e-02,1.197536979220265550e-03
9.666666666666667851e-02,1.163533389330168814e-03
9.833333333333334203e-02,1.129147263489812484e-03
1.000000000000000056e-01,1.104189282240750298e-03
1.016666666666666691e-01,1.086913281747054838e-03
1.033333333333333465e-01,1.073051373959894731e-03
1.050000000000000100e-01,1.062674950471857683e-03
1.066666666666666735e-01,1.055150479495874137e-03
1.083333333333333370e-01,1.050514859622657783e-03
1.100000000000000006e-01,1.047289581500188138e-03
1.116666666666666780e-01,1.046011219207162958e-03
1.133333333333333415e-01,1.045808431592477970e-03
1.150000000000000050e-01,1.047143635439921330e-03
1.166666666666666685e-01,1.049665366944159059e-03
1.183333333333333459e-01,1.054072209904111102e-03
1.200000000000000094e-01,1.053978247438430759e-03
1.216666666666666730e-01,1.059105563660132313e-03
1.233333333333333365e-01,1.062698349168295564e-03
1.250000000000000000e-01,1.066274895148660792e-03
1.266666666666666774e-01,1.071378563395460710e-03
1.283333333333333548e-01,1.084730831020930351e-03
1.300000000000000044e-01,1.093811954987620972e-03
1.316666666666666818e-01,1.103747708240674415e-03
1.333333333333333315e-01,1.106634682715969048e-03
1.350000000000000089e-01,1.116630694629505574e-03
1.366666666666666863e-01,1.128595845767145587e-03
1.383333333333333359e-01,1.129614573919221964e-03
1.400000000000000133e-01,1.138298771254858200e-03
1.416666666666666630e-01,1.148799726948992149e-03
1.433333333333333404e-01,1.157009829564075495e-03
1.450000000000000178e-01,1.165189657458385545e-03
1.466666666666666674e-01,1.172970875201228506e-03
1.483333333333333448e-01,1.177462242273405110e-03
1.500000000000000222e-01,1.167732321827776336e-03
1.516666666666666718e-01,1.166576802617894787e-03
1.533333333333333492e-01,1.173155648498356088e-03
1.549999999999999989e-01,1.167183651617489590e-03
1.566666666666666763e-01,1.171432142728419390e-03
1.583333333333333537e-01,1.179192866251345959e-03
1.600000000000000033e-01,1.192064442677826094e-03
1.616666666666666807e-01,1.118720825474457366e-03
1.633333333333333304e-01,1.137942120716134214e-03
1.650000000000000078e-01,1.091672011982760615e-03
1.666666666666666852e-01,1.081973885427766876e-03
1.683333333333333348e-01,1.113677593612298622e-03
1.700000000000000122e-01,1.163503182088614129e-03
1.716666666666666896e-01,2.389407690291304553e-04
1.733333333333333393e-01,3.935461701403133940e-04
1.750000000000000167e-01,1.085318547738956668e-03
1.766666666666666663e-01,3.389703805268886282e-03
1.783333333333333437e-01,2.632498871746605067e-03
1.800000000000000211e-01,4.047069101343683806e-03
1.816666666666666707e-01,4.504987023659485189e-03
1.833333333333333481e-01,3.887920899083550669e-03
1.850000000000000255e-01,4.789775315350660971e-03
1.866666666666666752e-01,4.873552109953359530e-03
1.883333333333333526e-01,4.386628192622867364e-03
1.900000000000000022e-01,6.057658573351322635e-03
1.916666666666666796e-01,4.716178681306303598e-03
1.933333333333333570e-01,4.534059035199797943e-03
1.950000000000000067e-01,5.875309273234839702e-03
1.966666666666666841e-01,4.514439491239122595e-03
1.983333333333333337e-01,5.930255052953736609e-03
2.000000000000000111e-01,5.491345852979150760e-03
2.016666666666666885e-01,4.347741477597795966e-03
2.033333333333333381e-01,5.837016027901248579e-03
2.050000000000000155e-01,5.140228606777469574e-03
2.066666666666666929e-01,5.475372095068617960e-03
2.083333333333333426e-01,5.839837020365397369e-03
2.100000000000000200e-01,4.505081634149227243e-03
2.116666666666666696e-01,5.351603849625623244e-03
2.133333333333333470e-01,5.363275520487309315e-03
2.150000000000000244e-01,4.130451818975098936e-03
2.166666666666666741e-01,5.990409467606598766e-03
2.183333333333333515e-01,4.861299485385935787e-03
2.200000000000000011e-01,5.000685295468760075e-03
2.216666666666666785e-01,5.430932380667251487e-03
2.233333333333333559e-01,4.295557292333564668e-03
2.250000000000000056e-01,5.772323524426407025e-03
2.266666666666666829e-01,4.957560642207734652e-03
2.283333333333333603e-01,4.536837531961985907e-03
2.300000000000000100e-01,5.417907617321582325e-03
2.316666666666666874e-01,4.472762671655798605e-03
2.333333333333333370e-01,4.721776005794657734e-03
2.350000000000000144e-01,5.141099530943384413e-03
2.366666666666666918e-01,4.208587144255998384e-03
2.383333333333333415e-01,5.449656229261861870e-03
2.400000000000000189e-01,4.727865889433520256e-03
2.416666666666666685e-01,4.312376981230138517e-03
2.433333333333333459e-01,5.246196954940523204e-03
2.450000000000000233e-01,4.432654224247462027e-03
2.466666666666666730e-01,4.484906002492659166e-03
2.483333333333333504e-01,4.943066347387649329e-03
2.500000000000000000e-01,4.216874825175763453e-03
2.516666666666667052e-01,5.105533918433055943e-03
2.533333333333333548e-01,4.540660165883802536e-03
2.550000000000000044e-01,4.048193375114598515e-03
2.566666666666667096e-01,4.891152956301559815e-03
2.583333333333333592e-01,4.380947847164293196e-03
2.600000000000000089e-01,4.081574748039356292e-03
2.616666666666666585e-01,4.650477852987362250e-03
2.633333333333333637e-01,4.259469203604013092e-03
2.650000000000000133e-01,4.578704675894243632e-03
2.666666666666666630e-01,4.378515453985434673e-03
2.683333333333333681e-01,4.119864963238534933e-03
2.700000000000000178e-01,4.335101737334493867e-03
2.716666666666666674e-01,4.195388074972263188e-03
2.733333333333333726e-01,4.079509112169797148e-03
2.750000000000000222e-01,4.064196651766679644e-03
2.766666666666666718e-01,4.127260175797208171e-03
2.783333333333333770e-01,4.043738345287361050e-03
2.800000000000000266e-01,3.990789437829427022e-03
2.816666666666666763e-01,3.934319081193738722e-03
2.833333333333333259e-01,4.082956605740656851e-03
2.850000000000000311e-01,4.033624449075175894e-03
2.866666666666666807e-01,4.020332908030260083e-03
2.883333333333333304e-01,3.900949948584703317e-03
2.900000000000000355e-01,4.073575025279357886e-03
2.916666666666666852e-01,4.054099828060425161e-03
2.933333333333333348e-01,4.057977828420974986e-03
2.950000000000000400e-01,3.936128742680513985e-03
2.966666666666666896e-01,4.011642438938290388e-03
2.983333333333333393e-01,4.037717572903479560e-03
3.000000000000000444e-01,4.054818252895294080e-03
3.016666666666666941e-01,3.954700261018072836e-03
3.033333333333333437e-01,3.981371606602019525e-03
3.049999999999999933e-01,4.034393015688590017e-03
3.066666666666666985e-01,4.069522181741797723e-03
3.083333333333333481e-01,3.981873655679522318e-03
3.099999999999999978e-01,3.979746751701053985e-03
3.116666666666667029e-01,4.040557844604026651e-03
3.133333333333333526e-01,4.096944444670561590e-03
3.150000000000000022e-01,4.004652353812065621e-03
3.166666666666667074e-01,3.972777036532568022e-03
3.183333333333333570e-01,4.054845218023817380e-03
3.200000000000000067e-01,4.125356726507298059e-03
3.216666666666667118e-01,4.026163441953458343e-03
3.233333333333333615e-01,3.978768540367322651e-03
3.250000000000000111e-01,3.994898989923884383e-03
3.266666666666666607e-01,4.110029252730585010e-03
3.283333333333333659e-01,4.009210760739523489e-03
3.300000000000000155e-01,3.951868987316765544e-03
3.316666666666666652e-01,4.040581270172518592e-03
3.333333333333333703e-01,3.931484439974545358e-03
3.350000000000000200e-01,3.814676603495808366e-03
3.366666666666666696e-01,3.916620492180240137e-03
3.383333333333333748e-01,3.798224294793322350e-03
3.400000000000000244e-01,3.653907273057498128e-03
3.416666666666666741e-01,4.054964101815588390e-03
3.433333333333333792e-01,3.547787190165044464e-03
3.450000000000000289e-01,3.338638314769251571e-03
3.466666666666666785e-01,3.998582419352460400e-03
3.483333333333333282e-01,3.457083796740329645e-03
3.500000000000000333e-01,2.992348540499497733e-03
3.516666666666666829e-01,3.927004668519051313e-03
3.533333333333333326e-01,3.336853468755648748e-03
3.550000000000000377e-01,3.914283175372202175e-03
3.566666666666666874e-01,3.478878926387203412e-03
