distance,error
3.333333333333333547e-03,5.674897909980553684e-02
5.000000000000000104e-03,5.648409797369763341e-02
6.666666666666667095e-03,5.601237439489448189e-02
8.333333333333333218e-03,5.533067810595103386e-02
1.000000000000000021e-02,5.443466459867063456e-02
1.166666666666666720e-02,5.336338104270444554e-02
1.333333333333333419e-02,5.210383284764714962e-02
1.500000000000000118e-02,5.061655622667956406e-02
1.666666666666666644e-02,4.888860502340475200e-02
1.833333333333333343e-02,4.693909094161700934e-02
2.000000000000000042e-02,4.479762408178546845e-02
2.166666666666666741e-02,4.230383120733076374e-02
2.333333333333333440e-02,3.941057354354662867e-02
2.500000000000000139e-02,3.607106139341750839e-02
2.666666666666666838e-02,3.229342607599164361e-02
2.833333333333333537e-02,2.813487393238218309e-02
3.000000000000000236e-02,2.368282729245738474e-02
3.166666666666666935e-02,1.930573655400400282e-02
3.333333333333333287e-02,1.515278441533499804e-02
3.500000000000000333e-02,1.120159148833387887e-02
3.666666666666666685e-02,7.443058751922370514e-03
3.833333333333333731e-02,3.915107192450729967e-03
4.000000000000000083e-02,5.895262880953118685e-04
4.166666666666667129e-02,2.557589404697238264e-03
4.333333333333333481e-02,5.534923553138956266e-03
4.500000000000000527e-02,8.305960723645072069e-03
4.666666666666666879e-02,1.087433489177042252e-02
4.833333333333333925e-02,1.329741671126848795e-02
5.000000000000000278e-02,1.551041879430735057e-02
5.166666666666667324e-02,1.744783254945552961e-02
5.333333333333333676e-02,1.906773158862247811e-02
5.500000000000000028e-02,2.022795381268838871e-02
5.666666666666667074e-02,2.092225262635186850e-02
5.833333333333333426e-02,2.113303336663236581e-02
6.000000000000000472e-02,2.090708687039933775e-02
6.166666666666666824e-02,2.040253395966690197e-02
6.333333333333333870e-02,1.966586629568152500e-02
6.500000000000000222e-02,1.875400639356364710e-02
6.666666666666666574e-02,1.774575146799372768e-02
6.833333333333334314e-02,1.668832769540603417e-02
7.000000000000000666e-02,1.561505207288492979e-02
7.166666666666667018e-02,1.454975879107587439e-02
7.333333333333333370e-02,1.351143694191295729e-02
7.500000000000001110e-02,1.251419647823115433e-02
7.666666666666667462e-02,1.156823169804277636e-02
7.833333333333333814e-02,1.068126264396407690e-02
8.000000000000000167e-02,9.857808776563451586e-03
