distance,error
3.333333333333333547e-03,5.674858196096802671e-02
5.000000000000000104e-03,5.647945361411051135e-02
6.666666666666667095e-03,5.599338183170290972e-02
8.333333333333333218e-03,5.530938172246742390e-02
1.000000000000000021e-02,5.441418366794807671e-02
1.166666666666666720e-02,5.331915422642836272e-02
1.333333333333333419e-02,5.193867474892376740e-02
1.500000000000000118e-02,5.017088447784973787e-02
1.666666666666666644e-02,4.799907063503157378e-02
1.833333333333333343e-02,4.547851124733144623e-02
2.000000000000000042e-02,4.263748448413079428e-02
2.166666666666666741e-02,3.950182618870356349e-02
2.333333333333333440e-02,3.609908452378986915e-02
2.500000000000000139e-02,3.243534097374793645e-02
2.666666666666666838e-02,2.849583313027826206e-02
2.833333333333333537e-02,2.424947015662612393e-02
3.000000000000000236e-02,2.008256856219669401e-02
3.166666666666666935e-02,1.617151933667199462e-02
3.333333333333333287e-02,1.248047824066807372e-02
3.500000000000000333e-02,8.990378042270517206e-03
3.666666666666666685e-02,5.709781031618960633e-03
3.833333333333333731e-02,2.650370265342480176e-03
4.000000000000000083e-02,2.188872766909138535e-04
4.166666666666667129e-02,2.904841108205576464e-03
4.333333333333333481e-02,5.415312895773304741e-03
4.500000000000000527e-02,7.738763741397155539e-03
4.666666666666666879e-02,9.834027735180559185e-03
4.833333333333333925e-02,1.172518793029054054e-02
5.000000000000000278e-02,1.334561525213877678e-02
5.166666666666667324e-02,1.458905477597484748e-02
5.333333333333333676e-02,1.552484630607911184e-02
5.500000000000000028e-02,1.612742124261759905e-02
5.666666666666667074e-02,1.634849851128122519e-02
5.833333333333333426e-02,1.612151265850536933e-02
6.000000000000000472e-02,1.549942262030706321e-02
6.166666666666666824e-02,1.453635279561440660e-02
6.333333333333333870e-02,1.321997877243057638e-02
6.500000000000000222e-02,1.155537197907027455e-02
6.666666666666666574e-02,9.535958028316941434e-03
6.833333333333334314e-02,7.606375696494086652e-03
7.000000000000000666e-02,5.955344518099608790e-03
7.166666666666667018e-02,4.564794601117301391e-03
7.333333333333333370e-02,3.429646487813145517e-03
7.500000000000001110e-02,2.563119212215322126e-03
7.666666666666667462e-02,2.007546160773485047e-03
7.833333333333333814e-02,1.716897834919400758e-03
8.000000000000000167e-02,1.507637056103932954e-03
8.166666666666666519e-02,1.340907631115787141e-03
8.333333333333334259e-02,1.210013077077405673e-03
8.500000000000000611e-02,1.105435401648628951e-03
8.666666666666666963e-02,1.022458014019609219e-03
8.833333333333333315e-02,9.571839418626251240e-04
9.000000000000001055e-02,9.050187925224851930e-04
9.166666666666667407e-02,8.637599076178256990e-04
9.333333333333333759e-02,8.311044668648394753e-04
9.500000000000000111e-02,8.058952090474139768e-04
9.666666666666667851e-02,7.837332690946441360e-04
9.833333333333334203e-02,7.694488769092557631e-04
1.000000000000000056e-01,7.555995828631227032e-04
1.016666666666666691e-01,7.441556856945712520e-04
1.033333333333333465e-01,7.381351863453641674e-04
1.050000000000000100e-01,7.336758587460392696e-04
1.066666666666666735e-01,7.308459502837189427e-04
1.083333333333333370e-01,7.302230723525605796e-04
1.100000000000000006e-01,7.290851807384744017e-04
1.116666666666666780e-01,7.289660528929671869e-04
1.133333333333333415e-01,7.302484389246819384e-04
1.150000000000000050e-01,7.307294643180648483e-04
1.166666666666666685e-01,7.330505742328353915e-04
1.183333333333333459e-01,7.356008871350726416e-04
1.200000000000000094e-01,7.376187673078806427e-04
1.216666666666666730e-01,7.420676291871925899e-04
1.233333333333333365e-01,7.463382645798155579e-04
1.250000000000000000e-01,7.498352321537713784e-04
1.266666666666666774e-01,7.558089952367086492e-04
1.283333333333333548e-01,7.604473071335948482e-04
1.300000000000000044e-01,7.648400264729760759e-04
1.316666666666666818e-01,7.691329893082366311e-04
1.333333333333333315e-01,7.755397443937073762e-04
1.350000000000000089e-01,7.815544038772152596e-04
1.366666666666666863e-01,7.873245101765786623e-04
1.383333333333333359e-01,7.965236867808023029e-04
1.400000000000000133e-01,8.011298373667086669e-04
1.416666666666666630e-01,8.103720926800324440e-04
1.433333333333333404e-01,8.196254828733896434e-04
1.450000000000000178e-01,8.247560750504142908e-04
1.466666666666666674e-01,8.320503292265960492e-04
1.483333333333333448e-01,8.404917329996787088e-04
1.500000000000000222e-01,8.464454144933705390e-04
1.516666666666666718e-01,8.254269877719942793e-04
1.533333333333333492e-01,8.293495593238214749e-04
1.549999999999999989e-01,8.283680355654522839e-04
1.566666666666666763e-01,8.539432857467011686e-04
1.583333333333333537e-01,8.572203380003741175e-04
1.600000000000000033e-01,8.704396933388734887e-04
1.616666666666666807e-01,8.782067275535051544e-04
1.633333333333333304e-01,8.861765256172563377e-04
1.650000000000000078e-01,8.769474633495209608e-04
1.666666666666666852e-01,8.942371699781476429e-04
1.683333333333333348e-01,9.002117474181827285e-04
1.700000000000000122e-01,9.177119339786447318e-04
1.716666666666666896e-01,3.767523283380363932e-04
1.733333333333333393e-01,4.377613545065207087e-04
1.750000000000000167e-01,1.119149822853791236e-03
1.766666666666666663e-01,3.459633201435158636e-03
1.783333333333333437e-01,2.677974720703243244e-03
1.800000000000000211e-01,4.044887838309620988e-03
1.816666666666666707e-01,4.507902341208303194e-03
1.833333333333333481e-01,3.911083633376948206e-03
