distance,error
3.333333333333333547e-03,5.674848092311769038e-02
5.000000000000000104e-03,5.647967963887112752e-02
6.666666666666667095e-03,5.599704693742910133e-02
8.333333333333333218e-03,5.530582270649487403e-02
1.000000000000000021e-02,5.441979095606012257e-02
1.166666666666666720e-02,5.330823334310220984e-02
1.333333333333333419e-02,5.179631709263251421e-02
1.500000000000000118e-02,4.992318233007790595e-02
1.666666666666666644e-02,4.768806486317221649e-02
1.833333333333333343e-02,4.510980405652067343e-02
2.000000000000000042e-02,4.225331888938860941e-02
2.166666666666666741e-02,3.912499324682088692e-02
2.333333333333333440e-02,3.572620887677675772e-02
2.500000000000000139e-02,3.206051065680261963e-02
2.666666666666666838e-02,2.811489726988661980e-02
2.833333333333333537e-02,2.385718235282876382e-02
3.000000000000000236e-02,1.968936195175352219e-02
3.166666666666666935e-02,1.578166294522539287e-02
3.333333333333333287e-02,1.208467143695055035e-02
3.500000000000000333e-02,8.617855855140705429e-03
3.666666666666666685e-02,5.351532285962323256e-03
3.833333333333333731e-02,2.279324824829486069e-03
4.000000000000000083e-02,6.047058224932244392e-04
4.166666666666667129e-02,3.307458233226858065e-03
4.333333333333333481e-02,5.836593719386664117e-03
4.500000000000000527e-02,8.121690078280733444e-03
4.666666666666666879e-02,1.023933246255157893e-02
4.833333333333333925e-02,1.213554684600620659e-02
5.000000000000000278e-02,1.371157985272647255e-02
5.166666666666667324e-02,1.496510048534034111e-02
5.333333333333333676e-02,1.590492008021194420e-02
5.500000000000000028e-02,1.648105946433879934e-02
5.666666666666667074e-02,1.663723009905179392e-02
5.833333333333333426e-02,1.636519172709020517e-02
6.000000000000000472e-02,1.567171689643849161e-02
6.166666666666666824e-02,1.461488744531624397e-02
6.333333333333333870e-02,1.322409288962827015e-02
6.500000000000000222e-02,1.148710816994429930e-02
6.666666666666666574e-02,9.642723312159677193e-03
6.833333333333334314e-02,8.000623228520848187e-03
7.000000000000000666e-02,6.637727923142837730e-03
7.166666666666667018e-02,5.554689965585161114e-03
7.333333333333333370e-02,4.769836314327274666e-03
7.500000000000001110e-02,4.195236443547474547e-03
7.666666666666667462e-02,3.750892206598401609e-03
7.833333333333333814e-02,3.399920097736586471e-03
8.000000000000000167e-02,3.111554402524774679e-03
8.166666666666666519e-02,2.874587698113890977e-03
8.333333333333334259e-02,2.678009170723909694e-03
8.500000000000000611e-02,2.517002847348495144e-03
8.666666666666666963e-02,2.379852179258585849e-03
8.833333333333333315e-02,2.266677666021781924e-03
9.000000000000001055e-02,2.170935194294627835e-03
9.166666666666667407e-02,2.091665059700526571e-03
9.333333333333333759e-02,2.024681295084771251e-03
9.500000000000000111e-02,1.971968111456529494e-03
9.666666666666667851e-02,1.923899788562395902e-03
9.833333333333334203e-02,1.886153788795066162e-03
1.000000000000000056e-01,1.855028199618616444e-03
1.016666666666666691e-01,1.827979975976739939e-03
1.033333333333333465e-01,1.806204804467141396e-03
1.050000000000000100e-01,1.788375353854478305e-03
1.066666666666666735e-01,1.773500591153175793e-03
1.083333333333333370e-01,1.751671451802456125e-03
1.100000000000000006e-01,1.740940672925882400e-03
1.116666666666666780e-01,1.732429596144960393e-03
1.133333333333333415e-01,1.726485002251802736e-03
1.150000000000000050e-01,1.719794299252595977e-03
1.166666666666666685e-01,1.844955144604190286e-03
1.183333333333333459e-01,1.900080039775228422e-03
1.200000000000000094e-01,1.854972770297214123e-03
1.216666666666666730e-01,1.842030436468685990e-03
1.233333333333333365e-01,1.809165944739687905e-03
1.250000000000000000e-01,1.803163318210786268e-03
1.266666666666666774e-01,1.785689790599475453e-03
1.283333333333333548e-01,1.782193249182344738e-03
1.300000000000000044e-01,1.763557645166770067e-03
1.316666666666666818e-01,1.765163221692934992e-03
1.333333333333333315e-01,1.775863724060145312e-03
1.350000000000000089e-01,1.764330397614011746e-03
1.366666666666666863e-01,1.763774209012929865e-03
1.383333333333333359e-01,1.755575147643986117e-03
1.400000000000000133e-01,1.764435938129379046e-03
