distance,error
3.333333333333333547e-03,8.972694152047938632e-02
5.000000000000000104e-03,8.942337204469880119e-02
6.666666666666667095e-03,8.890546913853934752e-02
8.333333333333333218e-03,8.822353156982530586e-02
1.000000000000000021e-02,8.741569189593140221e-02
1.166666666666666720e-02,8.650298161254316165e-02
1.333333333333333419e-02,8.544928255331908640e-02
1.500000000000000118e-02,8.424193724814089956e-02
1.666666666666666644e-02,8.294103420532004944e-02
1.833333333333333343e-02,8.146480206775150168e-02
2.000000000000000042e-02,7.984666641797386055e-02
2.166666666666666741e-02,7.794103557202061716e-02
2.333333333333333440e-02,7.551343889576579704e-02
2.500000000000000139e-02,7.275860684406335044e-02
2.666666666666666838e-02,6.965789344065562161e-02
2.833333333333333537e-02,6.609978077338707347e-02
3.000000000000000236e-02,6.198641874162214016e-02
3.166666666666666935e-02,5.743172020678347089e-02
3.333333333333333287e-02,5.240908668217622579e-02
3.500000000000000333e-02,4.687434667910964081e-02
3.666666666666666685e-02,4.096776260619677812e-02
3.833333333333333731e-02,3.520714902909202748e-02
4.000000000000000083e-02,2.975696193644633558e-02
4.166666666666667129e-02,2.469806006134847576e-02
4.333333333333333481e-02,2.000377847195100589e-02
4.500000000000000527e-02,1.558102118157678184e-02
4.666666666666666879e-02,1.139061961469520212e-02
4.833333333333333925e-02,7.434445529575145484e-03
5.000000000000000278e-02,3.706094801927156679e-03
5.166666666666667324e-02,2.247806810462826821e-04
5.333333333333333676e-02,2.979412892976485150e-03
5.500000000000000028e-02,5.859947289898637113e-03
5.666666666666667074e-02,8.351074402345420866e-03
5.833333333333333426e-02,1.043580748938988112e-02
6.000000000000000472e-02,1.208879506033022633e-02
6.166666666666666824e-02,1.325376592620572391e-02
6.333333333333333870e-02,1.394689962369796699e-02
6.500000000000000222e-02,1.431518003652013094e-02
6.666666666666666574e-02,1.438615043017132944e-02
6.833333333333334314e-02,1.414966082510088485e-02
7.000000000000000666e-02,1.360103890722944020e-02
7.166666666666667018e-02,1.280728236234771056e-02
7.333333333333333370e-02,1.185878456262179359e-02
7.500000000000001110e-02,1.084536551006065608e-02
7.666666666666667462e-02,9.822068354270740986e-03
7.833333333333333814e-02,8.827681129267295201e-03
8.000000000000000167e-02,7.888394401358550523e-03
8.166666666666666519e-02,7.020379321810737983e-03
8.333333333333334259e-02,6.233059253260064825e-03
8.500000000000000611e-02,5.525820623838662016e-03
8.666666666666666963e-02,4.896199601277961833e-03
8.833333333333333315e-02,4.352022268183486364e-03
9.000000000000001055e-02,3.886094888078756027e-03
9.166666666666667407e-02,3.490802533523157392e-03
9.333333333333333759e-02,3.158100402557956210e-03
9.500000000000000111e-02,2.881269132045921610e-03
9.666666666666667851e-02,2.652249215974816776e-03
9.833333333333334203e-02,2.462145837172108331e-03
1.000000000000000056e-01,2.292010665275068249e-03
1.016666666666666691e-01,2.152238099125042270e-03
1.033333333333333465e-01,2.038856402516109334e-03
