distance,error
3.333333333333333547e-03,8.972694152045392058e-02
5.000000000000000104e-03,8.942337201716302197e-02
6.666666666666667095e-03,8.890550427312027271e-02
8.333333333333333218e-03,8.822337000023447451e-02
1.000000000000000021e-02,8.741519375134844394e-02
1.166666666666666720e-02,8.650232949565356266e-02
1.333333333333333419e-02,8.544860408459804824e-02
1.500000000000000118e-02,8.424120781662541857e-02
1.666666666666666644e-02,8.294034713094247668e-02
1.833333333333333343e-02,8.146419333756464709e-02
2.000000000000000042e-02,7.984560621942146663e-02
2.166666666666666741e-02,7.794108497872664909e-02
2.333333333333333440e-02,7.553358885419871049e-02
2.500000000000000139e-02,7.280082424063832880e-02
2.666666666666666838e-02,6.971471583573463082e-02
2.833333333333333537e-02,6.616766047015582020e-02
3.000000000000000236e-02,6.205969835509278498e-02
3.166666666666666935e-02,5.750964081478329715e-02
3.333333333333333287e-02,5.248946334564019711e-02
3.500000000000000333e-02,4.695826816899878464e-02
3.666666666666666685e-02,4.105226344893203594e-02
3.833333333333333731e-02,3.528848323512229213e-02
4.000000000000000083e-02,2.983348790348822055e-02
4.166666666666667129e-02,2.477091852946103345e-02
4.333333333333333481e-02,2.007398405586297008e-02
4.500000000000000527e-02,1.564920209419737307e-02
4.666666666666666879e-02,1.145780485167893770e-02
4.833333333333333925e-02,7.499911792520269627e-03
5.000000000000000278e-02,3.769426516941926097e-03
5.166666666666667324e-02,2.854568497481502209e-04
5.333333333333333676e-02,2.922103426257649517e-03
5.500000000000000028e-02,5.806228082727432627e-03
5.666666666666667074e-02,8.302449709366638286e-03
5.833333333333333426e-02,1.039288312601327480e-02
6.000000000000000472e-02,1.205237304591091907e-02
6.166666666666666824e-02,1.322424045756528943e-02
6.333333333333333870e-02,1.392177207814451756e-02
6.500000000000000222e-02,1.429514018504729478e-02
6.666666666666666574e-02,1.437001273013788216e-02
6.833333333333334314e-02,1.413709816133271180e-02
7.000000000000000666e-02,1.359707010465707744e-02
7.166666666666667018e-02,1.281016688475147824e-02
7.333333333333333370e-02,1.186511081250415933e-02
7.500000000000001110e-02,1.085346783678445282e-02
7.666666666666667462e-02,9.830771312065084144e-03
7.833333333333333814e-02,8.835835088199905929e-03
8.000000000000000167e-02,7.895865864743722984e-03
8.166666666666666519e-02,7.027242781027481788e-03
8.333333333333334259e-02,6.239238722854756336e-03
8.500000000000000611e-02,5.531102082259403696e-03
8.666666666666666963e-02,4.900816952551567685e-03
8.833333333333333315e-02,4.355999948171734859e-03
9.000000000000001055e-02,3.889535328154503091e-03
9.166666666666667407e-02,3.493785428652917968e-03
9.333333333333333759e-02,3.160759241445182388e-03
9.500000000000000111e-02,2.882300560857226079e-03
9.666666666666667851e-02,2.650748221337484445e-03
9.833333333333334203e-02,2.458824904734424610e-03
1.000000000000000056e-01,2.287736478145702135e-03
1.016666666666666691e-01,2.147908434709966397e-03
1.033333333333333465e-01,2.034810276255544226e-03
1.050000000000000100e-01,1.942850706621146450e-03
1.066666666666666735e-01,1.867330590985483152e-03
1.083333333333333370e-01,1.804722876449477154e-03
1.100000000000000006e-01,1.752854453242386201e-03
1.116666666666666780e-01,1.709704550205609630e-03
1.133333333333333415e-01,1.673649438602681228e-03
1.150000000000000050e-01,1.643428972130156485e-03
1.166666666666666685e-01,1.614964676259350584e-03
1.183333333333333459e-01,1.588465388827342561e-03
1.200000000000000094e-01,1.568086835855048156e-03
1.216666666666666730e-01,1.550893072917614024e-03
1.233333333333333365e-01,1.536344783728771368e-03
1.250000000000000000e-01,1.524655005818387199e-03
1.266666666666666774e-01,1.514657746354758361e-03
1.283333333333333548e-01,1.505647480774474634e-03
1.300000000000000044e-01,1.497682980125231156e-03
1.316666666666666818e-01,1.490953891051305380e-03
1.333333333333333315e-01,1.485562322805999980e-03
1.350000000000000089e-01,1.482557180907922989e-03
1.366666666666666863e-01,1.479672682606514300e-03
1.383333333333333359e-01,1.476814062009640383e-03
1.400000000000000133e-01,1.474541203840440406e-03
1.416666666666666630e-01,1.473629213883803635e-03
1.433333333333333404e-01,1.470841401871397780e-03
1.450000000000000178e-01,1.465065311100965939e-03
1.466666666666666674e-01,1.461043301157483043e-03
1.483333333333333448e-01,1.457783351700492336e-03
1.500000000000000222e-01,1.451948406341302400e-03
1.516666666666666718e-01,1.443242433097208233e-03
1.533333333333333492e-01,1.434269691308498462e-03
1.549999999999999989e-01,1.428421193230972053e-03
1.566666666666666763e-01,1.423134154553196140e-03
1.583333333333333537e-01,1.419228977453890206e-03
1.600000000000000033e-01,1.416855425642349342e-03
1.616666666666666807e-01,1.414870787055655388e-03
1.633333333333333304e-01,1.413202652591982744e-03
1.650000000000000078e-01,1.409227556101844137e-03
1.666666666666666852e-01,1.406473213737879924e-03
1.683333333333333348e-01,1.404401828770995841e-03
1.700000000000000122e-01,1.401801410553710214e-03
1.716666666666666896e-01,1.400988026728527958e-03
1.733333333333333393e-01,1.401966023444278786e-03
1.750000000000000167e-01,1.401726170065342725e-03
1.766666666666666663e-01,1.401936288048771795e-03
1.783333333333333437e-01,1.404575562600540728e-03
1.800000000000000211e-01,1.406816954164086253e-03
1.816666666666666707e-01,1.407181296999154840e-03
1.833333333333333481e-01,1.404768975037301582e-03
1.850000000000000255e-01,1.402880985741455921e-03
1.866666666666666752e-01,1.402378354938838001e-03
1.883333333333333526e-01,1.399188291097197556e-03
1.900000000000000022e-01,1.396227761662510725e-03
1.916666666666666796e-01,1.394500367310674838e-03
1.933333333333333570e-01,1.394910957374928540e-03
1.950000000000000067e-01,1.397017679418133262e-03
1.966666666666666841e-01,1.400861046130658094e-03
1.983333333333333337e-01,1.403527356116929248e-03
2.000000000000000111e-01,1.404532529434704413e-03
2.016666666666666885e-01,1.407602230870108606e-03
2.033333333333333381e-01,1.408922434384979328e-03
2.050000000000000155e-01,1.409482497409630941e-03
2.066666666666666929e-01,1.411111009518933868e-03
2.083333333333333426e-01,1.413987196805299718e-03
2.100000000000000200e-01,1.416699771483898029e-03
2.116666666666666696e-01,1.418660536283922191e-03
2.133333333333333470e-01,1.420230955250262328e-03
2.150000000000000244e-01,1.420442830057710992e-03
2.166666666666666741e-01,1.420646101420980356e-03
2.183333333333333515e-01,1.421561346410610271e-03
2.200000000000000011e-01,1.421040522337074785e-03
2.216666666666666785e-01,1.417668456869719540e-03
2.233333333333333559e-01,1.417483019860943383e-03
2.250000000000000056e-01,1.420927149366979503e-03
2.266666666666666829e-01,1.424459696372337714e-03
2.283333333333333603e-01,1.425342196067463929e-03
2.300000000000000100e-01,1.426531389904478475e-03
2.316666666666666874e-01,1.429818308649660752e-03
2.333333333333333370e-01,1.432550925959896748e-03
2.350000000000000144e-01,1.433053723712163219e-03
2.366666666666666918e-01,1.429360489781872356e-03
