distance,error
3.333333333333333547e-03,8.972694152255590583e-02
5.000000000000000104e-03,8.942337201563646532e-02
6.666666666666667095e-03,8.890544879459393035e-02
8.333333333333333218e-03,8.822313155449941491e-02
1.000000000000000021e-02,8.741509335757556565e-02
1.166666666666666720e-02,8.650237233112401114e-02
1.333333333333333419e-02,8.544864672008244122e-02
1.500000000000000118e-02,8.424124122035780982e-02
1.666666666666666644e-02,8.294028491521916735e-02
1.833333333333333343e-02,8.146455622382905992e-02
2.000000000000000042e-02,7.984584136408769128e-02
2.166666666666666741e-02,7.793898123498253783e-02
2.333333333333333440e-02,7.551222916210333092e-02
2.500000000000000139e-02,7.275749090360580928e-02
2.666666666666666838e-02,6.965518766087147595e-02
2.833333333333333537e-02,6.609470183942625643e-02
3.000000000000000236e-02,6.197944468883820335e-02
3.166666666666666935e-02,5.742382201422796539e-02
3.333333333333333287e-02,5.240222224424601061e-02
3.500000000000000333e-02,4.686855198410291856e-02
3.666666666666666685e-02,4.096219195205222374e-02
3.833333333333333731e-02,3.520157878519328265e-02
4.000000000000000083e-02,2.975158807791786209e-02
4.166666666666667129e-02,2.469289829759546695e-02
4.333333333333333481e-02,1.999883479183003909e-02
4.500000000000000527e-02,1.557629402013285813e-02
4.666666666666666879e-02,1.138597481312997317e-02
4.833333333333333925e-02,7.430121137826928290e-03
5.000000000000000278e-02,3.702129994815062108e-03
5.166666666666667324e-02,2.212365499293378335e-04
5.333333333333333676e-02,2.982465965421982057e-03
5.500000000000000028e-02,5.862544442166772729e-03
5.666666666666667074e-02,8.353020205495609307e-03
5.833333333333333426e-02,1.043708033164089666e-02
6.000000000000000472e-02,1.208931057747955617e-02
6.166666666666666824e-02,1.325377339477631922e-02
6.333333333333333870e-02,1.394610123055037287e-02
6.500000000000000222e-02,1.431498281957876983e-02
6.666666666666666574e-02,1.438580406767456243e-02
6.833333333333334314e-02,1.414798828099761430e-02
7.000000000000000666e-02,1.359777621004082393e-02
7.166666666666667018e-02,1.280095828583061035e-02
7.333333333333333370e-02,1.185065224535075679e-02
7.500000000000001110e-02,1.083693610789568385e-02
7.666666666666667462e-02,9.813380816069638968e-03
7.833333333333333814e-02,8.819422278743549448e-03
8.000000000000000167e-02,7.880794826609194281e-03
8.166666666666666519e-02,7.013432194384966456e-03
8.333333333333334259e-02,6.226845993828805659e-03
8.500000000000000611e-02,5.521879141733271323e-03
8.666666666666666963e-02,4.894724420236334916e-03
8.833333333333333315e-02,4.352371605156279966e-03
9.000000000000001055e-02,3.888961011307034976e-03
9.166666666666667407e-02,3.495824369495664774e-03
9.333333333333333759e-02,3.164246884161031614e-03
9.500000000000000111e-02,2.887069864211805337e-03
9.666666666666667851e-02,2.656202976367011415e-03
9.833333333333334203e-02,2.464333089960024648e-03
1.000000000000000056e-01,2.293313837391341981e-03
1.016666666666666691e-01,2.152948117310260479e-03
1.033333333333333465e-01,2.039275893376074622e-03
1.050000000000000100e-01,1.946977793678084101e-03
1.066666666666666735e-01,1.871416886447596628e-03
1.083333333333333370e-01,1.808970238070750636e-03
1.100000000000000006e-01,1.756947743576570131e-03
1.116666666666666780e-01,1.713704353736383856e-03
1.133333333333333415e-01,1.677932018553596194e-03
1.150000000000000050e-01,1.648666236379381367e-03
1.166666666666666685e-01,1.621534441374167246e-03
1.183333333333333459e-01,1.593997811670605502e-03
1.200000000000000094e-01,1.571874563885578002e-03
1.216666666666666730e-01,1.553944056571637811e-03
1.233333333333333365e-01,1.539279748065336406e-03
1.250000000000000000e-01,1.527347305147058742e-03
1.266666666666666774e-01,1.516928069955875147e-03
1.283333333333333548e-01,1.507583520642646890e-03
1.300000000000000044e-01,1.500508147359080890e-03
1.316666666666666818e-01,1.495214228264651890e-03
1.333333333333333315e-01,1.490331957006679753e-03
1.350000000000000089e-01,1.485557149952521083e-03
1.366666666666666863e-01,1.482326143279893982e-03
1.383333333333333359e-01,1.479654270115482451e-03
1.400000000000000133e-01,1.476710511162326878e-03
1.416666666666666630e-01,1.474286299605304107e-03
1.433333333333333404e-01,1.471761973877716567e-03
1.450000000000000178e-01,1.466642532407053112e-03
1.466666666666666674e-01,1.462291936441650897e-03
1.483333333333333448e-01,1.459762202554587551e-03
1.500000000000000222e-01,1.456922031498941728e-03
1.516666666666666718e-01,1.452912842367592994e-03
1.533333333333333492e-01,1.447944077196172685e-03
1.549999999999999989e-01,1.440713534097803894e-03
1.566666666666666763e-01,1.433526283442537741e-03
1.583333333333333537e-01,1.428531718048769994e-03
1.600000000000000033e-01,1.424172257634387373e-03
1.616666666666666807e-01,1.418730665855294504e-03
1.633333333333333304e-01,1.411059935766928453e-03
1.650000000000000078e-01,1.403857421704152175e-03
1.666666666666666852e-01,1.397173838541238000e-03
1.683333333333333348e-01,1.393630562787018246e-03
1.700000000000000122e-01,1.392827580990213532e-03
1.716666666666666896e-01,1.391234063356200368e-03
1.733333333333333393e-01,1.390361179342602949e-03
1.750000000000000167e-01,1.391432949450405188e-03
1.766666666666666663e-01,1.390988772617507419e-03
1.783333333333333437e-01,1.391430783724306730e-03
1.800000000000000211e-01,1.392370042195001378e-03
1.816666666666666707e-01,1.394319113623865292e-03
1.833333333333333481e-01,1.395459916833347025e-03
1.850000000000000255e-01,1.396559821518150724e-03
1.866666666666666752e-01,1.397437290052705450e-03
1.883333333333333526e-01,1.398955515760635926e-03
1.900000000000000022e-01,1.398796069559032906e-03
1.916666666666666796e-01,1.398452875162381481e-03
1.933333333333333570e-01,1.400909574613334874e-03
1.950000000000000067e-01,1.405025875824028603e-03
1.966666666666666841e-01,1.407711476045986343e-03
1.983333333333333337e-01,1.409391718449337638e-03
2.000000000000000111e-01,1.409833937549925809e-03
2.016666666666666885e-01,1.410657268830523003e-03
2.033333333333333381e-01,1.413239953618833367e-03
2.050000000000000155e-01,1.415093918380933014e-03
2.066666666666666929e-01,1.415330581115731290e-03
2.083333333333333426e-01,1.415824276297078521e-03
2.100000000000000200e-01,1.417322867514336782e-03
2.116666666666666696e-01,1.419395091326158820e-03
2.133333333333333470e-01,1.420298201811442951e-03
2.150000000000000244e-01,1.421833696672841763e-03
2.166666666666666741e-01,1.421505365062969428e-03
2.183333333333333515e-01,1.421804632056683504e-03
2.200000000000000011e-01,1.420897306274343519e-03
2.216666666666666785e-01,1.420120892067083807e-03
2.233333333333333559e-01,1.422999633628990734e-03
2.250000000000000056e-01,1.427115896942970918e-03
2.266666666666666829e-01,1.430450852134695916e-03
2.283333333333333603e-01,1.432751813069954583e-03
2.300000000000000100e-01,1.435377458141900986e-03
2.316666666666666874e-01,1.437751223603067618e-03
2.333333333333333370e-01,1.440165071474430736e-03
2.350000000000000144e-01,1.442239044236681700e-03
2.366666666666666918e-01,1.442895742736927112e-03
2.383333333333333415e-01,1.442693314670867588e-03
2.400000000000000189e-01,1.439774088228817917e-03
2.416666666666666685e-01,1.437833158334872463e-03
2.433333333333333459e-01,1.436106505875972550e-03
2.450000000000000233e-01,1.434708442990179078e-03
2.466666666666666730e-01,1.433214390145515216e-03
2.483333333333333504e-01,1.432679081595028547e-03
2.500000000000000000e-01,1.431848229204307765e-03
2.516666666666667052e-01,1.431540276764037278e-03
2.533333333333333548e-01,1.431505797303861405e-03
2.550000000000000044e-01,1.428104651586270535e-03
2.566666666666667096e-01,1.423856368474502032e-03
2.583333333333333592e-01,1.424522719560394890e-03
2.600000000000000089e-01,1.429016940131255797e-03
2.616666666666666585e-01,1.431881500022214038e-03
2.633333333333333637e-01,1.432058221274928878e-03
2.650000000000000133e-01,1.433991624843311552e-03
2.666666666666666630e-01,1.433046727021491940e-03
2.683333333333333681e-01,1.432055477656374309e-03
2.700000000000000178e-01,1.434267063543104292e-03
2.716666666666666674e-01,1.436984109811773047e-03
2.733333333333333726e-01,1.440048246299757695e-03
2.750000000000000222e-01,1.447880080958252602e-03
2.766666666666666718e-01,1.452435659313577876e-03
2.783333333333333770e-01,1.460998669781193859e-03
2.800000000000000266e-01,1.466936988155531640e-03
2.816666666666666763e-01,1.470555045908872316e-03
2.833333333333333259e-01,1.470935300818460023e-03
2.850000000000000311e-01,1.470223321074187739e-03
2.866666666666666807e-01,1.470447988703604825e-03
2.883333333333333304e-01,1.470539197419240551e-03
2.900000000000000355e-01,1.470342396789475758e-03
2.916666666666666852e-01,1.472279192614778243e-03
2.933333333333333348e-01,1.475810982521613690e-03
2.950000000000000400e-01,2.037530224169026294e-04
2.966666666666666896e-01,1.586861250178511762e-03
2.983333333333333393e-01,1.667481743073490064e-03
3.000000000000000444e-01,1.157575634546381682e-03
3.016666666666666941e-01,9.812451540145705753e-04
3.033333333333333437e-01,3.860041289843768597e-03
3.049999999999999933e-01,1.559088446460993316e-03
3.066666666666666985e-01,9.661577697732404157e-04
3.083333333333333481e-01,3.850660979510783788e-03
3.099999999999999978e-01,1.482947920408622666e-03
3.116666666666667029e-01,5.972281338289364694e-03
