distance,dist_from_surface
3.333333333333333547e-03,1.101798264405434713e-01
5.000000000000000104e-03,1.102470283876686441e-01
6.666666666666667095e-03,1.104451251466251199e-01
8.333333333333333218e-03,1.107925098645645978e-01
1.000000000000000021e-02,1.112926653739697153e-01
1.166666666666666720e-02,1.121948948231461934e-01
1.333333333333333419e-02,1.137281579819267030e-01
1.500000000000000118e-02,1.159725700037055052e-01
1.666666666666666644e-02,1.189451970676925624e-01
1.833333333333333343e-02,1.226821652660867873e-01
2.000000000000000042e-02,1.271835879677085113e-01
2.166666666666666741e-02,1.324409813931229363e-01
2.333333333333333440e-02,1.384419098547740035e-01
2.500000000000000139e-02,1.450761374614213395e-01
2.666666666666666838e-02,1.518420302238315811e-01
2.833333333333333537e-02,1.583838860371057089e-01
3.000000000000000236e-02,1.645783808199695053e-01
3.166666666666666935e-02,1.703297869228424799e-01
3.333333333333333287e-02,1.755123067875074272e-01
3.500000000000000333e-02,1.801542433945725052e-01
3.666666666666666685e-02,1.843472048599781310e-01
3.833333333333333731e-02,1.881440016793366476e-01
4.000000000000000083e-02,1.915490972087439958e-01
4.166666666666667129e-02,1.945716394862840593e-01
4.333333333333333481e-02,1.972196386662966039e-01
4.500000000000000527e-02,1.994893899156612305e-01
4.666666666666666879e-02,2.013743276335385191e-01
4.833333333333333925e-02,2.028569164625639021e-01
5.000000000000000278e-02,2.039285298086605247e-01
5.166666666666667324e-02,2.046033617829745577e-01
5.333333333333333676e-02,2.048852008422925586e-01
5.500000000000000028e-02,2.047725621519693451e-01
5.666666666666667074e-02,2.042890211837160852e-01
5.833333333333333426e-02,2.035207463002312867e-01
6.000000000000000472e-02,2.027689399853489227e-01
6.166666666666666824e-02,2.021815982382480781e-01
6.333333333333333870e-02,2.017315131833171682e-01
6.500000000000000222e-02,2.013898838360231591e-01
6.666666666666666574e-02,2.011287115955661398e-01
6.833333333333334314e-02,2.009283432408712766e-01
7.000000000000000666e-02,2.007774008735162541e-01
7.166666666666667018e-02,2.006456128125081173e-01
7.333333333333333370e-02,2.005522757600718686e-01
7.500000000000001110e-02,2.004848166857502167e-01
7.666666666666667462e-02,2.004326263013141984e-01
7.833333333333333814e-02,2.004048052143208303e-01
8.000000000000000167e-02,2.003764983482304030e-01
8.166666666666666519e-02,2.003496143557435272e-01
8.333333333333334259e-02,2.003294770386044032e-01
8.500000000000000611e-02,2.003140066472377800e-01
8.666666666666666963e-02,2.002981273552322528e-01
8.833333333333333315e-02,2.002873152547270663e-01
9.000000000000001055e-02,2.002941940268788412e-01
9.166666666666667407e-02,2.003021732556102552e-01
9.333333333333333759e-02,2.002952441843641462e-01
9.500000000000000111e-02,2.002866187668055631e-01
9.666666666666667851e-02,2.002808704957896591e-01
9.833333333333334203e-02,2.002772641031703993e-01
1.000000000000000056e-01,2.002741639252047789e-01
1.016666666666666691e-01,2.002714074959375812e-01
1.033333333333333465e-01,2.002694547998038754e-01
1.050000000000000100e-01,2.002680778577201892e-01
1.066666666666666735e-01,2.002671485994331479e-01
1.083333333333333370e-01,2.002665085811664025e-01
1.100000000000000006e-01,2.002670619955055353e-01
1.116666666666666780e-01,2.002657238523173067e-01
1.133333333333333415e-01,2.002662005983942561e-01
1.150000000000000050e-01,2.002665417264760939e-01
1.166666666666666685e-01,2.002669494160450592e-01
1.183333333333333459e-01,2.002675537539137240e-01
1.200000000000000094e-01,2.002678003403147444e-01
1.216666666666666730e-01,2.002680205953129566e-01
1.233333333333333365e-01,2.002683068742271422e-01
1.250000000000000000e-01,2.002686362360550365e-01
1.266666666666666774e-01,2.002690170387727842e-01
1.283333333333333548e-01,2.002694280633269264e-01
1.300000000000000044e-01,2.002750806946377304e-01
1.316666666666666818e-01,2.002800720160870240e-01
1.333333333333333315e-01,2.002792410933731115e-01
1.350000000000000089e-01,2.002774630500860076e-01
1.366666666666666863e-01,2.002764240338630319e-01
1.383333333333333359e-01,2.002757463654893655e-01
1.400000000000000133e-01,2.002774825765822608e-01
1.416666666666666630e-01,2.002810757837622524e-01
1.433333333333333404e-01,2.002807856740981829e-01
1.450000000000000178e-01,2.002803852290740705e-01
1.466666666666666674e-01,2.002806217546180545e-01
1.483333333333333448e-01,2.002798558659692751e-01
1.500000000000000222e-01,2.002788480132278726e-01
1.516666666666666718e-01,2.002781798853117412e-01
1.533333333333333492e-01,2.002776021914562665e-01
1.549999999999999989e-01,2.002768530405815983e-01
1.566666666666666763e-01,2.002767633759719446e-01
1.583333333333333537e-01,2.002627507711961241e-01
1.600000000000000033e-01,2.002607126085121370e-01
1.616666666666666807e-01,2.002640772205493414e-01
1.633333333333333304e-01,2.002659787273675940e-01
1.650000000000000078e-01,2.002688283780089951e-01
1.666666666666666852e-01,2.002713732134848157e-01
1.683333333333333348e-01,2.002733828594442655e-01
1.700000000000000122e-01,2.002750546184527414e-01
1.716666666666666896e-01,2.002762459719607535e-01
1.733333333333333393e-01,2.002771960964513376e-01
1.750000000000000167e-01,2.002715371255192611e-01
1.766666666666666663e-01,2.002689447256446875e-01
1.783333333333333437e-01,2.002726896700696146e-01
1.800000000000000211e-01,2.002762939560139843e-01
1.816666666666666707e-01,2.002780782400467030e-01
1.833333333333333481e-01,2.002805119723656546e-01
1.850000000000000255e-01,2.002713821325799171e-01
1.866666666666666752e-01,2.002723821797098847e-01
1.883333333333333526e-01,2.002739250392653880e-01
1.900000000000000022e-01,2.002774411913521013e-01
1.916666666666666796e-01,2.002807446258679513e-01
1.933333333333333570e-01,2.002802784661006086e-01
1.950000000000000067e-01,1.979469385243208535e-01
1.966666666666666841e-01,2.003467430162212126e-01
1.983333333333333337e-01,2.003849255593076473e-01
2.000000000000000111e-01,2.003707244380646679e-01
2.016666666666666885e-01,2.003416482304982149e-01
2.033333333333333381e-01,2.003297271168627269e-01
2.050000000000000155e-01,2.003262790279391747e-01
2.066666666666666929e-01,2.003196485217228207e-01
2.083333333333333426e-01,2.003174750669847737e-01
2.100000000000000200e-01,2.003154577818791748e-01
2.116666666666666696e-01,2.003151646287456566e-01
2.133333333333333470e-01,2.003114047276904619e-01
2.150000000000000244e-01,2.003110967173332979e-01
2.166666666666666741e-01,2.003153174167817685e-01
2.183333333333333515e-01,2.003038389985604684e-01
2.200000000000000011e-01,2.003016890559982111e-01
2.216666666666666785e-01,2.003025425097912926e-01
2.233333333333333559e-01,2.003058342811444570e-01
2.250000000000000056e-01,2.003101948259281284e-01
2.266666666666666829e-01,2.003144024961592828e-01
2.283333333333333603e-01,2.003170239834416722e-01
2.300000000000000100e-01,2.003191554443010669e-01
2.316666666666666874e-01,2.003222706160896482e-01
2.333333333333333370e-01,2.003097953256138264e-01
2.350000000000000144e-01,2.002970342353465050e-01
2.366666666666666918e-01,2.003013848976819833e-01
2.383333333333333415e-01,2.003103942517300562e-01
2.400000000000000189e-01,2.003119962645528163e-01
2.416666666666666685e-01,2.003158987249540612e-01
2.433333333333333459e-01,2.003152542640880274e-01
2.450000000000000233e-01,2.003187125591076867e-01
2.466666666666666730e-01,2.003187360888076807e-01
2.483333333333333504e-01,2.003228982816009640e-01
2.500000000000000000e-01,2.003285097645151891e-01
2.516666666666667052e-01,2.003325664249956950e-01
2.533333333333333548e-01,2.003351313557301117e-01
2.550000000000000044e-01,2.003397259414560205e-01
2.566666666666667096e-01,2.003464147815379737e-01
2.583333333333333592e-01,2.003382347922599838e-01
2.600000000000000089e-01,2.003308827756635768e-01
2.616666666666666585e-01,2.003267613631215527e-01
2.633333333333333637e-01,2.003302893022183007e-01
2.650000000000000133e-01,2.003388854988774892e-01
2.666666666666666630e-01,2.003456074767493156e-01
2.683333333333333681e-01,2.003526528708919063e-01
2.700000000000000178e-01,2.003594019824224970e-01
2.716666666666666674e-01,2.003684120133549518e-01
2.733333333333333726e-01,2.003753253459691075e-01
2.750000000000000222e-01,2.003813912385925544e-01
2.766666666666666718e-01,2.003997732941298349e-01
2.783333333333333770e-01,2.004097381295177061e-01
2.800000000000000266e-01,2.004213707653441923e-01
2.816666666666666763e-01,2.004277560700645500e-01
2.833333333333333259e-01,2.004274602425988594e-01
2.850000000000000311e-01,2.004298474509204342e-01
2.866666666666666807e-01,2.004205062884512334e-01
2.883333333333333304e-01,2.004073612430802565e-01
2.900000000000000355e-01,2.003976335497590910e-01
2.916666666666666852e-01,2.004040182004922788e-01
2.933333333333333348e-01,2.003995737757524043e-01
2.950000000000000400e-01,1.983709291723023682e-01
2.966666666666666896e-01,2.006495777889205079e-01
2.983333333333333393e-01,2.008066763187730253e-01
3.000000000000000444e-01,1.976792653567116254e-01
3.016666666666666941e-01,2.001839241454846929e-01
3.033333333333333437e-01,1.955373911383429253e-01
3.049999999999999933e-01,1.981350999577080885e-01
3.066666666666666985e-01,2.006842570931580416e-01
3.083333333333333481e-01,1.956521705323278626e-01
3.099999999999999978e-01,1.980505005249289519e-01
3.116666666666667029e-01,1.936001381919376374e-01
3.133333333333333526e-01,1.968080208139854348e-01
3.150000000000000022e-01,1.998724138523196858e-01
3.166666666666667074e-01,1.950907341944555506e-01
3.183333333333333570e-01,1.979372176125403504e-01
