distance,dist_from_surface
3.333333333333333547e-03,1.102039869786807097e-01
5.000000000000000104e-03,1.103391560304684132e-01
6.666666666666667095e-03,1.107833280625743766e-01
8.333333333333333218e-03,1.118014371800815643e-01
1.000000000000000021e-02,1.135333594219509329e-01
1.166666666666666720e-02,1.160497825219479473e-01
1.333333333333333419e-02,1.192994499392116964e-01
1.500000000000000118e-02,1.233573281725289100e-01
1.666666666666666644e-02,1.282394111738200115e-01
1.833333333333333343e-02,1.338769701588184979e-01
2.000000000000000042e-02,1.402206027721405734e-01
2.166666666666666741e-02,1.469197056376658761e-01
2.333333333333333440e-02,1.537621636703025430e-01
2.500000000000000139e-02,1.605398659728524413e-01
2.666666666666666838e-02,1.669665323279392044e-01
2.833333333333333537e-02,1.728470257901549290e-01
3.000000000000000236e-02,1.780138945730376787e-01
3.166666666666666935e-02,1.823695839927833295e-01
3.333333333333333287e-02,1.860530583370807733e-01
3.500000000000000333e-02,1.892270411462992075e-01
3.666666666666666685e-02,1.919323011248473820e-01
3.833333333333333731e-02,1.941876205162066382e-01
4.000000000000000083e-02,1.960095272585940795e-01
4.166666666666667129e-02,1.974124394169181895e-01
4.333333333333333481e-02,1.983994442533262015e-01
4.500000000000000527e-02,1.989904008571368454e-01
4.666666666666666879e-02,1.992653465222599396e-01
4.833333333333333925e-02,1.994770571377018908e-01
5.000000000000000278e-02,1.996443233761145131e-01
5.166666666666667324e-02,1.997741549938090722e-01
5.333333333333333676e-02,1.998790303180224270e-01
5.500000000000000028e-02,1.999578019107282612e-01
5.666666666666667074e-02,2.000192931225603932e-01
5.833333333333333426e-02,2.000672769255665284e-01
6.000000000000000472e-02,2.001079952164524500e-01
6.166666666666666824e-02,2.001364875092358220e-01
6.333333333333333870e-02,2.001576443594000609e-01
6.500000000000000222e-02,2.001777092212087550e-01
6.666666666666666574e-02,2.001932638847527812e-01
6.833333333333334314e-02,2.002032908190471416e-01
7.000000000000000666e-02,2.002132819265590447e-01
7.166666666666667018e-02,2.002219727693649309e-01
7.333333333333333370e-02,2.002262873552612399e-01
7.500000000000001110e-02,2.002561519593641925e-01
7.666666666666667462e-02,2.002569471267932055e-01
7.833333333333333814e-02,2.002521968331447133e-01
8.000000000000000167e-02,2.002506368663057590e-01
8.166666666666666519e-02,2.002489282331539056e-01
8.333333333333334259e-02,2.002455679822282286e-01
8.500000000000000611e-02,2.002441381544897148e-01
8.666666666666666963e-02,2.002441082911575188e-01
8.833333333333333315e-02,2.002440011623153049e-01
9.000000000000001055e-02,2.002441880779163852e-01
9.166666666666667407e-02,2.002440163061121048e-01
9.333333333333333759e-02,2.002444151494493230e-01
9.500000000000000111e-02,2.002449258944412613e-01
9.666666666666667851e-02,2.002454597405010361e-01
9.833333333333334203e-02,2.002460213585283699e-01
1.000000000000000056e-01,2.002465518615719475e-01
1.016666666666666691e-01,2.002463927792139109e-01
