distance,dist_from_surface
3.333333333333333547e-03,1.101809050404946727e-01
5.000000000000000104e-03,1.102543083829654325e-01
6.666666666666667095e-03,1.107890717089396876e-01
8.333333333333333218e-03,1.119707188902799438e-01
1.000000000000000021e-02,1.138780961916643769e-01
1.166666666666666720e-02,1.165289464989829327e-01
1.333333333333333419e-02,1.199800707325791443e-01
1.500000000000000118e-02,1.242261076715543422e-01
1.666666666666666644e-02,1.293282409022903645e-01
1.833333333333333343e-02,1.352166670966278295e-01
2.000000000000000042e-02,1.416772501488005320e-01
2.166666666666666741e-02,1.483933688456776090e-01
2.333333333333333440e-02,1.552525594435102962e-01
2.500000000000000139e-02,1.620079470369422403e-01
2.666666666666666838e-02,1.683775067186337737e-01
2.833333333333333537e-02,1.741674580091727431e-01
3.000000000000000236e-02,1.791956280944944913e-01
3.166666666666666935e-02,1.833977452639287686e-01
3.333333333333333287e-02,1.869222692011551779e-01
3.500000000000000333e-02,1.899354249975536424e-01
3.666666666666666685e-02,1.924725760631808280e-01
3.833333333333333731e-02,1.945474405204831725e-01
4.000000000000000083e-02,1.961881916459070896e-01
4.166666666666667129e-02,1.974113535997125135e-01
4.333333333333333481e-02,1.982322925570623451e-01
4.500000000000000527e-02,1.986819534999939574e-01
4.666666666666666879e-02,1.990628273396319592e-01
4.833333333333333925e-02,1.993419931190001659e-01
5.000000000000000278e-02,1.995845220133158071e-01
5.166666666666667324e-02,1.997992542090240853e-01
5.333333333333333676e-02,1.999375606810670225e-01
5.500000000000000028e-02,2.000535340323440492e-01
5.666666666666667074e-02,2.001427373115596542e-01
5.833333333333333426e-02,2.002183889298495834e-01
6.000000000000000472e-02,2.002766106825699666e-01
6.166666666666666824e-02,2.003263083339125727e-01
6.333333333333333870e-02,2.003645692685112889e-01
6.500000000000000222e-02,2.003979982303083218e-01
6.666666666666666574e-02,2.004244647082193687e-01
6.833333333333334314e-02,2.004457016991720297e-01
7.000000000000000666e-02,2.004630461787081930e-01
7.166666666666667018e-02,2.004772776915552113e-01
7.333333333333333370e-02,2.004889883475857171e-01
7.500000000000001110e-02,2.004988002315732654e-01
7.666666666666667462e-02,2.005084031489997309e-01
7.833333333333333814e-02,2.005109577270985655e-01
8.000000000000000167e-02,2.005167330534761982e-01
8.166666666666666519e-02,2.005204962889326203e-01
8.333333333333334259e-02,2.005248312977977732e-01
8.500000000000000611e-02,2.005278435878283250e-01
8.666666666666666963e-02,2.005354442459722220e-01
8.833333333333333315e-02,2.005361229770132592e-01
9.000000000000001055e-02,2.006050632252993071e-01
9.166666666666667407e-02,2.005834026464763109e-01
9.333333333333333759e-02,2.005833009463701133e-01
9.500000000000000111e-02,2.005696420759659204e-01
9.666666666666667851e-02,2.005710592025588268e-01
9.833333333333334203e-02,2.006109864380060115e-01
1.000000000000000056e-01,2.005933689134645481e-01
1.016666666666666691e-01,2.005900828188066642e-01
1.033333333333333465e-01,2.005798161296350746e-01
1.050000000000000100e-01,2.005784080658857549e-01
1.066666666666666735e-01,2.005734786273469517e-01
1.083333333333333370e-01,2.005728286122970550e-01
1.100000000000000006e-01,2.005703647974503290e-01
1.116666666666666780e-01,2.005702472446057039e-01
1.133333333333333415e-01,2.006356055803252825e-01
1.150000000000000050e-01,2.006119330603865492e-01
1.166666666666666685e-01,2.006076816265390250e-01
1.183333333333333459e-01,2.005940793739911243e-01
1.200000000000000094e-01,2.005929935050880242e-01
1.216666666666666730e-01,2.005860496378433222e-01
1.233333333333333365e-01,2.005855610733253414e-01
1.250000000000000000e-01,2.005852697331426127e-01
1.266666666666666774e-01,2.005841830934449732e-01
1.283333333333333548e-01,2.005823079286052635e-01
1.300000000000000044e-01,2.005798625424312920e-01
1.316666666666666818e-01,2.005792595020428337e-01
1.333333333333333315e-01,2.005790853310720212e-01
1.350000000000000089e-01,2.005807117036472464e-01
1.366666666666666863e-01,2.005805210414177142e-01
1.383333333333333359e-01,2.005854340056233975e-01
1.400000000000000133e-01,2.005841801133888269e-01
1.416666666666666630e-01,2.006308946788024627e-01
1.433333333333333404e-01,2.006126341118714962e-01
1.450000000000000178e-01,2.006137373506857169e-01
1.466666666666666674e-01,2.006037836002031449e-01
1.483333333333333448e-01,2.006041274725063883e-01
1.500000000000000222e-01,2.005992709356364256e-01
1.516666666666666718e-01,2.005991053379688471e-01
1.533333333333333492e-01,2.005972630908641197e-01
1.549999999999999989e-01,2.005970824729473023e-01
1.566666666666666763e-01,2.005972971496459423e-01
1.583333333333333537e-01,2.005986097098835796e-01
1.600000000000000033e-01,2.005995221968960851e-01
1.616666666666666807e-01,2.006010863112845655e-01
1.633333333333333304e-01,2.006028245392112719e-01
1.650000000000000078e-01,2.006032037477971097e-01
1.666666666666666852e-01,2.006045799891675863e-01
1.683333333333333348e-01,2.006053959772049200e-01
1.700000000000000122e-01,2.006067120047071439e-01
1.716666666666666896e-01,2.005978239490693593e-01
1.733333333333333393e-01,2.006032242511843755e-01
1.750000000000000167e-01,2.005946609981326678e-01
1.766666666666666663e-01,2.006024896057903573e-01
1.783333333333333437e-01,2.006038898404291226e-01
1.800000000000000211e-01,2.006095296150543772e-01
1.816666666666666707e-01,2.005626710996295803e-01
1.833333333333333481e-01,2.005828191562652463e-01
1.850000000000000255e-01,2.005831129355862275e-01
1.866666666666666752e-01,2.005988299115470108e-01
1.883333333333333526e-01,2.006000638133169922e-01
1.900000000000000022e-01,2.006098357117096498e-01
1.916666666666666796e-01,2.006112598211789999e-01
1.933333333333333570e-01,2.006176426561225024e-01
1.950000000000000067e-01,2.006206758191645956e-01
1.966666666666666841e-01,2.006246003860713556e-01
1.983333333333333337e-01,2.006254822790786152e-01
2.000000000000000111e-01,2.006275509782786404e-01
2.016666666666666885e-01,2.006283888813059080e-01
2.033333333333333381e-01,2.006296786693406997e-01
2.050000000000000155e-01,2.006308135881252896e-01
2.066666666666666929e-01,2.006322822239491599e-01
2.083333333333333426e-01,2.006320298258753299e-01
2.100000000000000200e-01,2.006330164538928096e-01
2.116666666666666696e-01,2.006328112933770114e-01
2.133333333333333470e-01,2.006321040962067703e-01
2.150000000000000244e-01,2.006323226458539832e-01
2.166666666666666741e-01,2.005567682485809577e-01
2.183333333333333515e-01,2.005786686667757335e-01
2.200000000000000011e-01,2.005791096264755158e-01
2.216666666666666785e-01,2.005968385601746007e-01
2.233333333333333559e-01,2.005984288775188862e-01
2.250000000000000056e-01,2.006107209362613664e-01
2.266666666666666829e-01,2.006167798384370371e-01
2.283333333333333603e-01,2.006216130859052871e-01
2.300000000000000100e-01,2.006241384988102228e-01
2.316666666666666874e-01,2.006269969499170913e-01
2.333333333333333370e-01,2.006299450504481496e-01
2.350000000000000144e-01,2.006299953477369280e-01
2.366666666666666918e-01,2.006296123032356993e-01
2.383333333333333415e-01,2.006350238482629833e-01
2.400000000000000189e-01,2.006317802208441581e-01
2.416666666666666685e-01,2.006325011781270873e-01
2.433333333333333459e-01,2.006303915498618695e-01
2.450000000000000233e-01,2.006301667311085057e-01
2.466666666666666730e-01,2.006326853931045262e-01
2.483333333333333504e-01,2.006270045745852937e-01
2.500000000000000000e-01,2.006244348653908605e-01
2.516666666666667052e-01,2.006206837650221786e-01
2.533333333333333548e-01,2.006190254895789393e-01
2.550000000000000044e-01,2.006181578205678828e-01
2.566666666666667096e-01,2.006177097873395043e-01
2.583333333333333592e-01,2.006269695481576187e-01
2.600000000000000089e-01,2.006212434775315190e-01
2.616666666666666585e-01,2.006224342919289139e-01
2.633333333333333637e-01,2.006274659001513194e-01
2.650000000000000133e-01,2.006300545622160814e-01
2.666666666666666630e-01,2.006442046824981063e-01
2.683333333333333681e-01,2.006403228977816922e-01
2.700000000000000178e-01,2.006460223035630430e-01
2.716666666666666674e-01,2.006440711109588326e-01
2.733333333333333726e-01,2.006455371308297764e-01
2.750000000000000222e-01,2.006472879016453770e-01
2.766666666666666718e-01,2.006474621762970034e-01
2.783333333333333770e-01,2.006846579049583190e-01
2.800000000000000266e-01,2.006663988546238397e-01
2.816666666666666763e-01,2.006657802894109277e-01
2.833333333333333259e-01,2.006576285183405972e-01
