x,y
1.333333333333333419e-02,4.324932951135893044e-02
2.000000000000000042e-02,4.352082885316553573e-02
2.666666666666666838e-02,4.389256165558570733e-02
3.333333333333333287e-02,4.431424908081926795e-02
4.000000000000000083e-02,4.465809476092235525e-02
4.666666666666666879e-02,4.509598220755088593e-02
5.333333333333333676e-02,4.548818074111680987e-02
6.000000000000000472e-02,4.594933680417320754e-02
6.666666666666666574e-02,4.636139058098001642e-02
7.333333333333333370e-02,4.680304717308035600e-02
8.000000000000000167e-02,4.716281724425532007e-02
8.666666666666666963e-02,4.757489543649717073e-02
9.333333333333333759e-02,4.793710638125615875e-02
1.000000000000000056e-01,4.838826149368148644e-02
1.066666666666666735e-01,4.880079066197008653e-02
1.133333333333333415e-01,4.924549863822997448e-02
1.200000000000000094e-01,4.959787743164037477e-02
1.266666666666666774e-01,4.999720311536072492e-02
1.333333333333333315e-01,5.033388864503687138e-02
1.400000000000000133e-01,5.078010200855546247e-02
1.466666666666666674e-01,5.120057068003283640e-02
1.533333333333333492e-01,5.161613911557320217e-02
1.600000000000000033e-01,5.192836301899306922e-02
1.666666666666666852e-01,5.229541375337119075e-02
1.733333333333333393e-01,5.265605418093791817e-02
1.800000000000000211e-01,5.310986756662516850e-02
1.866666666666666752e-01,5.345521903014251175e-02
1.933333333333333570e-01,5.390801846973389960e-02
2.000000000000000111e-01,5.429653561406672796e-02
2.066666666666666929e-01,5.480731496584659301e-02
2.133333333333333470e-01,5.517838533601419210e-02
2.200000000000000011e-01,5.238214914090970342e-02
2.266666666666666829e-01,4.678983400015707811e-02
2.333333333333333370e-01,4.140703260041538047e-02
2.400000000000000189e-01,3.611144563115945699e-02
2.466666666666666730e-01,3.317595990052246702e-02
2.533333333333333548e-01,2.841575987280067078e-02
2.600000000000000089e-01,2.276657949902573599e-02
2.666666666666666630e-01,1.703034136249599595e-02
2.733333333333333726e-01,1.490463772007086067e-02
2.800000000000000266e-01,6.868566490625761800e-03
2.866666666666666807e-01,4.729208695196691382e-03
2.933333333333333348e-01,2.964090168171247715e-03
3.000000000000000444e-01,4.716345529748327929e-03
3.066666666666666985e-01,1.129396247544249034e-02
3.133333333333333526e-01,1.200749246047588120e-02
3.200000000000000067e-01,1.227746775262410044e-02
3.266666666666666607e-01,1.747466662773678250e-02
3.333333333333333703e-01,1.746216950379989724e-02
3.400000000000000244e-01,2.068374947736623809e-02
3.466666666666666785e-01,2.009738261155202821e-02
3.533333333333333326e-01,1.923628694254659460e-02
3.600000000000000422e-01,2.146050857816906784e-02
3.666666666666666963e-01,2.119178005304734463e-02
3.733333333333333504e-01,2.100554595437840663e-02
3.800000000000000044e-01,2.078988864380713203e-02
3.866666666666667140e-01,2.066583014607606752e-02
3.933333333333333681e-01,1.945997079501577201e-02
4.000000000000000222e-01,1.875460618945446259e-02
4.066666666666666763e-01,1.780368018344590658e-02
4.133333333333333859e-01,1.552082977677452999e-02
4.200000000000000400e-01,1.611549639218203683e-02
4.266666666666666941e-01,1.216857305413414359e-02
4.333333333333333481e-01,1.293982061358994740e-02
4.400000000000000022e-01,9.004700303974814968e-03
4.466666666666667118e-01,3.514237708597546007e-03
4.533333333333333659e-01,4.964471650392429831e-03
4.600000000000000200e-01,5.545995939455348328e-03
4.666666666666666741e-01,8.533687454434460418e-03
4.733333333333333837e-01,8.343806071096006305e-03
4.800000000000000377e-01,9.489820337177936119e-03
4.866666666666666918e-01,8.440556262682101865e-03
4.933333333333333459e-01,7.467308484472991864e-03
5.000000000000000000e-01,6.818267829803579400e-03
5.066666666666667096e-01,5.438853179932057538e-03
5.133333333333334192e-01,3.936599970279255206e-03
5.200000000000000178e-01,2.874713196482623235e-03
5.266666666666667274e-01,4.976866853420009937e-03
5.333333333333333259e-01,1.617522702482012645e-04
5.400000000000000355e-01,1.251633706047773674e-03
5.466666666666667451e-01,8.279423318096214681e-04
5.533333333333333437e-01,2.841582789137933000e-03
5.600000000000000533e-01,3.272679712164519757e-03
5.666666666666666519e-01,4.252750997181867915e-03
5.733333333333333615e-01,5.182261109428602970e-03
5.800000000000000711e-01,6.502992853539744933e-03
5.866666666666666696e-01,8.660148618750314331e-03
5.933333333333333792e-01,1.031507294687611029e-02
6.000000000000000888e-01,1.326973100033119156e-02
6.066666666666666874e-01,1.520035931791996302e-02
6.133333333333333970e-01,1.914449184140569818e-02
6.199999999999999956e-01,2.148216902757866739e-02
6.266666666666667052e-01,2.350964772353365123e-02
6.333333333333334147e-01,2.425659120188629336e-02
6.400000000000000133e-01,2.506847335568316085e-02
6.466666666666667229e-01,2.574970704844213934e-02
6.533333333333333215e-01,2.810104795196851496e-02
6.600000000000000311e-01,2.908813334489905589e-02
