x,y
1.666666666666666774e-03,1.383993876261219863e-03
2.500000000000000052e-03,1.326995383990171558e-03
3.333333333333333547e-03,1.268300577642444710e-03
4.166666666666666609e-03,1.211277712447198429e-03
5.000000000000000104e-03,1.157760211174453657e-03
5.833333333333333599e-03,1.108600542128096271e-03
6.666666666666667095e-03,1.064059617157704944e-03
7.500000000000000590e-03,1.024066247328920707e-03
8.333333333333333218e-03,9.883724034712893132e-04
9.166666666666666713e-03,9.566404875721096690e-04
1.000000000000000021e-02,9.285166544877646554e-04
1.083333333333333370e-02,9.036400607558761752e-04
1.166666666666666720e-02,8.816566510093793016e-04
1.250000000000000069e-02,8.622450719473026982e-04
1.333333333333333419e-02,8.451169584045866269e-04
1.416666666666666768e-02,8.300081480638311872e-04
1.500000000000000118e-02,8.167004457573234788e-04
1.583333333333333467e-02,8.049897343181515192e-04
1.666666666666666644e-02,7.946832018162383300e-04
1.750000000000000167e-02,7.856153338324786206e-04
1.833333333333333343e-02,7.776416659770698549e-04
1.916666666666666866e-02,7.706326465477562416e-04
2.000000000000000042e-02,7.644742069787366801e-04
2.083333333333333565e-02,7.590768542755313040e-04
2.166666666666666741e-02,7.543542605694390129e-04
2.250000000000000264e-02,7.502218089091481322e-04
2.333333333333333440e-02,7.466059278309525966e-04
2.416666666666666963e-02,7.434466761110140008e-04
2.500000000000000139e-02,7.406876243410910523e-04
2.583333333333333662e-02,7.382940324325900500e-04
2.666666666666666838e-02,7.362281774357678056e-04
2.750000000000000014e-02,7.344449987639241079e-04
2.833333333333333537e-02,7.329092639300827713e-04
2.916666666666666713e-02,7.315904563763972381e-04
3.000000000000000236e-02,7.304585572620992230e-04
3.083333333333333412e-02,7.294918500202371122e-04
3.166666666666666935e-02,7.286687525295601747e-04
3.250000000000000111e-02,7.279691650112826012e-04
3.333333333333333287e-02,7.273793742980500226e-04
3.416666666666667157e-02,7.268912693836321716e-04
3.500000000000000333e-02,7.264914998218725915e-04
3.583333333333333509e-02,7.261687104794860249e-04
3.666666666666666685e-02,7.259142357332071813e-04
3.750000000000000555e-02,7.257185171742702940e-04
3.833333333333333731e-02,7.255735555314276903e-04
3.916666666666666907e-02,7.254739980564005710e-04
4.000000000000000083e-02,7.254150617010004078e-04
4.083333333333333259e-02,7.253918430055368311e-04
4.166666666666667129e-02,7.254011157377019499e-04
4.250000000000000305e-02,7.254379799335363343e-04
4.333333333333333481e-02,7.255002192862615830e-04
4.416666666666666657e-02,7.255855284592761757e-04
4.500000000000000527e-02,7.256912495156857702e-04
4.583333333333333703e-02,7.258120690617430280e-04
4.666666666666666879e-02,7.259463607883622849e-04
4.750000000000000056e-02,7.260940712777885124e-04
4.833333333333333925e-02,7.262526303501718383e-04
4.916666666666667102e-02,7.264201691002270672e-04
5.000000000000000278e-02,7.265936106416051934e-04
5.083333333333333454e-02,7.267748425999774392e-04
5.166666666666667324e-02,7.269625762641446351e-04
5.250000000000000500e-02,7.271543382101891681e-04
5.333333333333333676e-02,7.273496724081322850e-04
5.416666666666666852e-02,7.275518035604639378e-04
5.500000000000000028e-02,7.277579749767632694e-04
5.583333333333333898e-02,7.279654834001090180e-04
5.666666666666667074e-02,7.281764983492070367e-04
5.750000000000000250e-02,7.283884040991893925e-04
5.833333333333333426e-02,7.286008983375274507e-04
5.916666666666667296e-02,7.288167146713522317e-04
6.000000000000000472e-02,7.290332446807108301e-04
6.083333333333333648e-02,7.292526891536733674e-04
6.166666666666666824e-02,7.294731443427806888e-04
6.250000000000000000e-02,7.296940914882011535e-04
6.333333333333333870e-02,7.299170844304837206e-04
6.416666666666667740e-02,7.301418688812241460e-04
6.500000000000000222e-02,7.303673983204161425e-04
6.583333333333334092e-02,7.305920124611908935e-04
6.666666666666666574e-02,7.308151384698425819e-04
6.750000000000000444e-02,7.310410172109754658e-04
6.833333333333334314e-02,7.312702650632343926e-04
6.916666666666666796e-02,7.314998892681099252e-04
7.000000000000000666e-02,7.317241292653953741e-04
7.083333333333333148e-02,7.319460180741298953e-04
7.166666666666667018e-02,7.321665551903038015e-04
7.250000000000000888e-02,7.298590013201083221e-04
7.333333333333333370e-02,7.274679201317648140e-04
7.416666666666667240e-02,7.257081658043748260e-04
7.500000000000001110e-02,7.231761396150065838e-04
7.583333333333333592e-02,7.205448939799994484e-04
7.666666666666667462e-02,7.182646061652647176e-04
7.749999999999999944e-02,7.145038485938222860e-04
7.833333333333333814e-02,7.120078374489278734e-04
7.916666666666667684e-02,7.089587918731742218e-04
8.000000000000000167e-02,7.070432027504138699e-04
8.083333333333334036e-02,7.048069508251170873e-04
8.166666666666666519e-02,7.011623217557940661e-04
8.250000000000000389e-02,6.996283641641392638e-04
8.333333333333334259e-02,6.987008320998224376e-04
8.416666666666666741e-02,6.985628082061761486e-04
8.500000000000000611e-02,6.974173672047430470e-04
8.583333333333334481e-02,6.968047433542564912e-04
8.666666666666666963e-02,6.967481335577085846e-04
8.750000000000000833e-02,6.979267122303753432e-04
8.833333333333333315e-02,6.969102801376930115e-04
8.916666666666667185e-02,6.962352916355961157e-04
9.000000000000001055e-02,6.964674136177100537e-04
9.083333333333333537e-02,6.947419401725740381e-04
9.166666666666667407e-02,6.927115345811219252e-04
9.250000000000001277e-02,6.931378140548075323e-04
9.333333333333333759e-02,6.952570929708140049e-04
9.416666666666667629e-02,6.977480507989153010e-04
9.500000000000000111e-02,6.998977265342453064e-04
9.583333333333333981e-02,7.015989723713201816e-04
9.666666666666667851e-02,7.032096015240193922e-04
9.750000000000000333e-02,7.050901285465616466e-04
9.833333333333334203e-02,7.052477788108301631e-04
9.916666666666666685e-02,7.039287442634650262e-04
1.000000000000000056e-01,7.036625332237790142e-04
1.008333333333333443e-01,7.051817298302199503e-04
1.016666666666666691e-01,7.022727276647251207e-04
1.025000000000000078e-01,6.996771953942085200e-04
1.033333333333333465e-01,7.004525116711056128e-04
1.041666666666666713e-01,7.024673025687151132e-04
1.050000000000000100e-01,7.044590725485110885e-04
1.058333333333333348e-01,7.030762793353975476e-04
1.066666666666666735e-01,7.015642219740124202e-04
1.075000000000000122e-01,7.025132150998783260e-04
1.083333333333333370e-01,6.990551274376384256e-04
1.091666666666666757e-01,6.959427124912831615e-04
1.100000000000000006e-01,6.962633998927641099e-04
1.108333333333333393e-01,6.979535998873196865e-04
1.116666666666666780e-01,7.003592121852320659e-04
1.125000000000000028e-01,7.021579500370449299e-04
1.133333333333333415e-01,7.043156362449900241e-04
1.141666666666666802e-01,7.032754624603699710e-04
1.150000000000000050e-01,7.011146056737436582e-04
1.158333333333333437e-01,7.006564869242219934e-04
1.166666666666666685e-01,7.014894975992076254e-04
1.175000000000000072e-01,7.006293435190659794e-04
1.183333333333333459e-01,6.966008638231931159e-04
1.191666666666666707e-01,6.927888880461304010e-04
1.200000000000000094e-01,6.924316530973162161e-04
1.208333333333333343e-01,6.949062229348872567e-04
1.216666666666666730e-01,6.964983827892940078e-04
1.225000000000000117e-01,6.984935146544707417e-04
1.233333333333333365e-01,7.008792159353370577e-04
1.241666666666666752e-01,7.031880786003673073e-04
1.250000000000000000e-01,7.061366165649314922e-04
1.258333333333333526e-01,7.093999315008184172e-04
1.266666666666666774e-01,7.120512567597184162e-04
1.275000000000000022e-01,7.145557225014140213e-04
1.283333333333333548e-01,7.137416207835232691e-04
1.291666666666666796e-01,7.118435431020977804e-04
1.300000000000000044e-01,7.109383380838526232e-04
1.308333333333333293e-01,7.107558471182735121e-04
1.316666666666666818e-01,7.119668934156259512e-04
1.325000000000000067e-01,7.129482726427270036e-04
1.333333333333333315e-01,7.141813123822420744e-04
1.341666666666666841e-01,7.155600381124675681e-04
1.350000000000000089e-01,7.172998597529064730e-04
1.358333333333333337e-01,7.193509177914681526e-04
1.366666666666666863e-01,7.215177669814795995e-04
1.375000000000000111e-01,7.234633866893753259e-04
1.383333333333333359e-01,7.250236206444192000e-04
1.391666666666666885e-01,7.262777666825292024e-04
1.400000000000000133e-01,7.277037342028116204e-04
1.408333333333333381e-01,7.294189329233107758e-04
1.416666666666666630e-01,7.309477007593418504e-04
1.425000000000000155e-01,7.324103218218133010e-04
1.433333333333333404e-01,7.321200768683405269e-04
1.441666666666666652e-01,7.316769557135269870e-04
1.450000000000000178e-01,7.321380103179893177e-04
1.458333333333333426e-01,7.326532780188333175e-04
1.466666666666666674e-01,7.333848193125778623e-04
1.475000000000000200e-01,7.328216169810477772e-04
1.483333333333333448e-01,7.309726182247725705e-04
1.491666666666666696e-01,7.298054843342721611e-04
1.500000000000000222e-01,7.287693848506297594e-04
1.508333333333333470e-01,7.278626957309816334e-04
1.516666666666666718e-01,7.277580491796475579e-04
1.524999999999999967e-01,7.258236606252847344e-04
1.533333333333333492e-01,7.245343213553049819e-04
1.541666666666666741e-01,7.235343212421203223e-04
1.549999999999999989e-01,7.223457771157141150e-04
1.558333333333333515e-01,7.221925180680670428e-04
1.566666666666666763e-01,7.189046771911459599e-04
1.575000000000000011e-01,7.161461982353850000e-04
1.583333333333333537e-01,7.159314582533399512e-04
1.591666666666666785e-01,7.173264066846794318e-04
1.600000000000000033e-01,7.184297684048968156e-04
1.608333333333333559e-01,7.162522394304385960e-04
1.616666666666666807e-01,7.148893685448316077e-04
1.625000000000000056e-01,7.134357724964475629e-04
1.633333333333333304e-01,7.118532509483360346e-04
1.641666666666666829e-01,7.113916367731567929e-04
1.650000000000000078e-01,7.126735168005172419e-04
1.658333333333333326e-01,7.143916856515004042e-04
1.666666666666666852e-01,7.165315801157208292e-04
1.675000000000000100e-01,7.179865345843657000e-04
1.683333333333333348e-01,7.186554099184737409e-04
1.691666666666666874e-01,7.180685611996074930e-04
1.700000000000000122e-01,7.172938212296778261e-04
1.708333333333333370e-01,7.148240109676552495e-04
1.716666666666666896e-01,7.098842067818988228e-04
1.725000000000000144e-01,7.074930781848213666e-04
1.733333333333333393e-01,7.023752870252177039e-04
1.741666666666666641e-01,6.983407946003352762e-04
1.750000000000000167e-01,6.950143166270171232e-04
