distance,error
3.333333333333333547e-03,5.674891218629869727e-02
5.000000000000000104e-03,5.648318344090488830e-02
6.666666666666667095e-03,5.600765015891193133e-02
8.333333333333333218e-03,5.531453181290640203e-02
1.000000000000000021e-02,5.440037845609352329e-02
1.166666666666666720e-02,5.333085290105284842e-02
1.333333333333333419e-02,5.205205895305809599e-02
1.500000000000000118e-02,5.052291525852160847e-02
1.666666666666666644e-02,4.876685656495290122e-02
1.833333333333333343e-02,4.666066904026460599e-02
2.000000000000000042e-02,4.423480348306438326e-02
2.166666666666666741e-02,4.139352380665841519e-02
2.333333333333333440e-02,3.810731387507535622e-02
2.500000000000000139e-02,3.447766849885999796e-02
2.666666666666666838e-02,3.056421543625114853e-02
2.833333333333333537e-02,2.633277018847150069e-02
3.000000000000000236e-02,2.198488991782504912e-02
3.166666666666666935e-02,1.782566830396776700e-02
3.333333333333333287e-02,1.394279854790508692e-02
3.500000000000000333e-02,1.029030802002392844e-02
3.666666666666666685e-02,6.836379951138878662e-03
3.833333333333333731e-02,3.576581372686356720e-03
4.000000000000000083e-02,5.047288312249905004e-04
4.166666666666667129e-02,2.385906700516085381e-03
4.333333333333333481e-02,5.063358172917462909e-03
4.500000000000000527e-02,7.535525361743158380e-03
4.666666666666666879e-02,9.844534611838129043e-03
4.833333333333333925e-02,1.200037278059441249e-02
5.000000000000000278e-02,1.387411201548112774e-02
5.166666666666667324e-02,1.550135828762462704e-02
5.333333333333333676e-02,1.681835136697200708e-02
5.500000000000000028e-02,1.770082873159562961e-02
5.666666666666667074e-02,1.821001833983162954e-02
5.833333333333333426e-02,1.828328466517922801e-02
6.000000000000000472e-02,1.785678892169664453e-02
6.166666666666666824e-02,1.709636713655381460e-02
6.333333333333333870e-02,1.604505132515826604e-02
6.500000000000000222e-02,1.469547168454318591e-02
6.666666666666666574e-02,1.303496159246867077e-02
6.833333333333334314e-02,1.115744796641530284e-02
7.000000000000000666e-02,9.282750864456098053e-03
7.166666666666667018e-02,7.594998080691407055e-03
7.333333333333333370e-02,6.164366024140693900e-03
7.500000000000001110e-02,4.997816191476713368e-03
7.666666666666667462e-02,4.074382429847455030e-03
7.833333333333333814e-02,3.352817421276994315e-03
8.000000000000000167e-02,2.798198358481216504e-03
8.166666666666666519e-02,2.374963965818076891e-03
8.333333333333334259e-02,2.049579519497033656e-03
8.500000000000000611e-02,1.796755935467216850e-03
8.666666666666666963e-02,1.598740314376694569e-03
8.833333333333333315e-02,1.443024203675176117e-03
9.000000000000001055e-02,1.320166380282792240e-03
9.166666666666667407e-02,1.222723403656839286e-03
9.333333333333333759e-02,1.145428729662779400e-03
9.500000000000000111e-02,1.083470251640272428e-03
9.666666666666667851e-02,1.020665605755124907e-03
9.833333333333334203e-02,9.764165295051729140e-04
1.000000000000000056e-01,9.456575872431767504e-04
1.016666666666666691e-01,9.229508855825488802e-04
1.033333333333333465e-01,9.053818278091233570e-04
1.050000000000000100e-01,8.916372107139053371e-04
1.066666666666666735e-01,8.813658635586065155e-04
1.083333333333333370e-01,8.737803658772784520e-04
1.100000000000000006e-01,8.683658029160249651e-04
1.116666666666666780e-01,8.671615242124411154e-04
1.133333333333333415e-01,8.707804647844379683e-04
1.150000000000000050e-01,8.717960078885513431e-04
1.166666666666666685e-01,8.717658913809215888e-04
1.183333333333333459e-01,8.727926547382804665e-04
1.200000000000000094e-01,8.748462116971706228e-04
1.216666666666666730e-01,8.760629419804700146e-04
1.233333333333333365e-01,8.783841592108439017e-04
1.250000000000000000e-01,8.811156868323968610e-04
1.266666666666666774e-01,8.810081067044779005e-04
1.283333333333333548e-01,8.844118358725880369e-04
1.300000000000000044e-01,8.894768172031747517e-04
1.316666666666666818e-01,8.946274795038432594e-04
1.333333333333333315e-01,9.005110027443137804e-04
1.350000000000000089e-01,9.074454608135607003e-04
1.366666666666666863e-01,9.142891310780158331e-04
1.383333333333333359e-01,9.187774083914605847e-04
1.400000000000000133e-01,9.272664563138484101e-04
1.416666666666666630e-01,9.398212543601123722e-04
1.433333333333333404e-01,9.499782175368774858e-04
1.450000000000000178e-01,9.639402966933824715e-04
1.466666666666666674e-01,9.827215487429664161e-04
1.483333333333333448e-01,9.968711184704182396e-04
1.500000000000000222e-01,9.934350452636107626e-04
1.516666666666666718e-01,9.797483682122203833e-04
1.533333333333333492e-01,9.842801542757448775e-04
1.549999999999999989e-01,9.999385768481286376e-04
1.566666666666666763e-01,1.011974140406186797e-03
1.583333333333333537e-01,1.013000081624221282e-03
1.600000000000000033e-01,1.013820607085503308e-03
1.616666666666666807e-01,1.018578183135639267e-03
1.633333333333333304e-01,1.025396477743939277e-03
1.650000000000000078e-01,1.031637863943545138e-03
1.666666666666666852e-01,1.043469074740855209e-03
1.683333333333333348e-01,1.051372779648094636e-03
1.700000000000000122e-01,1.047787688327019408e-03
1.716666666666666896e-01,5.998246992228047601e-04
1.733333333333333393e-01,6.194200684972427920e-04
1.750000000000000167e-01,1.215587430432610739e-03
1.766666666666666663e-01,3.543767953092138816e-03
1.783333333333333437e-01,2.788688089790429536e-03
1.800000000000000211e-01,4.157389204574420821e-03
1.816666666666666707e-01,4.602783558704338918e-03
1.833333333333333481e-01,3.956891878365999433e-03
1.850000000000000255e-01,4.864671936332173353e-03
1.866666666666666752e-01,4.934682282138814179e-03
1.883333333333333526e-01,4.452154802122836735e-03
1.900000000000000022e-01,6.087118715149188869e-03
1.916666666666666796e-01,4.752127103290575832e-03
1.933333333333333570e-01,4.580466973929312249e-03
1.950000000000000067e-01,5.907467105113076676e-03
1.966666666666666841e-01,4.538942280286169945e-03
1.983333333333333337e-01,5.958986589406497884e-03
2.000000000000000111e-01,5.507462315201185760e-03
2.016666666666666885e-01,4.363099070057754360e-03
2.033333333333333381e-01,5.852667576293330530e-03
2.050000000000000155e-01,5.152442281260835935e-03
2.066666666666666929e-01,5.511268415069913058e-03
2.083333333333333426e-01,5.860551667466934456e-03
2.100000000000000200e-01,4.517525476308884361e-03
2.116666666666666696e-01,5.378082163646139349e-03
2.133333333333333470e-01,5.371343931877565342e-03
2.150000000000000244e-01,4.131247496907101621e-03
2.166666666666666741e-01,6.002053478760740503e-03
2.183333333333333515e-01,4.870046467373853431e-03
2.200000000000000011e-01,5.036113720463405129e-03
2.216666666666666785e-01,5.458334872365156257e-03
2.233333333333333559e-01,4.311147146576661815e-03
2.250000000000000056e-01,5.797644919507153813e-03
2.266666666666666829e-01,4.971349063843508512e-03
2.283333333333333603e-01,4.571353080384682639e-03
2.300000000000000100e-01,5.438070715937309146e-03
2.316666666666666874e-01,4.480871057035681719e-03
2.333333333333333370e-01,4.754989504757334284e-03
2.350000000000000144e-01,5.168426959478829991e-03
2.366666666666666918e-01,4.226820595465032374e-03
2.383333333333333415e-01,5.479043094317713643e-03
2.400000000000000189e-01,4.755008183443802487e-03
2.416666666666666685e-01,4.362856607435722407e-03
2.433333333333333459e-01,5.282566133885848413e-03
2.450000000000000233e-01,4.465818905818363764e-03
2.466666666666666730e-01,4.531309188630266646e-03
2.483333333333333504e-01,4.969545742756268508e-03
2.500000000000000000e-01,4.235133769716995303e-03
2.516666666666667052e-01,5.133010920984264897e-03
2.533333333333333548e-01,4.581474060242327062e-03
2.550000000000000044e-01,4.071333755563262026e-03
2.566666666666667096e-01,4.925598645406765140e-03
2.583333333333333592e-01,4.413066797398037568e-03
2.600000000000000089e-01,4.124227100489137252e-03
2.616666666666666585e-01,4.685140161356031799e-03
2.633333333333333637e-01,4.297140726697949720e-03
2.650000000000000133e-01,4.621236773357476936e-03
2.666666666666666630e-01,4.417356648613863027e-03
2.683333333333333681e-01,4.151581741495082890e-03
2.700000000000000178e-01,4.381875751603405734e-03
2.716666666666666674e-01,4.237697086542734255e-03
2.733333333333333726e-01,4.127382901182311686e-03
2.750000000000000222e-01,4.117799067581763214e-03
2.766666666666666718e-01,4.177159570840046840e-03
2.783333333333333770e-01,4.096224929344443287e-03
2.800000000000000266e-01,4.036588524118356162e-03
2.816666666666666763e-01,3.983711844527990965e-03
2.833333333333333259e-01,4.106550461776739720e-03
2.850000000000000311e-01,4.063918898071563861e-03
2.866666666666666807e-01,4.041788057896710147e-03
2.883333333333333304e-01,3.930308672812445926e-03
2.900000000000000355e-01,4.095923329060652436e-03
2.916666666666666852e-01,4.083643938548086987e-03
2.933333333333333348e-01,4.078717132652588499e-03
2.950000000000000400e-01,3.960998745026029014e-03
2.966666666666666896e-01,4.035174387014245183e-03
2.983333333333333393e-01,4.059409961765824033e-03
3.000000000000000444e-01,4.076124607180942223e-03
3.016666666666666941e-01,3.975784655742396582e-03
3.033333333333333437e-01,4.004025077988498070e-03
3.049999999999999933e-01,4.054796547204067049e-03
3.066666666666666985e-01,4.089775825480863707e-03
3.083333333333333481e-01,3.999058692973941898e-03
3.099999999999999978e-01,3.995792069782266517e-03
3.116666666666667029e-01,4.052281894055015377e-03
3.133333333333333526e-01,4.109272710205150517e-03
3.150000000000000022e-01,4.015414981196472298e-03
3.166666666666667074e-01,3.984397870533389063e-03
3.183333333333333570e-01,4.058374384878781632e-03
3.200000000000000067e-01,4.133261156444320225e-03
3.216666666666667118e-01,4.031836171952037258e-03
3.233333333333333615e-01,3.980883193667136312e-03
3.250000000000000111e-01,4.002786226784800505e-03
3.266666666666666607e-01,4.117820843946476406e-03
3.283333333333333659e-01,4.017607827188806463e-03
3.300000000000000155e-01,3.960563982930623457e-03
3.316666666666666652e-01,4.045250755228459866e-03
3.333333333333333703e-01,3.932628804400519797e-03
3.350000000000000200e-01,3.817954184644603999e-03
3.366666666666666696e-01,3.917211291565522897e-03
3.383333333333333748e-01,3.800162887203144876e-03
3.400000000000000244e-01,3.656725421029990812e-03
3.416666666666666741e-01,4.047511139906542245e-03
3.433333333333333792e-01,3.547308636152237109e-03
3.450000000000000289e-01,3.340634780590739927e-03
3.466666666666666785e-01,3.997047720036415140e-03
3.483333333333333282e-01,3.462526363206009164e-03
3.500000000000000333e-01,2.998714348592325125e-03
3.516666666666666829e-01,3.927081740846081331e-03
3.533333333333333326e-01,3.352356223272550968e-03
3.550000000000000377e-01,3.922822676785644308e-03
3.566666666666666874e-01,3.497785208982175965e-03
3.583333333333333370e-01,2.972043708647553999e-03
3.600000000000000422e-01,3.588690747639318793e-03
3.616666666666666918e-01,3.181238802082294106e-03
3.633333333333333415e-01,2.650073715104619369e-03
3.650000000000000466e-01,3.327528967317229091e-03
3.666666666666666963e-01,2.915464085093838649e-03
3.683333333333333459e-01,2.507346528960609396e-03
3.700000000000000511e-01,3.049894874153036891e-03
3.716666666666667007e-01,2.634561009619929527e-03
3.733333333333333504e-01,2.935784671317014875e-03
3.750000000000000000e-01,2.718667747131149615e-03
3.766666666666667052e-01,3.000044103068877973e-03
3.783333333333333548e-01,2.483921420741095655e-03
3.800000000000000044e-01,2.310589951213839945e-03
3.816666666666667096e-01,2.864501575406519073e-03
3.833333333333333592e-01,2.156362155488417490e-03
3.850000000000000089e-01,1.905427058845750874e-03
3.866666666666667140e-01,2.737087160184642487e-03
3.883333333333333637e-01,2.070290316628011374e-03
3.900000000000000133e-01,3.005656935879258852e-03
3.916666666666667185e-01,2.290773050666728913e-03
3.933333333333333681e-01,1.729944155270041585e-03
3.950000000000000178e-01,2.626265844457298382e-03
3.966666666666666674e-01,1.979525544015104874e-03
3.983333333333333726e-01,2.705602587078159184e-03
4.000000000000000222e-01,2.057737105625052996e-03
4.016666666666666718e-01,1.547078466139802013e-03
4.033333333333333770e-01,2.260475847808084658e-03
4.050000000000000266e-01,1.701224877314674129e-03
4.066666666666666763e-01,1.264792467538455910e-03
4.083333333333333814e-01,1.921213216345671370e-03
4.100000000000000311e-01,1.446823862398621992e-03
4.116666666666666807e-01,1.944324524286088381e-03
4.133333333333333859e-01,1.476624083259276158e-03
4.150000000000000355e-01,1.090960690296607829e-03
4.166666666666666852e-01,1.559387364403583666e-03
4.183333333333333348e-01,1.171289197560755136e-03
4.200000000000000400e-01,8.556951854231029369e-04
4.216666666666666896e-01,1.260800645202253675e-03
4.233333333333333393e-01,9.411893527113978936e-04
4.250000000000000444e-01,1.214231544925325210e-03
4.266666666666666941e-01,9.071316460496147783e-04
4.283333333333333437e-01,6.523483415006710263e-04
4.300000000000000488e-01,8.911329988538620270e-04
4.316666666666666985e-01,6.575920108253784915e-04
4.333333333333333481e-01,4.627547181294412834e-04
4.350000000000000533e-01,6.250539450104448773e-04
4.366666666666667029e-01,4.467103971030798133e-04
4.383333333333333526e-01,5.045711875006969258e-04
4.400000000000000022e-01,3.566548949852257726e-04
4.416666666666667074e-01,2.367066658918502795e-04
4.433333333333333570e-01,2.424616410858404958e-04
4.450000000000000067e-01,1.590225169418224744e-04
4.466666666666667118e-01,8.307513403817416882e-05
4.483333333333333615e-01,2.507530629256500722e-05
4.500000000000000111e-01,1.981641340930136793e-05
4.516666666666667163e-01,5.606422273841462375e-05
4.533333333333333659e-01,8.304751313854610568e-05
4.550000000000000155e-01,1.059178659288020880e-04
4.566666666666667207e-01,1.236460176510421015e-04
4.583333333333333703e-01,1.262055661092090458e-04
4.600000000000000200e-01,1.373608302912891993e-04
4.616666666666666696e-01,1.458684058078644238e-04
4.633333333333333748e-01,1.520501994468441409e-04
4.650000000000000244e-01,1.620875103196374272e-04
4.666666666666666741e-01,1.662252615500685923e-04
4.683333333333333792e-01,1.677533411640131961e-04
4.700000000000000289e-01,1.735812119745248374e-04
4.716666666666666785e-01,1.729258068315710521e-04
4.733333333333333837e-01,1.679857980856042749e-04
4.750000000000000333e-01,1.593776811426800895e-04
4.766666666666666829e-01,1.567677469607054049e-04
4.783333333333333881e-01,1.594716933416072499e-04
4.800000000000000377e-01,1.625175241178868025e-04
4.816666666666666874e-01,1.613603047892008902e-04
4.833333333333333370e-01,1.608809465073314873e-04
4.850000000000000422e-01,1.664810399945473407e-04
4.866666666666666918e-01,1.668279332625481138e-04
4.883333333333333415e-01,1.642193615319641501e-04
4.900000000000000466e-01,1.680470537239092991e-04
4.916666666666666963e-01,1.678607614526479871e-04
4.933333333333333459e-01,1.643349077238428439e-04
4.950000000000000511e-01,1.593653081506223046e-04
4.966666666666667007e-01,1.578942629915121700e-04
4.983333333333333504e-01,1.569991134962096693e-04
5.000000000000000000e-01,1.607963727584427887e-04
5.016666666666667052e-01,1.528710978204133166e-04
5.033333333333334103e-01,1.540897480412011607e-04
5.050000000000000044e-01,1.552029375577453432e-04
5.066666666666667096e-01,1.512418911602435919e-04
5.083333333333334147e-01,1.581972348031745741e-04
5.100000000000000089e-01,1.611945971878418228e-04
5.116666666666667140e-01,1.597733797354545507e-04
5.133333333333334192e-01,1.658247202233932842e-04
5.150000000000000133e-01,1.676619674464974717e-04
5.166666666666667185e-01,1.648523971239065130e-04
5.183333333333333126e-01,1.718909983283610423e-04
5.200000000000000178e-01,1.740650579778635256e-04
5.216666666666667229e-01,1.654786524311118389e-04
5.233333333333333171e-01,1.716324843425694549e-04
5.250000000000000222e-01,1.610146135242363386e-04
5.266666666666667274e-01,1.506966731374046711e-04
5.283333333333333215e-01,1.595573038943986089e-04
5.300000000000000266e-01,1.676863076188874553e-04
5.316666666666667318e-01,1.699380307471623421e-04
5.333333333333333259e-01,1.662679519787864900e-04
5.350000000000000311e-01,1.717260473607199486e-04
5.366666666666667362e-01,1.636861273108757811e-04
5.383333333333333304e-01,1.649114031433237442e-04
5.400000000000000355e-01,1.735261564390853917e-04
5.416666666666667407e-01,1.777619285822902920e-04
5.433333333333333348e-01,1.825390881818878528e-04
5.450000000000000400e-01,1.802928874708344521e-04
5.466666666666667451e-01,1.788392529273902405e-04
5.483333333333333393e-01,1.789553093953713395e-04
5.500000000000000444e-01,1.768416369568482781e-04
5.516666666666667496e-01,1.721816394062739236e-04
5.533333333333333437e-01,1.695388953684404435e-04
5.550000000000000488e-01,1.667943907006404084e-04
5.566666666666667540e-01,1.545294952768857849e-04
5.583333333333333481e-01,1.879828731670303555e-04
5.600000000000000533e-01,1.779427714564199028e-04
5.616666666666666474e-01,1.717264333387092377e-04
5.633333333333333526e-01,3.021929562473883572e-04
5.650000000000000577e-01,2.709560466408522986e-04
5.666666666666666519e-01,4.732374480365763138e-04
5.683333333333333570e-01,3.987551124152845868e-04
5.700000000000000622e-01,3.280638116623646721e-04
5.716666666666666563e-01,6.158653931502171882e-04
5.733333333333333615e-01,5.226287451588824311e-04
5.750000000000000666e-01,4.255367782895909368e-04
5.766666666666666607e-01,7.855979193066948627e-04
5.783333333333333659e-01,6.483465770478883707e-04
5.800000000000000711e-01,1.034713058103640428e-03
5.816666666666666652e-01,8.571929729305016819e-04
5.833333333333333703e-01,6.796086304032744520e-04
5.850000000000000755e-01,1.162896541966848205e-03
5.866666666666666696e-01,9.653608881579838581e-04
5.883333333333333748e-01,7.659726135322435280e-04
5.900000000000000799e-01,1.324982698482168094e-03
5.916666666666666741e-01,1.097988420261585127e-03
5.933333333333333792e-01,1.667555942695251540e-03
5.950000000000000844e-01,1.368493229690153756e-03
5.966666666666666785e-01,1.080679878906419620e-03
5.983333333333333837e-01,1.752209795522883260e-03
6.000000000000000888e-01,1.432364101083152689e-03
6.016666666666666829e-01,1.125861008366294555e-03
6.033333333333333881e-01,1.883533664997877029e-03
6.050000000000000933e-01,1.547475973070580688e-03
6.066666666666666874e-01,2.295104315853426381e-03
6.083333333333333925e-01,1.861115452705800572e-03
6.099999999999999867e-01,1.448091078390401250e-03
6.116666666666666918e-01,2.311151466866959592e-03
6.133333333333333970e-01,1.895478805522822193e-03
6.149999999999999911e-01,2.749103063572914431e-03
6.166666666666666963e-01,2.244556746093273516e-03
6.183333333333334014e-01,1.754675269181899889e-03
6.199999999999999956e-01,2.733727075811499471e-03
6.216666666666667007e-01,2.231865349451408759e-03
6.233333333333334059e-01,1.731267089269498353e-03
6.250000000000000000e-01,2.785927942595643574e-03
6.266666666666667052e-01,2.288704708624775524e-03
6.283333333333334103e-01,3.304606811016511190e-03
6.300000000000000044e-01,2.716290834411176549e-03
6.316666666666667096e-01,2.146016395294820904e-03
6.333333333333334147e-01,3.305513001975230684e-03
6.350000000000000089e-01,2.730794197236139243e-03
6.366666666666667140e-01,2.158619777753213904e-03
6.383333333333334192e-01,3.406853182762896448e-03
6.400000000000000133e-01,2.833018996910772764e-03
6.416666666666667185e-01,3.367319577798332745e-03
6.433333333333334236e-01,3.424292674181451338e-03
6.450000000000000178e-01,2.771505237944124535e-03
6.466666666666667229e-01,3.353517913523846716e-03
6.483333333333334281e-01,3.473598937897945989e-03
6.500000000000000222e-01,3.386313229581665914e-03
6.516666666666667274e-01,3.368329480201389704e-03
6.533333333333333215e-01,3.477723340979280240e-03
6.550000000000000266e-01,3.403148555576089845e-03
6.566666666666667318e-01,3.463694435302757182e-03
6.583333333333333259e-01,3.573497394032571026e-03
6.600000000000000311e-01,3.526666590641738992e-03
6.616666666666667362e-01,3.650352696438996687e-03
6.633333333333333304e-01,3.763408061222702893e-03
6.650000000000000355e-01,3.734575263463121072e-03
6.666666666666667407e-01,3.863934878031673268e-03
6.683333333333333348e-01,3.936631957637624912e-03
6.700000000000000400e-01,3.941396600442135904e-03
6.716666666666667451e-01,4.089202261474102901e-03
6.733333333333333393e-01,4.100696710887862494e-03
6.750000000000000444e-01,4.129533109767265057e-03
6.766666666666667496e-01,4.381553280261889921e-03
6.783333333333333437e-01,4.268839237742528755e-03
6.800000000000000488e-01,4.283158823849675563e-03
6.816666666666667540e-01,4.510036353563809559e-03
6.833333333333333481e-01,4.434129523348813266e-03
6.850000000000000533e-01,4.519094637970061737e-03
6.866666666666667584e-01,4.740494891483776167e-03
6.883333333333333526e-01,4.703696700658567889e-03
6.900000000000000577e-01,5.093138849101595117e-03
6.916666666666667629e-01,4.863490110647045173e-03
6.933333333333333570e-01,4.775099456116701363e-03
6.950000000000000622e-01,5.117725945222842757e-03
6.966666666666666563e-01,4.968965019300600715e-03
6.983333333333333615e-01,4.920633223238522931e-03
7.000000000000000666e-01,5.122279114412000255e-03
7.016666666666666607e-01,5.159892873316302211e-03
7.033333333333333659e-01,5.206072628361187692e-03
7.050000000000000711e-01,5.163858589706992776e-03
7.066666666666666652e-01,5.259367580015546911e-03
7.083333333333333703e-01,5.317198200779470717e-03
7.100000000000000755e-01,5.322104893021915341e-03
7.116666666666666696e-01,5.399561498094782204e-03
7.133333333333333748e-01,5.544615365237639745e-03
7.150000000000000799e-01,5.576486728851838548e-03
7.166666666666666741e-01,5.570598096506514108e-03
7.183333333333333792e-01,5.677931658563236707e-03
7.200000000000000844e-01,5.802715720907234906e-03
7.216666666666666785e-01,5.745517148782085075e-03
7.233333333333333837e-01,5.750625704327464935e-03
7.250000000000000888e-01,5.904100286862594242e-03
7.266666666666666829e-01,5.847794021891546644e-03
7.283333333333333881e-01,4.810893589982878638e-03
7.300000000000000933e-01,3.857979843132059924e-03
7.316666666666666874e-01,3.119389941478908478e-03
7.333333333333333925e-01,2.551649080384662486e-03
7.350000000000000977e-01,2.115761028096205774e-03
7.366666666666666918e-01,1.769033738839172719e-03
7.383333333333333970e-01,1.488392784326986445e-03
7.400000000000001021e-01,1.220174368242272914e-03
7.416666666666666963e-01,1.029044483270385958e-03
7.433333333333334014e-01,9.116428432389703457e-04
7.449999999999999956e-01,8.228777800577883987e-04
7.466666666666667007e-01,7.351425044724899755e-04
7.483333333333334059e-01,6.694876960330899650e-04
7.500000000000000000e-01,6.028215006493880699e-04
7.516666666666667052e-01,5.570051810572931384e-04
7.533333333333334103e-01,5.193113463496186379e-04
