distance,error
3.333333333333333547e-03,5.674879531375682379e-02
5.000000000000000104e-03,5.648120395647533709e-02
6.666666666666667095e-03,5.599755442597056238e-02
8.333333333333333218e-03,5.530477163218964348e-02
1.000000000000000021e-02,5.441025939922040228e-02
1.166666666666666720e-02,5.331059378501055990e-02
1.333333333333333419e-02,5.198732765785336191e-02
1.500000000000000118e-02,5.032658416341291574e-02
1.666666666666666644e-02,4.828710888782646732e-02
1.833333333333333343e-02,4.590758695123377947e-02
2.000000000000000042e-02,4.316664768308087902e-02
2.166666666666666741e-02,4.009965564700638391e-02
2.333333333333333440e-02,3.675625367660621812e-02
2.500000000000000139e-02,3.313408860075207213e-02
2.666666666666666838e-02,2.923081718839470877e-02
2.833333333333333537e-02,2.502824272850967882e-02
3.000000000000000236e-02,2.080999684046128118e-02
3.166666666666666935e-02,1.679875769272490965e-02
3.333333333333333287e-02,1.300324717939930694e-02
3.500000000000000333e-02,9.408088211188091535e-03
3.666666666666666685e-02,6.007714935895114815e-03
3.833333333333333731e-02,2.797000117858720186e-03
4.000000000000000083e-02,1.899333976377731714e-04
4.166666666666667129e-02,2.974535394529223033e-03
4.333333333333333481e-02,5.583242880672541382e-03
4.500000000000000527e-02,8.024438285707787347e-03
4.666666666666666879e-02,1.026570224876100813e-02
4.833333333333333925e-02,1.229153954729557928e-02
5.000000000000000278e-02,1.408260835580382037e-02
5.166666666666667324e-02,1.554973670724607744e-02
5.333333333333333676e-02,1.666729412812945760e-02
5.500000000000000028e-02,1.746115698276217917e-02
5.666666666666667074e-02,1.788065896864103610e-02
5.833333333333333426e-02,1.787425226619367147e-02
6.000000000000000472e-02,1.743946436276150661e-02
6.166666666666666824e-02,1.664240609056709397e-02
6.333333333333333870e-02,1.552203731801035484e-02
6.500000000000000222e-02,1.408257431047895900e-02
6.666666666666666574e-02,1.230860608062710367e-02
6.833333333333334314e-02,1.019819021708836919e-02
7.000000000000000666e-02,8.152780838538835687e-03
7.166666666666667018e-02,6.370160621952606315e-03
7.333333333333333370e-02,4.847486960710804121e-03
7.500000000000001110e-02,3.598356284957743637e-03
7.666666666666667462e-02,2.612349924855567919e-03
7.833333333333333814e-02,1.903936938074555921e-03
8.000000000000000167e-02,1.516249635433002769e-03
8.166666666666666519e-02,1.298724996145832287e-03
8.333333333333334259e-02,1.135417464801598579e-03
8.500000000000000611e-02,1.008741281548462994e-03
8.666666666666666963e-02,9.090274021636947843e-04
8.833333333333333315e-02,8.306897266518756219e-04
9.000000000000001055e-02,7.694833530233741560e-04
9.166666666666667407e-02,7.216305598167024491e-04
9.333333333333333759e-02,6.843425477597839300e-04
9.500000000000000111e-02,6.553420621050246291e-04
9.666666666666667851e-02,6.328306927607204495e-04
9.833333333333334203e-02,6.154703850512101152e-04
1.000000000000000056e-01,6.022000251880171460e-04
1.016666666666666691e-01,5.922029780169958462e-04
1.033333333333333465e-01,5.848513347319599792e-04
1.050000000000000100e-01,5.683795063904536994e-04
1.066666666666666735e-01,5.623814501244765729e-04
1.083333333333333370e-01,5.623769692471518962e-04
1.100000000000000006e-01,5.623077573747972723e-04
1.116666666666666780e-01,5.865892739111064607e-04
1.133333333333333415e-01,5.907490824625447187e-04
1.150000000000000050e-01,5.855256346120480673e-04
1.166666666666666685e-01,5.840725602533408320e-04
1.183333333333333459e-01,5.835539469831568229e-04
1.200000000000000094e-01,5.841832602427254276e-04
1.216666666666666730e-01,5.898668108853804149e-04
1.233333333333333365e-01,5.955562625222121003e-04
1.250000000000000000e-01,5.961540548212129970e-04
1.266666666666666774e-01,5.988480039345973546e-04
1.283333333333333548e-01,6.012588044060223919e-04
1.300000000000000044e-01,6.029117356730190596e-04
1.316666666666666818e-01,6.060383749265470981e-04
1.333333333333333315e-01,6.182965587728708051e-04
1.350000000000000089e-01,6.418569588155720795e-04
1.366666666666666863e-01,6.645777958291845247e-04
1.383333333333333359e-01,6.820352071172027268e-04
1.400000000000000133e-01,6.990037251446724062e-04
1.416666666666666630e-01,7.090477211973192882e-04
1.433333333333333404e-01,7.233289896915954652e-04
1.450000000000000178e-01,7.343581596802259154e-04
1.466666666666666674e-01,7.392130507358316178e-04
1.483333333333333448e-01,7.428383800725192523e-04
1.500000000000000222e-01,7.131653536967735635e-04
1.516666666666666718e-01,6.863372470450386943e-04
1.533333333333333492e-01,6.624162882828044021e-04
1.549999999999999989e-01,6.856732903244013803e-04
1.566666666666666763e-01,7.005329926707712330e-04
1.583333333333333537e-01,7.086175334631785068e-04
1.600000000000000033e-01,7.260879502237678777e-04
1.616666666666666807e-01,7.360399745588118697e-04
1.633333333333333304e-01,7.214490334467608609e-04
1.650000000000000078e-01,7.298505999571137069e-04
1.666666666666666852e-01,7.443889540571289962e-04
1.683333333333333348e-01,7.256135511380676448e-04
1.700000000000000122e-01,7.370547561186394959e-04
1.716666666666666896e-01,4.295489027985465065e-04
1.733333333333333393e-01,4.363504887132131356e-04
1.750000000000000167e-01,1.144889349468029231e-03
1.766666666666666663e-01,3.459304234666272376e-03
1.783333333333333437e-01,2.731527517002862483e-03
1.800000000000000211e-01,4.129361963256041566e-03
1.816666666666666707e-01,4.560992938171650433e-03
1.833333333333333481e-01,3.950530759276883394e-03
1.850000000000000255e-01,4.860618464300321857e-03
1.866666666666666752e-01,4.903710959559512070e-03
1.883333333333333526e-01,4.476950722436713256e-03
1.900000000000000022e-01,6.078410507253287354e-03
1.916666666666666796e-01,4.725885160022712944e-03
1.933333333333333570e-01,4.611083394760519608e-03
1.950000000000000067e-01,5.890079371288498532e-03
1.966666666666666841e-01,4.521018960852145156e-03
1.983333333333333337e-01,5.973343700995392691e-03
2.000000000000000111e-01,5.500603252789277101e-03
2.016666666666666885e-01,4.377458742215635176e-03
2.033333333333333381e-01,5.869473206838882878e-03
2.050000000000000155e-01,5.146505364658277536e-03
2.066666666666666929e-01,5.540808819947223331e-03
2.083333333333333426e-01,5.846470853100978193e-03
2.100000000000000200e-01,4.504010929734682603e-03
2.116666666666666696e-01,5.413166658704496835e-03
2.133333333333333470e-01,5.362150614211594335e-03
2.150000000000000244e-01,4.123597760806617038e-03
2.166666666666666741e-01,6.027325550497278882e-03
2.183333333333333515e-01,4.882065326126358226e-03
2.200000000000000011e-01,5.099531123811465450e-03
2.216666666666666785e-01,5.463106398232565539e-03
2.233333333333333559e-01,4.308230417602317876e-03
2.250000000000000056e-01,5.828429885947688897e-03
2.266666666666666829e-01,4.971367529764173475e-03
2.283333333333333603e-01,4.623003479061174939e-03
2.300000000000000100e-01,5.444638916002697213e-03
2.316666666666666874e-01,4.466497170905654041e-03
2.333333333333333370e-01,4.797376565418938130e-03
2.350000000000000144e-01,5.162206323947451242e-03
2.366666666666666918e-01,4.213989729740184528e-03
2.383333333333333415e-01,5.498598460538441091e-03
2.400000000000000189e-01,4.743990215596015012e-03
2.416666666666666685e-01,4.398900602675752045e-03
2.433333333333333459e-01,5.259164803205511850e-03
2.450000000000000233e-01,4.450721193184823538e-03
2.466666666666666730e-01,4.555880188443076247e-03
2.483333333333333504e-01,4.954922932366435419e-03
2.500000000000000000e-01,4.217093371282107372e-03
2.516666666666667052e-01,5.151153826802555569e-03
2.533333333333333548e-01,4.579418534922071946e-03
2.550000000000000044e-01,4.066437317112110011e-03
2.566666666666667096e-01,4.944214700821725900e-03
2.583333333333333592e-01,4.419550580218928847e-03
2.600000000000000089e-01,4.167030207175033592e-03
2.616666666666666585e-01,4.702143933623773552e-03
2.633333333333333637e-01,4.307771180947260817e-03
2.650000000000000133e-01,4.648202874464032151e-03
2.666666666666666630e-01,4.426149636285936148e-03
2.683333333333333681e-01,4.155655671028410207e-03
2.700000000000000178e-01,4.398862961665165813e-03
2.716666666666666674e-01,4.247136392785550059e-03
2.733333333333333726e-01,4.138780753931451881e-03
2.750000000000000222e-01,4.144534148679472445e-03
2.766666666666666718e-01,4.194109025606782004e-03
2.783333333333333770e-01,4.102593502379512855e-03
2.800000000000000266e-01,4.053291679879062435e-03
2.816666666666666763e-01,4.006605943247090566e-03
2.833333333333333259e-01,4.120747750081560357e-03
2.850000000000000311e-01,4.066783981579146119e-03
2.866666666666666807e-01,4.053863915483319792e-03
2.883333333333333304e-01,3.943618271184467540e-03
2.900000000000000355e-01,4.095376783309046496e-03
2.916666666666666852e-01,4.070470242698925704e-03
2.933333333333333348e-01,4.070899766350749571e-03
2.950000000000000400e-01,3.945549617359687261e-03
2.966666666666666896e-01,4.035988694800946713e-03
2.983333333333333393e-01,4.055607597060067321e-03
3.000000000000000444e-01,4.077000543657131361e-03
3.016666666666666941e-01,3.969617202074324225e-03
3.033333333333333437e-01,4.009524793163294146e-03
3.049999999999999933e-01,4.053473507092278903e-03
3.066666666666666985e-01,4.086989731510559665e-03
3.083333333333333481e-01,3.994725363870826017e-03
3.099999999999999978e-01,4.001654091334948607e-03
3.116666666666667029e-01,4.055232515328326647e-03
3.133333333333333526e-01,4.111380329105878383e-03
3.150000000000000022e-01,4.013199238306781706e-03
3.166666666666667074e-01,3.991629242230867319e-03
3.183333333333333570e-01,4.062469642269406038e-03
3.200000000000000067e-01,4.138181269655880415e-03
3.216666666666667118e-01,4.035303727777186239e-03
3.233333333333333615e-01,3.988345700992850483e-03
3.250000000000000111e-01,4.065233043066372211e-03
3.266666666666666607e-01,4.160011468372988748e-03
3.283333333333333659e-01,4.053172679389938256e-03
3.300000000000000155e-01,3.990719500405532326e-03
3.316666666666666652e-01,4.071046353277316295e-03
3.333333333333333703e-01,3.950207407901609041e-03
3.350000000000000200e-01,3.838658532880273762e-03
3.366666666666666696e-01,3.938804614520107286e-03
3.383333333333333748e-01,3.815806671445893389e-03
3.400000000000000244e-01,3.672135582902789387e-03
3.416666666666666741e-01,4.058435889658568163e-03
3.433333333333333792e-01,3.551567528401472149e-03
3.450000000000000289e-01,3.355208856416826060e-03
3.466666666666666785e-01,4.004438624887945997e-03
3.483333333333333282e-01,3.459507636472487248e-03
3.500000000000000333e-01,3.007970941122269527e-03
3.516666666666666829e-01,3.932791129553634898e-03
3.533333333333333326e-01,3.342367929304180217e-03
3.550000000000000377e-01,3.923951029673027231e-03
3.566666666666666874e-01,3.486775011201348560e-03
3.583333333333333370e-01,2.967462208606607386e-03
3.600000000000000422e-01,3.587834597399885018e-03
3.616666666666666918e-01,3.179540780774501706e-03
3.633333333333333415e-01,2.649939262877158003e-03
3.650000000000000466e-01,3.339514595531791873e-03
3.666666666666666963e-01,2.918335930897647361e-03
3.683333333333333459e-01,2.513522283671438141e-03
3.700000000000000511e-01,3.063296637827402080e-03
3.716666666666667007e-01,2.645181231834730588e-03
3.733333333333333504e-01,2.950067830581921610e-03
3.750000000000000000e-01,2.725027853669879235e-03
3.766666666666667052e-01,3.007630461927271025e-03
3.783333333333333548e-01,2.485651822099898753e-03
3.800000000000000044e-01,2.319592016339575621e-03
3.816666666666667096e-01,2.859777069969465096e-03
3.833333333333333592e-01,2.149647118551479587e-03
3.850000000000000089e-01,1.908695510886140216e-03
3.866666666666667140e-01,2.744811763460404917e-03
3.883333333333333637e-01,2.060441824642068268e-03
3.900000000000000133e-01,3.013170985842150013e-03
3.916666666666667185e-01,2.268357535333227759e-03
3.933333333333333681e-01,1.722509752450012343e-03
3.950000000000000178e-01,2.614024452394432194e-03
3.966666666666666674e-01,1.959646558108458538e-03
3.983333333333333726e-01,2.700246860823248950e-03
4.000000000000000222e-01,2.021308668313717607e-03
4.016666666666666718e-01,1.530670783038469603e-03
4.033333333333333770e-01,2.242200825401613126e-03
4.050000000000000266e-01,1.677948030330939869e-03
4.066666666666666763e-01,1.264976065689019449e-03
4.083333333333333814e-01,1.922353922666234990e-03
4.100000000000000311e-01,1.433775918143567881e-03
4.116666666666666807e-01,1.945801589728708616e-03
4.133333333333333859e-01,1.453671910642198063e-03
4.150000000000000355e-01,1.096335321769673988e-03
4.166666666666666852e-01,1.564486878846046199e-03
4.183333333333333348e-01,1.164422385338007623e-03
4.200000000000000400e-01,8.690624393188526534e-04
4.216666666666666896e-01,1.270878491587388659e-03
4.233333333333333393e-01,9.452601933376053242e-04
4.250000000000000444e-01,1.230714724243747379e-03
4.266666666666666941e-01,9.047794058338612866e-04
4.283333333333333437e-01,6.677818965776098929e-04
