distance,error
3.333333333333333547e-03,5.674858196096802671e-02
5.000000000000000104e-03,5.647945361411051135e-02
6.666666666666667095e-03,5.599338183170290972e-02
8.333333333333333218e-03,5.530938172246742390e-02
1.000000000000000021e-02,5.441418366794807671e-02
1.166666666666666720e-02,5.331915422642836272e-02
1.333333333333333419e-02,5.193867474892376740e-02
1.500000000000000118e-02,5.017088447784973787e-02
1.666666666666666644e-02,4.799907063503157378e-02
1.833333333333333343e-02,4.547851124733144623e-02
2.000000000000000042e-02,4.263748448413079428e-02
2.166666666666666741e-02,3.950182618870356349e-02
2.333333333333333440e-02,3.609908452378986915e-02
2.500000000000000139e-02,3.243534097374793645e-02
2.666666666666666838e-02,2.849583313027826206e-02
2.833333333333333537e-02,2.424947015662612393e-02
3.000000000000000236e-02,2.008256856219669401e-02
3.166666666666666935e-02,1.617151933667199462e-02
3.333333333333333287e-02,1.248047824066807372e-02
3.500000000000000333e-02,8.990378042270517206e-03
3.666666666666666685e-02,5.709781031618960633e-03
3.833333333333333731e-02,2.650370265342480176e-03
4.000000000000000083e-02,2.188872766909138535e-04
4.166666666666667129e-02,2.904841108205576464e-03
4.333333333333333481e-02,5.415312895773304741e-03
4.500000000000000527e-02,7.738763741397155539e-03
4.666666666666666879e-02,9.834027735180559185e-03
4.833333333333333925e-02,1.172518793070289646e-02
5.000000000000000278e-02,1.334558381680937128e-02
5.166666666666667324e-02,1.458905236341941081e-02
5.333333333333333676e-02,1.552485861235376220e-02
5.500000000000000028e-02,1.612730014227728090e-02
5.666666666666667074e-02,1.634181827444199792e-02
5.833333333333333426e-02,1.611199176108618278e-02
6.000000000000000472e-02,1.548898257157388381e-02
6.166666666666666824e-02,1.451800573607203021e-02
6.333333333333333870e-02,1.320071555821991649e-02
6.500000000000000222e-02,1.153680736983022162e-02
6.666666666666666574e-02,9.517458472085717214e-03
6.833333333333334314e-02,7.588336829171701998e-03
7.000000000000000666e-02,5.937254522341253900e-03
7.166666666666667018e-02,4.546311998378106678e-03
7.333333333333333370e-02,3.409458564897906423e-03
7.500000000000001110e-02,2.542825280192304548e-03
7.666666666666667462e-02,1.986670117895428939e-03
7.833333333333333814e-02,1.699615597087377177e-03
8.000000000000000167e-02,1.493906696592549408e-03
8.166666666666666519e-02,1.329947455138087969e-03
8.333333333333334259e-02,1.201332037560470627e-03
8.500000000000000611e-02,1.098468610773073407e-03
8.666666666666666963e-02,1.016865185651828155e-03
8.833333333333333315e-02,9.526934176410734251e-04
9.000000000000001055e-02,9.014187269709263498e-04
9.166666666666667407e-02,8.608816375270204055e-04
9.333333333333333759e-02,8.287799386839684191e-04
9.500000000000000111e-02,8.035146536423511468e-04
9.666666666666667851e-02,7.807728672659708423e-04
9.833333333333334203e-02,7.667803653194852753e-04
1.000000000000000056e-01,7.522527228071498743e-04
1.016666666666666691e-01,7.414299603872889473e-04
1.033333333333333465e-01,7.359721189593602594e-04
1.050000000000000100e-01,7.319394430262041824e-04
1.066666666666666735e-01,7.294477022668206887e-04
1.083333333333333370e-01,7.291002473403617292e-04
1.100000000000000006e-01,7.281804022156859258e-04
1.116666666666666780e-01,7.283162592921113392e-04
1.133333333333333415e-01,7.297377448278508138e-04
1.150000000000000050e-01,7.303180247263306663e-04
1.166666666666666685e-01,7.327075136611183905e-04
1.183333333333333459e-01,7.353116739202040326e-04
1.200000000000000094e-01,7.373645226266240622e-04
1.216666666666666730e-01,7.418477571310473249e-04
1.233333333333333365e-01,7.461847331446466594e-04
1.250000000000000000e-01,7.496933305815577401e-04
1.266666666666666774e-01,7.556913450929819264e-04
1.283333333333333548e-01,7.603534281863409466e-04
1.300000000000000044e-01,7.647956029352432619e-04
1.316666666666666818e-01,7.690796333298433084e-04
1.333333333333333315e-01,7.754849156913290811e-04
1.350000000000000089e-01,7.815149164892900300e-04
1.366666666666666863e-01,7.872872788321786048e-04
1.383333333333333359e-01,7.965049892113054957e-04
1.400000000000000133e-01,8.010971715244281964e-04
1.416666666666666630e-01,8.103480973962613179e-04
1.433333333333333404e-01,8.196011009412374534e-04
1.450000000000000178e-01,8.247176047789626799e-04
1.466666666666666674e-01,8.320128844554891285e-04
1.483333333333333448e-01,8.404529671934231122e-04
1.500000000000000222e-01,8.463946492341872319e-04
1.516666666666666718e-01,8.413576606936768940e-04
1.533333333333333492e-01,8.473160370320647825e-04
1.549999999999999989e-01,8.581620176739082227e-04
1.566666666666666763e-01,8.716913697006761731e-04
1.583333333333333537e-01,8.507934213192435693e-04
1.600000000000000033e-01,7.503536969998375562e-04
1.616666666666666807e-01,7.906495350251484646e-04
1.633333333333333304e-01,8.057468367347767144e-04
1.650000000000000078e-01,8.394636076523057881e-04
1.666666666666666852e-01,8.624467897574500863e-04
1.683333333333333348e-01,8.993809719612826971e-04
1.700000000000000122e-01,8.990900961512573791e-04
1.716666666666666896e-01,3.242229261474525526e-04
1.733333333333333393e-01,3.602453914077011492e-04
1.750000000000000167e-01,1.077736523862430794e-03
1.766666666666666663e-01,3.449201624869921261e-03
1.783333333333333437e-01,2.665311182208033453e-03
1.800000000000000211e-01,4.013172709922139050e-03
1.816666666666666707e-01,4.464376366702454794e-03
1.833333333333333481e-01,3.877024661220036372e-03
