distance,error
3.333333333333333547e-03,5.674858196096802671e-02
5.000000000000000104e-03,5.647945361411051135e-02
6.666666666666667095e-03,5.599338183170290972e-02
8.333333333333333218e-03,5.530938172246742390e-02
1.000000000000000021e-02,5.441418366794807671e-02
1.166666666666666720e-02,5.331915422642836272e-02
1.333333333333333419e-02,5.193867474892376740e-02
1.500000000000000118e-02,5.017088447784973787e-02
1.666666666666666644e-02,4.799907063503157378e-02
1.833333333333333343e-02,4.547851124733144623e-02
2.000000000000000042e-02,4.263748448413079428e-02
2.166666666666666741e-02,3.950182618870356349e-02
2.333333333333333440e-02,3.609908452378986915e-02
2.500000000000000139e-02,3.243534097374793645e-02
2.666666666666666838e-02,2.849583313027826206e-02
2.833333333333333537e-02,2.424947015662612393e-02
3.000000000000000236e-02,2.008256856219669401e-02
3.166666666666666935e-02,1.617151933667199462e-02
3.333333333333333287e-02,1.248047824066807372e-02
3.500000000000000333e-02,8.990378042270517206e-03
3.666666666666666685e-02,5.709781031618960633e-03
3.833333333333333731e-02,2.650370265342480176e-03
4.000000000000000083e-02,2.188872766909138535e-04
4.166666666666667129e-02,2.904841108205576464e-03
4.333333333333333481e-02,5.415312895773304741e-03
4.500000000000000527e-02,7.738763741397155539e-03
4.666666666666666879e-02,9.834024130439957684e-03
4.833333333333333925e-02,1.172517558591449835e-02
5.000000000000000278e-02,1.334555396397160698e-02
5.166666666666667324e-02,1.458895547629194753e-02
5.333333333333333676e-02,1.552473542171406429e-02
5.500000000000000028e-02,1.612718607306857718e-02
5.666666666666667074e-02,1.634198842107274438e-02
5.833333333333333426e-02,1.611233731713939896e-02
6.000000000000000472e-02,1.548942038574726600e-02
6.166666666666666824e-02,1.451646868129548122e-02
6.333333333333333870e-02,1.319819172363248007e-02
6.500000000000000222e-02,1.153439780781773637e-02
6.666666666666666574e-02,9.516772484945758628e-03
6.833333333333334314e-02,7.588086154717901648e-03
7.000000000000000666e-02,5.936472078320249521e-03
7.166666666666667018e-02,4.545406668505677997e-03
7.333333333333333370e-02,3.408143326042282779e-03
7.500000000000001110e-02,2.540898706354098244e-03
7.666666666666667462e-02,1.984091754372373055e-03
7.833333333333333814e-02,1.697324600492820237e-03
8.000000000000000167e-02,1.492085285966031436e-03
8.166666666666666519e-02,1.328137523319353631e-03
8.333333333333334259e-02,1.195681319743918279e-03
8.500000000000000611e-02,1.064163082401234405e-03
8.666666666666666963e-02,9.874422230469407768e-04
8.833333333333333315e-02,9.289585705268474641e-04
9.000000000000001055e-02,8.824737258246883763e-04
9.166666666666667407e-02,8.423041077346170085e-04
9.333333333333333759e-02,8.136237972790667404e-04
9.500000000000000111e-02,7.918283587865396038e-04
9.666666666666667851e-02,7.736599704898594826e-04
9.833333333333334203e-02,7.570531406157066231e-04
1.000000000000000056e-01,7.388188476304889370e-04
1.016666666666666691e-01,7.303043745247657804e-04
1.033333333333333465e-01,7.271011487510070257e-04
1.050000000000000100e-01,7.247622244263352605e-04
1.066666666666666735e-01,7.236656740768562541e-04
1.083333333333333370e-01,7.244322500866314223e-04
1.100000000000000006e-01,7.244127971977068437e-04
1.116666666666666780e-01,7.252375774719093705e-04
1.133333333333333415e-01,7.272437123608070913e-04
1.150000000000000050e-01,7.283061571448329156e-04
1.166666666666666685e-01,7.310746853865429445e-04
1.183333333333333459e-01,7.340027407062858951e-04
1.200000000000000094e-01,7.363021472152954947e-04
1.216666666666666730e-01,7.409993197443594595e-04
1.233333333333333365e-01,7.454823315884069081e-04
1.250000000000000000e-01,7.491205578712387169e-04
1.266666666666666774e-01,7.552189246119554592e-04
1.283333333333333548e-01,7.599414550961232015e-04
1.300000000000000044e-01,7.644466208306737679e-04
1.316666666666666818e-01,7.687971610620538765e-04
1.333333333333333315e-01,7.752535520475496537e-04
1.350000000000000089e-01,7.812985809626406654e-04
1.366666666666666863e-01,7.870973415504127924e-04
1.383333333333333359e-01,7.963312024546911980e-04
1.400000000000000133e-01,8.009535478003925856e-04
1.416666666666666630e-01,8.102177038423596239e-04
1.433333333333333404e-01,8.195050769949811320e-04
1.450000000000000178e-01,8.246295559993560478e-04
1.466666666666666674e-01,8.319596391054904887e-04
1.483333333333333448e-01,8.402747078289924797e-04
1.500000000000000222e-01,8.314782981019116148e-04
1.516666666666666718e-01,8.410255952404029935e-04
1.533333333333333492e-01,8.279008374747740028e-04
1.549999999999999989e-01,8.488750882008610230e-04
1.566666666666666763e-01,8.551107628127627884e-04
1.583333333333333537e-01,8.551713092991360555e-04
1.600000000000000033e-01,8.510745912008979737e-04
1.616666666666666807e-01,8.721041928401623063e-04
1.633333333333333304e-01,8.628559282155819164e-04
1.650000000000000078e-01,8.898908948802736760e-04
1.666666666666666852e-01,9.017887356806480667e-04
1.683333333333333348e-01,9.345587005026702396e-04
1.700000000000000122e-01,9.016811152924192633e-04
1.716666666666666896e-01,4.202280328618310159e-04
1.733333333333333393e-01,4.136179545982720325e-04
1.750000000000000167e-01,1.135989615451865479e-03
1.766666666666666663e-01,3.459064892211814388e-03
1.783333333333333437e-01,2.686256030746603761e-03
1.800000000000000211e-01,4.040656982728477696e-03
1.816666666666666707e-01,4.472726574677542317e-03
1.833333333333333481e-01,3.883779151885495464e-03
